;Cases;S;U;Q;I;date
0;1335.000000000085;741961.6974379739;4273.221208513263;667.5345485702403;6275.755757083589;2020-05-09
1;1409.6680156791865;740743.6485978923;5422.427786760666;661.7087947257661;7493.804597165618;2020-05-10
2;1484.6800762746886;739201.266016896;6877.474648487517;674.0324533994647;9036.18717816167;2020-05-11
3;1562.2249675468693;737250.1986907305;8717.803503396775;707.2260333836349;10987.25450432728;2020-05-12
4;1644.8474444361846;734785.3704047728;11042.3136062867;764.9217395621178;13452.082790285003;2020-05-13
5;1735.5614092448286;731676.6143629778;13973.42109650183;851.8563263334058;16560.838832080066;2020-05-14
6;1837.986849644387;727763.8312023655;17661.53397287495;974.1011701731758;20473.62199269251;2020-05-15
7;1956.5148280396893;722851.9076900175;22289.70083366218;1139.3298433386165;25385.545505040485;2020-05-16
8;2096.5045167000094;716705.8675535868;28077.962572408585;1357.1185523624795;31531.585641471076;2020-05-17
9;2264.515365165027;709047.0618485656;35286.60906648925;1639.2669148380667;39190.39134649234;2020-05-18
10;2468.575432842921;699551.6747215402;44217.08895136748;2000.1140893072215;48685.778473517625;2020-05-19
11;2718.4831427172844;687853.3939627894;55208.76873075981;2456.8073587913195;60384.05923226841;2020-05-20
12;3026.1335965103626;673552.7029655932;68629.16017159287;3029.4564613615394;74684.75022946477;2020-05-21
13;3405.851510391266;656235.6900352647;84854.83286166828;3741.0787877337884;92001.76315979334;2020-05-22
14;3874.700598240256;635505.1841291853;104240.35524597905;4617.213221653392;112732.26906587271;2020-05-23
15;4452.7243173333345;611025.8953059567;127073.76963468145;5685.06393708653;137211.55788910133;2020-05-24
16;5163.057609840361;582582.5090735019;153519.83960155273;6972.04691016309;165654.94412155618;2020-05-25
17;6031.837747675393;550145.1103523555;183556.83361406095;8503.671480966304;198092.34284270264;2020-05-26
18;7087.841047853731;513930.54477861256;216918.25497476768;10300.812393824122;234306.90841644554;2020-05-27
19;8361.788408874943;474443.30214130774;253055.7508655973;12376.611779278177;273794.1510537504;2020-05-28
20;9885.301198217741;432478.4144435765;291140.2815151025;14733.456038161497;315759.0387514817;2020-05-29
21;11689.548609273375;389074.5632080283;330112.7177342969;17360.623643459516;359162.88998702983;2020-05-30
22;13803.696730831209;345418.3509061903;368782.20035020553;20233.205207831106;402819.10228886787;2020-05-31
23;16253.328227125876;302716.4402475913;405954.9820258546;23312.70269448638;445521.0129474668;2020-06-01
24;19059.028052650952;262063.8308971849;440565.24231493985;26549.351930282373;486173.6222978732;2020-06-02
25;22235.312267358706;224337.87682116823;471778.4604201987;29885.80368633242;523899.5763738898;2020-06-03
26;25790.01741976426;190138.0520110781;499047.88497959543;33261.49878462023;558099.4011839799;2020-06-04
27;29724.186016457734;159776.09419197898;522120.1876023241;36616.985384297186;588461.359003079;2020-06-05
28;34032.40448667529;133307.3362537868;541000.1574004013;39897.55505419454;614930.1169412711;2020-06-06
29;38703.49357449338;110586.65654046375;555891.4730434039;43055.8300366969;637650.7966545941;2020-06-07
30;43721.42563623843;91332.22519328941;567130.5909567026;46053.21140882754;656905.2280017686;2020-06-08
31;49066.3457730108;75184.51548601691;575126.282870642;48860.30906538828;673052.937709041;2020-06-09
32;54715.59491028255;61753.776074206835;580311.4917871665;51456.590423402326;686483.6771208514;2020-06-10
33;60644.66193420235;50653.96181788878;583109.3156951946;53829.51374777229;697583.4913771693;2020-06-11
34;66828.02059375706;41524.241073994;583911.8054159089;55973.38611139814;706713.2121210641;2020-06-12
35;73239.83136273986;34040.58464594696;583068.9080314355;57888.129154935916;714196.8685491113;2020-06-13
36;79854.50530099022;27920.269651535793;580884.5981541541;59578.08008837816;720317.1835435225;2020-06-14
37;86647.13856802427;22921.772365098226;577617.6396756263;61050.90258630947;725315.68082996;2020-06-15
38;93593.83247052354;18841.971468563657;573485.0054502693;62316.64380570177;729395.4817264946;2020-06-16
39;100671.91606385665;15512.01929684923;568666.5696837442;63386.948150608165;732725.433898209;2020-06-17
40;107860.08882093302;12792.761453023366;563310.181477559;64274.421443542786;735444.6917420349;2020-06-18
41;115138.49954977613;10570.232852700577;557536.5901947125;64992.130597869145;737667.2203423578;2020-06-19
42;122488.77570528333;8751.515815996558;551443.9413093069;65553.22036447159;739485.9373790617;2020-06-20
43;129894.0152587457;7261.085999867309;545111.7241337807;65970.62780266459;740976.3671951911;2020-06-21
44;137338.7510602564;6037.678176063528;538604.147460763;66256.87649797532;742199.7750189947;2020-06-22
45;144808.89575576657;5031.649584103095;531972.9733892733;66423.93446591534;743205.8036109551;2020-06-23
46;152291.6736418322;4202.792515813007;525259.865033998;66483.12200341502;744034.6606792453;2020-06-24
47;159775.5444053768;3518.5375904158;518498.3131284664;66445.05807079926;744718.9156046425;2020-06-25
48;167250.12255235325;2952.488576291558;511715.20621290774;66319.63585350571;745284.9646187667;2020-06-26
49;174706.09536670998;2483.2336080736104;504932.1042073681;66116.0200129066;745754.2195869847;2020-06-27
50;182135.14149518177;2093.384118102576;498166.2678988745;65842.65968289947;746144.0690769558;2020-06-28
51;189529.8516586688;1768.799706889635;491431.48927154177;65507.31255795814;746468.6534881687;2020-06-29
52;196883.65252680503;1497.9638699023883;484738.7603268895;65117.07647146142;746739.489325156;2020-06-30
53;204190.7344363894;1271.4815974420785;478096.8114522825;64678.42570894432;746965.9715976162;2020-07-01
54;211445.98336439815;1081.6751164137204;471512.54474323813;64197.24997100833;747155.7780786445;2020-07-02
55;218644.917362254;922.258510805147;464991.382889328;63678.89443267121;747315.1946842532;2020-07-03
56;225783.6275065546;788.0756691465531;458537.5502564527;63128.19976290452;747449.3775259118;2020-07-04
57;232858.72331397372;674.8890379568476;452154.2995554428;62549.541287684944;747562.5641571014;2020-07-05
58;239867.28248933976;579.2091410658672;445844.0948336532;61946.866730999456;747658.2440539924;2020-07-06
59;246806.8048248249;498.15681373168155;439608.7594005037;61323.73215599803;747739.2963813266;2020-07-07
60;253675.17003247314;429.35171649138556;433449.59557092265;60683.33587517109;747808.1014785669;2020-07-08
61;260470.5992742599;370.8219719824086;427367.4817450967;60028.55020371928;747866.6312230759;2020-07-09
62;267191.6201431808;320.93080410005143;421362.9512356276;59361.95101214987;747916.5223909582;2020-07-10
63;273837.0348482302;278.3168775097804;415436.2563784789;58685.845090839466;747959.1363175486;2020-07-11
64;280405.89135934116;241.8456961829593;409587.4207578264;58002.295381707845;747995.6074988754;2020-07-12
65;286897.4572770499;210.5699330953182;403816.2818259574;57313.14415895571;748026.883261963;2020-07-13
66;293311.1962010356;183.69699984601158;398122.5257322802;56620.034261896515;748053.7561952122;2020-07-14
67;299646.7463849553;160.56247845468397;392505.7158401242;55924.42849152412;748076.8907166036;2020-07-15
68;305903.9014772004;140.60831982515967;386965.31610775576;55227.62729027696;748096.8448752331;2020-07-16
69;312082.59316119755;123.36491810902214;381500.71029081603;54530.78482493563;748114.0882769492;2020-07-17
70;318182.8755221436;108.43634551392714;376111.21773545735;53834.9235919434;748129.0168495444;2020-07-18
71;324204.9109803639;95.48816737638953;370796.106386433;53140.94766088501;748141.9650276819;2020-07-19
72;330148.95764433284;84.23736801437168;365554.60351562453;52449.654667086535;748153.2158270439;2020-07-20
73;336015.35794839397;74.44400650772151;360385.904581332;51761.746658824624;748163.0091885505;2020-07-21
74;341804.52845201007;65.90429227328943;355289.1805527131;51077.83989806187;748171.548902785;2020-07-22
75;347516.950687885;58.444829497834974;350263.5839700993;50398.473707576166;748179.0083655604;2020-07-23
76;353153.1629565165;51.91782244101509;345308.2539657478;49724.118450352966;748185.5353726172;2020-07-24
77;358713.75297411426;46.1970764872647;340422.32042344;49055.18272101667;748191.2561185709;2020-07-25
78;364199.3512892096;41.174655112405716;335604.90742810676;48392.01982262937;748196.2785399458;2020-07-26
79;369610.6253915129;36.75808120176046;330855.13612620375;47734.933596139716;748200.6951138563;2020-07-27
80;374948.274443496;32.867989789660996;326172.1270974364;47084.183664336044;748204.5852052685;2020-07-28
81;380213.02457213943;29.436155856884884;321555.00232060015;46439.99014646162;748208.0170392012;2020-07-29
82;385405.62466408743;26.403834733250534;317002.88680122903;45802.537895008434;748211.0493603249;2020-07-30
83;390526.8426131329;23.720362969657764;312514.9099176376;45171.980301317984;748213.7328320885;2020-07-31
84;395577.4619739098;21.341976956177174;308090.20653173584;44548.442712456286;748216.1112181019;2020-08-01
85;400558.2789802087;19.23081373664989;303727.91790324234;43932.02549787051;748218.2223813215;2020-08-02
86;405470.09989050025;17.354064513854414;299427.19243937574;43322.80680066833;748220.0991305443;2020-08-03
87;410313.73862697056;15.68325643451944;295187.1863065785;42720.84500507465;748221.7699386238;2020-08-04
88;415090.01467772585;14.193642191530973;291007.06392654654;42126.18094859431;748223.2595528667;2020-08-05
89;419799.75123488053;12.863680370576361;286885.9983751584;41538.83990464873;748224.5895146877;2020-08-06
90;424443.77354410465;11.674592596623778;282823.17169949884;40958.833358858086;748225.7786024616;2020-08-07
91;429022.9074434717;10.60998528068175;278817.77516627585;40386.160600029994;748226.8432097775;2020-08-08
92;433537.9780719369;9.655526242091982;274869.00945223816;39820.81014464112;748227.7976688162;2020-08-09
93;437989.8087296133;8.798667771164794;270976.0847857917;39262.76101188211;748228.6545272871;2020-08-10
94;442379.2198739149;8.028409098229455;267138.2210474943;38711.98386455078;748229.42478596;2020-08-11
95;446707.0282372512;7.335092380260567;263354.64783585386;38168.442029572965;748230.1181026781;2020-08-12
96;450974.046053433;6.7102272420743265;259624.60450384373;37632.09241053953;748230.7429678163;2020-08-13
97;455181.08038125327;6.146339614544592;255947.3401707869;37102.88630340362;748231.3068554437;2020-08-14
98;459328.9325149691;5.636841397920393;252322.1137133917;36580.770125299634;748231.8163536604;2020-08-15
99;463418.39747231227;5.175917821624347;248748.19373935368;36065.68606557076;748232.2772772367;2020-08-16
100;467450.2635518435;4.758430059409067;245224.8585461829;35557.57266697249;748232.694764999;2020-08-17
101;471425.31195216614;4.3798308897508065;241751.39606766382;35056.365344338665;748233.0733641686;2020-08-18
102;475344.3164462744;4.036091512394746;238327.10381000227;34561.99684726935;748233.417103546;2020-08-19
103;479208.0431051617;3.723638033140639;234951.2887792759;34074.39767258761;748233.7295570252;2020-08-20
104;483017.2500652755;3.4392962219083048;231623.26740170052;33593.49643186039;748234.0138988364;2020-08-21
105;486772.6873350471;3.1802434195771854;228342.36543792795;33119.22017866371;748234.2729516388;2020-08-22
106;490475.0966361795;2.943966600870574;225107.91789244954;32651.494699828458;748234.5092284575;2020-08-23
107;494125.21127590374;2.728225786145818;221919.26891896996;32190.24477439856;748234.7249692723;2020-08-24
108;497723.7560467246;2.53102205906189;218775.77172255018;31735.39440372448;748234.9221729992;2020-08-25
109;501271.4471505799;2.3505695772922355;215676.78845917367;31286.867015727537;748235.1026254811;2020-08-26
110;504768.9921447045;2.1852710682627596;212621.6901332733;30844.585646012296;748235.2679239901;2020-08-27
111;508217.0899066494;2.033696314522072;209609.85649374482;30408.473098349637;748235.4194987438;2020-08-28
112;511616.43061635137;1.894563278615236;206640.67592881082;29978.45208661758;748235.5586317797;2020-08-29
113;514967.695753208;1.7667214994798544;203713.54536012033;29554.445360230573;748235.6864735589;2020-08-30
114;518271.55810644705;1.6491374855890677;200827.87013636547;29136.375814760315;748235.8040575729;2020-08-31
115;521528.681797188;1.5408818411187792;197983.06392668487;28724.166589344346;748235.9123132173;2020-09-01
116;524739.722310766;1.4411179037645698;195178.5486140775;28317.741152311122;748236.0120771546;2020-09-02
117;527905.3265381305;1.349091720589575;192413.75418899645;27917.023376210767;748236.1041033377;2020-09-03
118;531026.1328251411;1.2641231815894816;189688.11864330134;27521.93760343445;748236.1890718769;2020-09-04
119;534102.7710287338;1.1855981664185031;187001.08786470816;27132.408703449997;748236.267596892;2020-09-05
120;537135.8625791476;1.1129615964542245;184352.11553183428;26748.362122480037;748236.3402334619;2020-09-06
121;540126.0205473395;1.0457112677967864;181740.66300995508;26369.723926496077;748236.4074837907;2020-09-07
122;543073.8497168837;0.9833923731415823;179166.19924755447;25996.420838246944;748236.4698026851;2020-09-08
123;545979.9466597512;0.9255926368305275;176628.2006737311;25628.380268939185;748236.5276024216;2020-09-09
124;548844.8998154062;0.8719379921360332;174126.15109651934;25265.53034514064;748236.5812570662;2020-09-10
125;551669.2895726181;0.8220887156476604;171659.5416021984;24907.799931526188;748236.6311063427;2020-09-11
126;554453.6883536946;0.7757359978614905;169227.87045559316;24555.118649772583;748236.6774590603;2020-09-12
127;557198.6607005872;0.7325988706900052;166830.64300143434;24207.416894166014;748236.7205961875;2020-09-13
128;559904.7633626552;0.6924214769167849;164467.37156677476;23864.625844151473;748236.7607735815;2020-09-14
129;562572.5453856006;0.6549706113950725;162137.57536452034;23526.67747432582;748236.7982244468;2020-09-15
130;565202.5482014818;0.6200335378619304;159840.7803980523;23193.504561986272;748236.8331615204;2020-09-16
131;567795.3057193803;0.5874160207722738;157576.51936698807;22865.040692669183;748236.8657790376;2020-09-17
132;570351.344416641;0.556940568541522;155344.33157406675;22541.220263781925;748236.8962544897;2020-09-18
133;572871.1834304084;0.5284448534870931;153143.7628331783;22221.978486618238;748236.9247502049;2020-09-19
134;575355.3346492911;0.5017802929171693;150974.365378536;21907.25138693837;748236.9514147656;2020-09-20
135;577804.3028050406;0.47681077523536225;148835.6977749909;21596.975804251655;748236.9763842832;2020-09-21
136;580218.5855640677;0.4534115112423993;146727.3248294933;21291.089389986122;748236.9997835471;2020-09-22
137;582598.6736187179;0.4314680031948007;144648.81750369054;20989.530604646727;748237.0217270552;2020-09-23
138;584945.0507781457;0.4108751111547966;142599.75282766746;20692.238714133993;748237.0423199472;2020-09-24
139;587258.1940587582;0.3915362145499544;140579.71381481335;20399.153785272258;748237.0616588439;2020-09-25
140;589538.573774098;0.373362453139382;138588.28937781663;20110.216680690613;748237.0798326052;2020-09-26
141;591786.6536241571;0.3562720456945857;136625.07424577166;19825.36905308391;748237.0969230126;2020-09-27
142;594002.8907839172;0.3401896616280368;134689.66888240876;19544.55333907078;748237.1130053967;2020-09-28
143;596187.7359913056;0.32504586917811995;132781.67940540472;19267.712752478892;748237.1281491892;2020-09-29
144;598341.6336342568;0.3107766208247178;130900.7175068008;18994.79127737995;748237.1424184375;2020-09-30
145;600465.0218370623;0.29732279783501603;129046.40037448837;18725.733660709768;748237.1558722605;2020-10-01
146;602558.3325458062;0.28462978900373864;127218.35061477368;18460.48540468945;748237.1685652693;2020-10-02
147;604621.9916129739;0.27264711271483566;125416.19617599602;18198.992758975688;748237.1805479456;2020-10-03
148;606656.4188811552;0.2613280726824233;123639.57027319456;17941.20271263591;748237.1918669856;2020-10-04
149;608662.0282658162;0.25062944320604574;121888.11131381335;17687.06298598558;748237.2025656151;2020-10-05
150;610639.2278371825;0.2405111861008616;120161.46282442687;17436.522022262954;748237.2126838723;2020-10-06
151;612588.4199011446;0.23093618853080644;118459.27337848318;17189.528979242157;748237.2222588699;2020-10-07
152;614510.0010792508;0.22187002907805;116781.19652504235;16946.03372073609;748237.2313250293;2020-10-08
153;616404.3623876874;0.21328075932436663;115126.89071850943;16705.98680810216;748237.239914299;2020-10-09
154;618271.889315353;0.2051387089447266;113496.01924933889;16469.339491657604;748237.2480563495;2020-10-10
155;620112.961900934;0.19741630451935907;111888.25017570751;16236.043702112473;748237.255778754;2020-10-11
156;621927.9548090318;0.19008790601406045;110303.25625613739;16006.05204198327;748237.2631071524;2020-10-12
157;623717.2374053134;0.1831296560269243;108740.71488306098;15779.31777702804;748237.2700654024;2020-10-13
158;625481.173830705;0.17651934217168258;107200.30801731393;15555.794827697397;748237.2766757163;2020-10-14
159;627220.1230746203;0.1702362712073399;105681.7221235445;15335.437760622566;748237.2829587873;2020-10-15
160;628934.4390472271;0.16426115321620438;104184.64810652772;15118.201780150477;748237.2889339053;2020-10-16
161;630624.4706508002;0.15857599789506124;102708.78124836987;14904.042719890598;748237.2946190606;2020-10-17
162;632290.5618500641;0.15316401454962655;101253.82114659883;14692.917034380966;748237.3000310438;2020-10-18
163;633933.051741634;0.14800952306382734;99819.47165312049;14484.781790780899;748237.3051855355;2020-10-19
164;635552.274622552;0.14309787476815009;98405.44081403008;14279.594660601582;748237.3100971837;2020-10-20
165;637148.5600578404;0.1384153739549069;97011.44081027551;14077.313911568564;748237.3147796845;2020-10-21
166;638722.2329471847;0.13394920995707785;95637.1878991507;13877.898399513027;748237.3192458485;2020-10-22
167;640273.613590709;0.1296873945906264;94282.40235661261;13681.307560342175;748237.3235076638;2020-10-23
168;641803.0177538061;0.12561870068972925;92946.8084204139;13487.501402137794;748237.3275763578;2020-10-24
169;643310.7567311357;0.12173260985742501;91630.1342340325;13296.440497280426;748237.3314624486;2020-10-25
