;Cases;S;U;Q;I;date
0;2171.9999999990005;2720000.0;6516.0;1778.0332879473676;10466.033287946368;2020-05-09
1;2347.9164507403125;2718745.64091068;7627.882844789413;1744.5930817371127;11720.392377266839;2020-05-10
2;2521.7961279182136;2717278.0393733443;8928.703545553502;1737.494241130457;13187.993914602172;2020-05-11
3;2696.3402957774833;2715561.2559805075;10450.274278674804;1758.1627329870214;14904.777307439308;2020-05-12
4;2874.4186578730996;2713553.4091708176;12229.6554437421;1808.550015513325;16912.624117128526;2020-05-13
5;3059.12472816329;2711205.7357448377;14309.981095805613;1891.1917191395753;19260.297543108478;2020-05-14
6;3253.837663486265;2708461.517872052;16741.399993329298;2009.2777590782516;22004.515415893817;2020-05-15
7;3462.2917325999947;2705254.8644186463;19582.14207942569;2166.735057273701;25211.168869299385;2020-05-16
8;3688.654691796304;2701509.3358694776;22899.71861448853;2368.3241121835094;28956.697418468342;2020-05-17
9;3937.616629458326;2697136.4018909405;26772.263873141233;2619.7508944061374;33329.631397005694;2020-05-18
10;4214.490787337726;2692033.728569195;31290.018719965905;2927.7952114477216;38432.30471875135;2020-05-19
11;4525.3280506647125;2686083.296829096;36556.951708238834;3300.456699947217;44382.73645885076;2020-05-20
12;4877.047083825309;2679149.364810299;42692.50201148332;3747.1193823391104;51316.668477647734;2020-05-21
13;5277.581718420603;2671076.302269285;49833.41440594151;4278.734894299706;59389.73101866182;2020-05-22
14;5736.047647465321;2661686.3449026905;58135.61663599091;4908.0241018004845;68779.68838525671;2020-05-23
15;6262.930146558634;2650777.3451636876;67776.06256143836;5649.69541626247;79688.68812425947;2020-05-24
16;6870.29432491724;2638120.6327772443;78954.42966875553;6520.676517029947;92345.40051070272;2020-05-25
17;7572.018995638959;2623459.1446903306;91894.51560320762;7540.353998769599;107006.88859761617;2020-05-26
18;8384.054571802806;2606506.0423106044;106845.1239687478;8730.812436791612;123959.99097734221;2020-05-27
19;9324.704326933937;2586944.103293623;124080.16520002707;10117.060467362282;143521.9299943233;2020-05-28
20;10414.92697661846;2564426.2459462183;143897.63326979987;11727.227095309738;166039.78734172808;2020-05-29
21;11678.656408362;2538577.634201692;166617.03755287276;13592.705125019666;191888.39908625442;2020-05-30
22;13143.131990571816;2508999.875033431;192574.81348056957;15748.21278337394;221466.15825451535;2020-05-31
23;14839.229424769857;2475277.877734427;222117.18888502743;18231.737243722753;255188.15555352002;2020-06-01
24;16801.778291516923;2436989.949573108;255589.9880382807;21084.317385041533;293476.0837148392;2020-06-02
