;Cases;S;U;Q;I;date
0;1.0000000003299852;722155.297970381;9.0;1.0481366676996584;11.048136668029644;2020-03-18
1;2.8846828657972585;722147.8510547106;10.467567426075197;5.142802046908409;18.495052338780866;2020-03-19
2;6.815481558464771;722139.1899558248;12.174336990333083;8.166332675803764;27.15615122460162;2020-03-20
3;12.355469920129753;722129.1168183575;14.1592601505294;10.714558621127132;37.22928869178628;2020-03-21
4;19.337907468364868;722117.4015849709;16.467618260631095;13.138996349571698;48.94452207856766;2020-03-22
5;27.75897123630783;722103.7767691606;19.152046665976457;15.658319986506976;62.56933788879126;2020-03-23
6;37.72004670799411;722087.9313844374;22.273722874838185;18.4209530291734;78.4147226120057;2020-03-24
7;49.39794422064264;722069.5038954604;25.903744522280082;21.540522846141172;96.8422115890639;2020-03-25
8;63.031043348615654;722048.0740358764;30.124726674348405;25.11630115011207;118.27207117307613;2020-03-26
9;78.91474747632289;722023.1533138183;35.03265234176281;29.245393413185457;143.19279323127114;2020-03-27
10;97.40263151221711;721994.1739988261;40.73901493339557;34.0304617777731;172.17210822338578;2020-03-28
11;118.91134957500886;721960.4763531368;47.373296784271645;39.585107553388156;205.86975391266867;2020-03-29
12;143.92831800589158;721921.2938351701;55.08583390747467;46.038119965937184;245.05227187930345;2020-03-30
13;173.02173225874063;721875.7359638042;64.05112363829043;53.53728734800788;290.61014324503896;2020-03-31
14;206.85279317533747;721822.7684877282;74.47163892864762;62.2531872172234;343.5776193212085;2020-04-01
15;246.190212324973;721761.1904560626;86.5822203487791;72.38321831293982;405.1556509866919;2020-04-02
16;291.92719484447207;721689.6077306013;100.65512485980685;84.15605674364649;476.7383764479254;2020-04-03
17;345.10118972883873;721606.4024242357;117.0058175137226;97.83667557089879;559.9436828134601;2020-04-04
18;406.9167740356924;721509.6976850869;135.99959968407515;113.73204824266676;656.6484219624343;2020-04-05
19;478.77210077686505;721397.3171871017;158.05917220241773;132.1976469682786;769.0289199475613;2020-04-06
20;562.2894158737219;721266.7386064806;183.6732376807073;153.6448470142705;899.6075005686996;2020-04-07
21;659.3501974058261;721115.0403230782;213.40624272103855;178.54934384430422;1051.3057839711687;2020-04-08
22;772.1355473533082;720938.8405095238;247.90935822216477;207.46069195014317;1227.5055975256162;2020-04-09
23;903.1725249430299;720734.2277343615;287.9327811509847;241.01306659388877;1432.1183726879033;2020-04-10
24;1055.3871354453495;720496.682222167;334.33941353171946;279.93733590541365;1669.6638848824825;2020-04-11
25;1232.1648464306031;720220.9867944978;388.11994428503834;325.0745218361001;1945.3593125517416;2020-04-12
26;1437.4193367130415;719901.126837914;450.4092750041828;377.3906574182983;2265.2192691355226;2020-04-13
27;1675.670374093148;719530.1785379394;522.5041601310049;437.99303488595007;2636.1675691101027;2020-04-14
28;1952.1315894131917;719100.1849902851;605.8817915061525;508.1477358450885;3066.161116764433;2020-04-15
29;2272.8088372598504;718602.0202215844;702.2188704721603;589.2981777331806;3564.3258854651913;2020-04-16
30;2644.6096178402568;718025.2416945365;813.4104732531022;683.0843214197323;4141.104412513091;2020-04-17
31;3075.463777492612;717357.9327560931;941.5876814299386;791.3618920339374;4808.413350956487;2020-04-18
32;3574.455268292903;716586.5376649587;1089.1325281403842;916.2206456577109;5579.808442090998;2020-04-19
33;4151.964003709687;715695.6933709923;1258.6882939338823;1060.0004384138394;6470.652736057409;2020-04-20
34;4819.816040273319;714668.0643684106;1453.1624959565909;1225.303202409046;7498.281738638956;2020-04-21
35;5591.439001206275;713484.1895209064;1675.7191634733808;1414.9984214635313;8682.156586143188;2020-04-22
36;6482.018044782643;712122.3530553606;1929.7560797076167;1632.2189271986567;10043.993051688916;2020-04-23
37;7508.645595397379;710558.4957838071;2218.86172926145;1880.3429985835419;11607.850323242372;2020-04-24
38;8690.455353143187;708766.1873368325;2546.7456399070957;2162.957777166764;13400.158770217047;2020-04-25
39;10048.728081897185;706716.6845936446;2917.135246703366;2483.7981848042987;15449.66151340485;2020-04-26
40;11606.952779046227;704379.1069198487;3333.6317224765844;2846.654685678133;17787.239187200947;2020-04-27
41;13390.823006639475;701720.7627507206;3799.517672058746;3255.2426776308876;20445.58335632911;2020-04-28
42;15428.143907733167;698707.6645756243;4317.510982674434;3713.0266410177783;23458.68153142538;2020-04-29
43;17748.62136913618;695305.2696800986;4889.462022734957;4222.993035079877;26861.076426951015;2020-04-30
44;20383.502406073047;691479.478297906;5515.996653719476;4787.3687493511525;30686.867809143674;2020-05-01
45;23365.034991272896;687197.9100325132;6196.114978983706;5407.286104279833;34968.43607453644;2020-05-02
46;26725.717599983414;682431.4600243472;6926.766223494216;6082.402259224733;39734.88608270236;2020-05-03
47;30497.31667827748;677156.1069088229;7702.432431944872;6810.490088004208;45010.239198226554;2020-05-04
48;34709.64270124823;671354.908372678;8514.766874695242;7587.028158428013;50811.43773437149;2020-05-05
49;39389.0954176923;665020.074769403;9352.345394881726;8404.830525072308;57146.27133764633;2020-05-06
50;44557.01637847611;658154.9662091051;10200.595884690978;9253.767634777241;64011.37989794433;2020-05-07
51;50227.9190557218;650775.8197182282;11041.969717902337;10120.637615197093;71390.52638882124;2020-05-08
52;56407.702254031465;642912.9910086509;11856.405328860135;10989.247515506919;79253.35509839852;2020-05-09
53;63091.98563121811;634611.497797971;12622.107135771557;11840.755542088682;87554.84830907834;2020-05-10
54;70264.72872285022;625930.698713832;13316.618458477784;12654.30021188926;96235.64739321727;2020-05-11
55;77897.30288292302;616943.0057345853;13918.123860722284;13407.913628818551;105223.34037246385;2020-05-12
56;85948.17008824734;607731.6425029469;14406.863258300347;14079.670257554562;114434.70360410225;2020-05-13
