;Cases;S;U;Q;I;date
0;28.999999999954966;656937.6198104925;166.06145503972553;14.509606842772683;209.5710618824532;2020-04-05
1;39.39612994207606;656877.065263631;136.2300211785507;94.49945762326946;270.12560874389624;2020-04-06
2;61.650467437752766;656827.39379427;111.7537773989447;146.3928332681485;319.797078104846;2020-04-07
3;91.35148235709258;656786.650089461;91.67261610525766;177.51668445137798;360.5407829137282;2020-04-08
4;125.25905552221434;656753.2299314908;75.19816051866499;193.50372484326041;393.96094088413975;2020-04-09
5;161.03119214551162;656725.8172229222;61.683179640693986;198.6592776666016;421.37364945280723;2020-04-10
6;197.01022894144228;656703.3322856083;50.59640731587255;196.2519505094291;443.8585867667439;2020-04-11
7;232.0561296408311;656684.8894215872;41.50182431547682;188.7434968314936;462.3014507878015;2020-04-12
8;265.41698366521354;656669.7620823041;34.04162234881384;177.97018405689633;477.4287900709237;2020-04-13
9;296.62882481766457;656657.3542852507;27.922201994780043;165.28556031204616;489.83658712449073;2020-04-14
10;325.4385015210138;656647.1771596988;22.9026685885779;151.6725425667043;500.013712676296;2020-04-15
11;351.7446194567404;656638.8297024514;18.785383248077693;137.83116721884167;508.36116992365976;2020-04-16
12;375.55261228113767;656631.9829890585;15.408203919768312;124.24706711566252;515.2078833165685;2020-04-17
13;396.94082064634944;656626.3672210289;12.638115635914756;111.24471506400643;520.8236513462706;2020-04-18
14;416.0351097674807;656621.7610993307;10.366001770289973;99.02866150648153;525.4297730442522;2020-04-19
15;432.99009013456407;656617.983107334;8.502352812339874;87.7153220940791;529.2077650409831;2020-04-20
16;447.9754143449385;656614.8843601288;6.973744877319667;77.3573530240198;532.306512246278;2020-04-21
17;461.16595507157996;656612.3427388229;5.719950116867031;67.96222836370211;534.8481335521491;2020-04-22
18;472.73493114632146;656610.2580790216;4.69156583185197;59.506296375225936;536.9327933533993;2020-04-23
19;482.8492555366556;656608.548224114;3.8480693074254573;51.9453234169685;538.6426482610495;2020-04-24
20;491.6665420939761;656607.1457879742;3.156222010319786;45.22232029652239;540.0450844008183;2020-04-25
21;499.3333360343955;656605.9954995752;2.588760448176453;39.27327631735412;541.1953727999261;2020-04-26
22;505.98423440874205;656605.0520249383;2.1233222366740243;34.03129079132421;542.1388474367403;2020-04-27
23;511.74164151580663;656604.2781806331;1.7415651430824632;29.429485083147455;542.9126917420366;2020-04-28
24;516.715965837731;656603.6434684304;1.428444440555099;25.40299366650655;543.5474039447927;2020-04-29
25;521.0061131519498;656603.1228733995;1.1716201424639188;21.890265681432982;544.0679989758466;2020-04-30
26;524.7001673928952;656602.6958780758;0.9609707753144466;18.83385613134331;544.4949942995529;2020-05-01
27;527.8761796426094;656602.3456538684;0.7881945510007193;16.18084431338715;544.8452185069973;2020-05-02
28;530.603007467349;656602.0583978372;0.6464822296890915;13.882984841184626;545.1324745382227;2020-05-03
29;532.9411636236804;656601.8227887092;0.5302487895958332;11.896671252976319;545.3680836662526;2020-05-04
30;534.9436458161451;656601.6295406958;0.434913333909605;10.18277252952412;545.5613316795789;2020-05-05
31;536.6567287155221;656601.4710375335;0.35671856640570276;8.706387560106988;545.7198348420349;2020-05-06
32;538.1207064709594;656601.3410323109;0.29258271729687235;7.436550876305383;545.8498400645616;2020-05-07
33;539.3705792091376;656601.2344012667;0.23997808985591382;6.345913809844507;545.9564711088381;2020-05-08
34;540.4366807350368;656601.1469418638;0.1968314490803888;5.410418327598204;546.0439305117154;2020-05-09
35;541.3452472075777;656601.0752071547;0.16144231135777823;4.608975701720561;546.1156652206561;2020-05-10
36;542.1189285009993;656601.0163699305;0.1324159265510946;3.9231580175488032;546.1745024450993;2020-05-11
37;542.7772450836854;656600.9681113011;0.10860831311340359;3.3369076777787168;546.2227610745775;2020-05-12
38;543.3369939658596;656600.9285292953;0.08908116755797753;2.836267946882186;546.2623430802997;2020-05-13
39;543.8126077175828;656600.8960639071;0.07306488808352907;2.4091358628144266;546.2948084684807;2020-05-14
40;544.2164706359257;656600.8694356096;0.059928242084739125;2.045037887905456;546.3214367659159;2020-05-15
41;544.5591961764219;656600.8475949276;0.04915348867906988;1.7349277827096496;546.3432774478106;2020-05-16
42;544.8498696001999;656600.8296810753;0.04031597338006027;1.4710057266810244;546.361191300261;2020-05-17
43;545.0962595773063;656600.8149880299;0.033067391684411036;1.2465573766361784;546.3758843456269;2020-05-18
44;545.3050022393613;656600.8029367102;0.02712206314609273;1.055811362979367;546.3879356654868;2020-05-19
45;545.4817608944544;656600.7930521495;0.022245670797222703;0.8938136609634786;546.3978202262151;2020-05-20
46;545.6313643294255;656600.7849447768;0.018246025998151904;0.7563172435046127;546.4059275989283;2020-05-21
47;545.7579263194496;656600.7782950635;0.014965494507200607;0.6396854981150942;546.4125773120719;2020-05-22
48;545.8649487298359;656600.772840931;0.012274783839269412;0.5408079309493712;546.4180314446245;2020-05-23
49;545.9554103064258;656600.7683674203;0.010067847607046576;0.45702680110828053;546.4225049551412;2020-05-24
50;546.0318430341471;656600.7646982215;0.00825770590181377;0.38607341390512306;546.426174153954;2020-05-25
51;546.096397719402;656600.7616887209;0.006773015983823011;0.32601291908677893;546.4291836544726;2020-05-26
52;546.1509001488251;656600.7592203167;0.005555267412175362;0.27519664249060904;546.4316520587279;2020-05-27
53;546.1968993775802;656600.7571957186;0.004556463669508462;0.23222081552791807;546.4336766567776;2020-05-28
54;546.2357088775791;656600.755535128;0.003737237322644415;0.19589113241954834;546.4353372473213;2020-05-29
55;546.2684417287315;656600.7541731023;0.0030653033086293787;0.16519224088750106;546.4366992729276;2020-05-30
56;546.2960407352306;656600.7530559613;0.002514179304622549;0.13926149934058887;546.4378164138758;2020-05-31
57;546.3193040759309;656600.7521396755;0.002062144068452927;0.11736647962380771;546.4387326996231;2020-06-01
58;546.3389071710018;656600.7513881332;0.0016913823886499251;0.09888568862233313;546.4394842420128;2020-06-02
59;546.3554213038635;656600.7507717141;0.0013872816646059386;0.08329207559315518;546.4401006611213;2020-06-03
60;546.3693294683791;656600.7502661233;0.0011378564144091646;0.07013892700157778;546.4406062517951;2020-06-04
61;546.3810398536366;656600.7498514348;0.0009332763076074015;0.05904781039472331;546.441020940339;2020-06-05
62;546.3908972828881;656600.7495113051;0.000765478647108734;0.049698308489156524;546.4413610700243;2020-06-06
63;546.3991929449302;656600.7492323285;0.0006278499377307258;0.04181925168949071;546.4416400465574;2020-06-07
64;546.4061726494101;656600.7490035105;0.0005149660743715851;0.03518124923830547;546.4418688647228;2020-06-08
65;546.4120438244821;656600.7488158324;0.0004223781440204817;0.029590339942859006;546.4420565425689;2020-06-09
66;546.4169814507087;656600.7486618981;0.00034643699867609233;0.02488258929493343;546.4422104770023;2020-06-10
67;546.4211330921607;656600.7485356401;0.0002841495799251195;0.020919493279573584;546.4423367350203;2020-06-11
68;546.4246231528537;656600.7484320826;0.00023306113373671027;0.01758407847809094;546.4424402924654;2020-06-12
69;546.4275564779975;656600.7483471441;0.0001911580884221886;0.014777594807794267;546.4425252308938;2020-06-13
70;546.4300214071545;656600.7482774771;0.00015678895101978174;0.012416701813288545;546.4425948979189;2020-06-14
71;546.4320923512855;656600.7482203358;0.000128599184794264;0.010431088747298695;546.4426520392176;2020-06-15
72;546.4338319711441;656600.7481734683;0.00010547781411230366;0.008761457804958333;546.4426989067631;2020-06-16
73;546.4352930200866;656600.7481350272;8.651349654488362e-05;0.007357814283871684;546.442737347867;2020-06-17
74;546.4365199002177;656600.7481034975;7.095885662075528e-05;0.0061780184024241;546.4427688774767;2020-06-18
