;Cases;S;U;Q;I;date
0;5173.999999999011;11948206.081276037;16874.38428970155;3637.2912090122722;25685.675498712833;2020-05-09
1;5595.0452147422375;11944936.225161456;19835.380375790388;3525.1060227595635;28955.531613292187;2020-05-10
2;6006.6169273689775;11941093.843907598;23314.71466015796;3476.5812796216123;32797.91286714855;2020-05-11
3;6416.309151097946;11936579.189442718;27402.65319810341;3493.6049828269133;37312.567332028266;2020-05-12
4;6832.016653747198;11931275.323434029;32205.002385028085;3579.414301944656;42616.43334071994;2020-05-13
5;7262.100379769402;11925045.229035717;37845.713914160304;3738.713445103501;48846.527739033205;2020-05-14
6;7715.568741665442;11917728.459892495;44469.90469012883;3977.823450458461;56163.29688225273;2020-05-15
7;8202.278505141274;11909137.271327784;52247.3400951032;4304.866846719286;64754.48544696376;2020-05-16
8;8733.15959465486;11899052.16607318;61376.43976896706;4729.991337943749;74839.59070156567;2020-05-17
9;9320.468903153385;11887216.781120155;72088.86951133306;5265.637240104425;86674.97565459087;2020-05-18
10;9978.078307775448;11873332.052832637;84654.77239443644;5926.853239895231;100559.70394210712;2020-05-19
11;10721.802944840892;11857049.594203476;99388.6937620137;6731.665864415514;116842.1625712701;2020-05-20
12;11569.77657816887;11837964.2297194;116656.24225526715;7701.508221907166;135927.52705534318;2020-05-21
13;12542.88095599771;11815605.659660295;136881.50317415167;8861.712984300493;158286.09711444986;2020-05-22
14;13665.237403720554;11789429.24930257;160555.19530122058;10242.07476723341;184462.50747217453;2020-05-23
15;14964.768874077714;11758805.996208098;188243.50629143513;11877.485401133918;215085.76056664676;2020-05-24
16;16473.841168707004;11723011.800161397;220597.47160796102;13808.643836678246;250879.95661334626;2020-05-25
17;18229.99209890522;11681216.264466556;258362.6609149933;16082.839294289448;292675.49230818794;2020-05-26
18;20276.75689871987;11632471.400162887;302388.79811371694;18754.80159941933;341420.35661185614;2020-05-27
19;22664.597129731752;11575700.795472922;353638.7582552153;21887.605916873665;398190.9613018207;2020-05-28
20;25451.93829355048;11509690.054855106;413196.1537096024;25553.609916483303;464201.70191963617;2020-05-29
21;28706.318082117774;11433079.617996674;482270.43171469035;29835.388981259635;540812.1387780678;2020-05-30
22;32505.64224777175;11344361.43088012;562198.0645752038;34826.61907164587;629530.3258946214;2020-05-31
23;36939.537999515516;11241881.35260354;654438.0293696381;40632.83680204891;732010.4041712026;2020-06-01
24;42110.78515360235;11123849.612697773;760559.3767401364;47371.98218322938;850042.1440769682;2020-06-02
25;48136.79254098561;10988362.031910487;882218.3303411169;55174.60198215183;985529.7248642544;2020-06-03
26;55151.07112508071;10833434.999287356;1021122.1239307302;64183.562431575985;1140456.757487387;2020-06-04
27;63304.63571245;10657057.238657469;1178976.7905182373;74553.091886585;1316834.5181172723;2020-06-05
28;72767.24471221477;10457261.027261728;1357416.5323268268;86446.95247397324;1516630.7295130147;2020-06-06
29;83728.36305617099;10232214.565947037;1557913.2962658955;100035.53150563981;1741677.1908277064;2020-06-07
30;96397.70933631939;9980335.455618052;1781666.933900245;115491.65792012613;1993556.3011566906;2020-06-08
31;111005.22771882295;9700422.590191992;2029478.942121807;132984.99674212086;2273469.166582751;2020-06-09
32;127800.31276047495;9391800.283018565;2301616.1963516795;152674.9646440241;2582091.4737561787;2020-06-10
33;147050.11644892185;9054464.196858032;2597675.1884476203;174702.25502016858;2919427.5599167105;2020-06-11
34;169036.78721584578;8689214.946497561;2916460.7865703274;199179.23649100977;3284676.8102771826;2020-06-12
35;194053.53635546722;8297761.457533879;3255897.0339277955;226179.72895760252;3676130.2992408653;2020-06-13
36;222399.4971516974;7882775.694325665;3612987.6905810465;255728.8747163359;4091116.06244908;2020-06-14
37;254373.44252741867;7447882.045801308;3983842.2472761944;287794.02116982196;4526009.710973435;2020-06-15
38;290266.5367445394;6997570.583031206;4363777.005877499;322277.6311214979;4976321.173743536;2020-06-16
39;330354.42264658795;6537032.694409114;4747491.433096862;359013.20662217605;5436859.062365626;2020-06-17
40;374889.04534324224;6071928.62208535;5129309.074335099;397765.0150110502;5901963.134689392;2020-06-18
41;424090.6913676503;5608107.773309727;5503461.229672078;438232.06242528575;6365783.983465014;2020-06-19
42;478140.74764864275;5151310.554694324;5864384.166174481;480056.28825729404;6822581.202080417;2020-06-20
43;537175.650404432;4706883.8241296755;6206997.811427767;522834.4708128668;7267007.932645066;2020-06-21
