;Cases;S;U;Q;I;date
0;427.9999999997672;152949615.16075954;2239.831799685735;401.6868450838656;3069.5186447693677;2020-03-18
1;488.3692887508158;152948619.24738973;2363.5060473224084;1213.5566784804373;4065.4320145536617;2020-03-19
2;608.8711418593517;152947568.3523613;2494.001854063594;2013.4540470677412;5116.327042990687;2020-03-20
3;788.7402930785553;152946459.44398844;2631.6946610957857;2804.8004616554713;6225.235415829813;2020-03-21
4;1027.462832365778;152945289.32385102;2776.9804784540524;3590.9122424339957;7395.355553253827;2020-03-22
5;1324.7689604775558;152944054.6176547;2930.277003465101;4375.015785642571;8630.061749585228;2020-03-23
6;1680.626808930231;152942751.76561895;3092.024795988923;5160.262180452627;9932.91378537178;2020-03-24
7;2095.2373365473177;152941377.0123436;3262.6885162384433;5949.7412079206915;11307.667060706452;2020-03-25
8;2569.0302700960033;152939926.39612064;3442.758229123151;6746.494784454225;12758.28328367338;2020-03-26
9;3102.661014750641;152938395.73767453;3632.7507768499427;7553.529938142757;14288.94172974334;2020-03-27
10;3697.008516531744;152936780.6282912;3833.2112244989435;8373.831372067767;15904.051113098456;2020-03-28
11;4353.174070215256;152935076.41733074;4044.714378973501;9210.373624344445;17608.262073533202;2020-03-29
12;5072.4809818407775;152933278.1990278;4267.866392393192;10066.13300223158;19406.480376465548;2020-03-30
13;5856.475154307671;152931380.79862905;4503.306444091461;10944.099176832835;21303.880775231966;2020-03-31
14;6706.926504109417;152929378.7577623;4751.708513248098;11847.286624603055;23305.921641960573;2020-04-01
15;7625.831233395273;152927266.31902197;5013.783243687021;12778.74590521262;25418.360382294915;2020-04-02
16;8615.414947662663;152925037.40976328;5290.279901645137;13741.574791659728;27647.269640967526;2020-04-03
17;9678.136586556055;152922685.6249993;5581.988438276581;14738.929380093085;29999.05440492572;2020-04-04
18;10816.693193787773;152920204.2094023;5889.741656438419;15774.035151713795;32480.47000193999;2020-04-05
19;12034.025509835437;152917586.03837726;6214.417485339358;16850.19803182204;35098.64102699684;2020-04-06
20;13333.324389815103;152914823.59808892;6556.941375754239;17970.815549760548;37861.08131532989;2020-04-07
21;14718.038063082411;152911908.96446386;6918.28881320322;19139.388064114315;40775.71494039995;2020-04-08
22;16191.880224552886;152908833.7811431;7299.487951819734;20359.53008477406;43850.89826114668;2020-04-09
23;17758.838995575188;152905589.2361318;7701.622395269161;21634.981881614855;47095.443272459204;2020-04-10
24;19423.18673695065;152902166.0374073;8125.834097052384;22969.62116293832;50518.641996941355;2020-04-11
25;21189.490759423337;152898554.38713804;8573.32641639337;24367.47509037315;54130.29226618986;2020-04-12
26;23062.62494095689;152894743.95459405;9045.36732036042;25832.732548855183;57940.72481017249;2020-04-13
27;25047.782245802126;152890723.84772652;9543.29273506481;27369.756696849337;61960.83167771627;2020-04-14
28;27150.488244054628;152886482.58313856;10068.510072368408;28983.097949262035;66202.09626568508;2020-04-15
29;29376.61555286388;152882008.05469877;10622.501907388756;30677.50724521869;70676.62470547133;2020-04-16
30;31732.399332829496;152877287.50040996;11206.829843884492;32457.949817580105;75397.1789942941;2020-04-17
31;34224.453813938206;152872307.46765128;11823.138554741334;34329.61938427214;80377.21175295168;2020-04-18
32;36859.78988288009;152867053.77669382;12473.16000743535;36297.9528201372;85630.90271045265;2020-04-19
33;39645.83385777881;152861511.48223042;13158.717895553369;38368.64542050317;91173.19717383535;2020-04-20
34;42590.44712551891;152855664.8336248;13881.732216793744;40547.66643715682;97019.84577946947;2020-04-21
35;45701.9476054644;152849497.23181403;14644.224168184479;42841.27581659735;103187.44759024621;2020-04-22
36;48989.13166191679;152842991.18580058;15448.321117951837;45256.04082382617;109693.4936036948;2020-04-23
37;52461.29802490452;152836128.26554608;16296.261904499568;47798.85392878311;116556.4138581872;2020-04-24
38;56128.27253600978;152828889.05358478;17190.402288443507;50476.95099504273;123795.62581949602;2020-04-25
39;60000.43453761035;152821253.09385785;18133.22065718353;53297.93035164115;131431.58554643503;2020-04-26
40;64088.74480407867;152813198.83790463;19127.32398063388;56269.77271494517;139485.84149965772;2020-04-27
41;68404.77450047576;152804703.58941725;20175.45394107902;59400.86154545042;147981.0899870052;2020-04-28
42;72960.73658026983;152795743.44462633;21280.49339460576;62700.004803073156;156941.23477794876;2020-04-29
