;Cases;S;U;Q;I;date
0;155939.0;189180000.0;539004.6171587687;132297.6050039427;827241.2221627114;2020-05-09
1;163742.46240648412;189130269.29805458;566493.1541960352;146736.30750573735;876971.9241082568;2020-05-10
2;172362.36036341917;189078017.11507913;595369.1327247202;161492.6139955777;929224.107083717;2020-05-11
3;181817.5323088301;189023117.7270012;625701.0685133173;176604.89433952546;984123.4951616728;2020-05-12
4;192128.98084262994;188965439.35735077;657560.7051883948;192112.17878110305;1041801.8648121278;2020-05-13
5;203319.91061761678;188904843.92882836;691023.1396390445;208054.2430778751;1102397.2933345365;2020-05-14
6;215415.77715221522;188841186.75460288;726166.9769570074;224471.71345081597;1166054.4675600387;2020-05-15
7;228444.3336878466;188774316.27536353;763074.4613113556;241406.15180018725;1232924.9467993893;2020-05-16
8;242435.68669733652;188704073.75939485;801831.6243281827;258900.15174254868;1303167.4627680678;2020-05-17
9;257422.35653527096;188630292.99514773;842528.4359674659;276997.4345124584;1376948.2270151952;2020-05-18
10;273439.34318804264;188552799.97653654;885258.9576478037;295742.9447905391;1454441.2456263853;2020-05-19
11;290524.19831138785;188471412.57823455;930121.4983501807;315182.94726681797;1535828.6439283865;2020-05-20
12;308717.1007700443;188385940.22449604;977218.772785957;335365.1241109243;1621300.9976669257;2020-05-21
13;328060.93349055387;188296183.5564349;1026658.0596664303;356338.67257108;1711057.6657280643;2020-05-22
14;348601.38269729057;188201934.06290498;1078551.3701364025;378154.40642427385;1805307.1592579668;2020-05-23
15;370387.02557984163;188102973.730753;1133015.6105596777;400864.8552704074;1904267.4914099267;2020-05-24
16;393469.4238679984;187999074.6905633;1190172.7420056527;424524.36572599655;2008166.5315996476;2020-05-25
17;417903.2360211502;187889998.82879716;1250149.9527855215;449189.20455910603;2117242.393365778;2020-05-26
18;443746.32199841517;187775497.42314443;1313079.815820317;474917.661199769;2231743.7990185013;2020-05-27
19;471059.86228357465;187655310.74986315;1379100.4576602026;501770.15235600324;2351930.4722997807;2020-05-28
20;499908.4793536111;187529167.70242608;1448355.7139504196;529809.3264328365;2478073.5197368674;2020-05-29
