;Cases;S;U;Q;I;date
0;823.0000000007104;5127326.3250886295;2635.754633544277;848.3772895641356;4307.131923109123;2020-04-05
1;931.2975356678701;5126937.741761484;2884.8630463389786;879.5546682471183;4695.715250253967;2020-04-06
2;1044.052639936487;5126512.4690466765;3157.479742720803;919.4555824037255;5120.9879650610155;2020-04-07
3;1162.3675910097634;5126047.051760792;3455.816189263558;968.2214706716742;5586.405250944996;2020-04-08
4;1287.3682974019553;5125537.711079217;3782.2905208226075;1026.0871142955873;6095.745932520151;2020-04-09
5;1420.215938090919;5124980.314564032;4139.546585028504;1093.3799245854627;6653.142447704885;2020-04-10
6;1562.1185798278339;5124370.343548868;4530.474647317747;1170.520235723638;7263.113462869219;2020-04-11
7;1714.342923360052;5123702.85743235;4958.234035166544;1258.0226208603042;7930.599579386901;2020-04-12
8;1878.226229752337;5122972.455249471;5426.277484536383;1356.4980479770759;8661.001762265796;2020-04-13
9;2055.1886358275297;5122173.232839708;5938.37823637405;1466.657299826614;9460.224172028193;2020-04-14
10;2246.7459175391537;5121298.7373388745;6498.658793703951;1589.3149616191808;10334.719672862286;2020-04-15
11;2454.522819731556;5120341.917096493;7111.622518348613;1725.3945771640338;11291.539915244202;2020-04-16
12;2680.267094691446;5119295.06731399;7782.187871882634;1875.9347311723714;12338.389697746452;2020-04-17
13;2925.864368518727;5118149.771004299;8515.725535273868;2042.096103645328;13483.686007437924;2020-04-18
14;3193.353956032159;5116896.834952737;9318.09858937384;2225.1695135934015;14736.6220589994;2020-04-19
15;3484.9457466416225;5115526.2202214375;10195.706020255591;2426.5850234024047;16107.236790299617;2020-04-20
16;3803.038289385338;5114026.966905078;11155.52970843008;2647.922108843857;17606.490106659276;2020-04-21
17;4150.238249751604;5112387.11261272;12205.185188548317;2890.9209607177986;19246.34439901772;2020-04-22
18;4529.3813344560485;5110593.604400684;13352.976321316613;3157.4949552805506;21039.85261105321;2020-04-23
19;4943.554855362984;5108632.2036812445;14607.954122239935;3449.7443528895355;23001.253330492455;2020-04-24
