;Cases;S;U;Q;I;date
0;2575.999999999001;2481045.295387621;7732.406826191644;2011.3203668527008;12319.727193043345;2020-05-09
1;2774.2739892471304;2479554.0610490274;9077.756112987792;1958.9314294020357;13810.961531636958;2020-05-10
2;2968.757781229305;2477804.6142103155;10655.945505127796;1935.705083991671;15560.408370348774;2020-05-11
3;3162.433301785808;2475752.7361654984;12506.806260419917;1943.04685296014;17612.286415165865;2020-05-12
4;3358.451567353668;2473346.820778057;14676.807907358652;1982.9423278950662;20018.201802607386;2020-05-13
5;3560.1937284512765;2470526.710652891;17220.097817222;2058.020382100542;22838.311927773815;2020-05-14
6;3771.339093309083;2467222.3751771166;20199.679509199563;2171.6288010393478;26142.64740354799;2020-05-15
7;3995.9413513290174;2463352.4213853697;23688.736469663603;2327.9233743020473;30012.60119529467;2020-05-16
8;4238.514420703114;2458822.429924868;27772.106548617718;2531.9716864763373;34542.59265579717;2020-05-17
9;4504.129497432202;2453523.1147284782;32547.905611919596;2789.8727428349675;39841.90785218676;2020-05-18
10;4798.5248481077115;2447328.3158642505;38129.288645514935;3108.893222791783;46036.70671641443;2020-05-19
11;5128.230104360659;2440092.8479501344;44646.323589323685;3497.62093684621;53272.17463053055;2020-05-20
12;5500.706776241162;2431650.247290953;52247.93316885147;3966.135344619279;61714.77528971191;2020-05-21
13;5924.50659849629;2421810.4860548554;61103.835817049665;4526.19411026359;71554.53652580954;2020-05-22
14;6409.449304820477;2410357.7654103884;71406.37466320928;5191.433202246801;83007.25717027656;2020-05-23
15;6966.820831016707;2397048.5299835596;83372.09532815567;5977.5764379332395;96316.49259710562;2020-05-24
16;7609.592740404667;2381609.9270067187;97242.85529114162;6902.647542399992;111755.09557394628;2020-05-25
17;8352.662550680452;2363738.9840735598;113286.20128141597;7987.174675008961;129626.03850710539;2020-05-26
18;9213.113559926402;2343102.8736381517;131794.66228587466;9254.373096712785;150262.14894251383;2020-05-27
19;10210.491084483629;2319340.7070335746;153083.53765066402;10730.286811943291;174024.31554709093;2020-05-28
20;11367.08978070468;2292067.3906522845;177486.67820275208;12443.863944924171;201297.63192838093;2020-05-29
21;12708.243878990808;2260880.135934389;205349.70849836565;14426.934268919447;232484.88664627593;2020-05-30
22;14262.608757705584;2225368.2282855227;237020.13422075362;16714.051316683224;267996.79429514246;2020-05-31
23;16062.418208269402;2185126.6101477123;272833.8381918293;19342.15603285433;308238.412432953;2020-06-01
24;18143.697179058865;2139773.668449479;313097.64102005045;22350.015932076232;353591.3541311855;2020-06-02
25;20546.405311806117;2088973.296316757;358067.92541003553;25777.39554206604;404391.7262639077;2020-06-03
26;23314.48266979597;2032460.817564803;407925.80034930015;29663.921996765574;460904.2050158617;2020-06-04
27;26495.76573766841;1970071.696886583;462749.93437507364;34047.62558133955;523293.3256940816;2020-06-05
28;30141.741328821052;1901771.1473679792;522488.97097899247;38963.162904871926;591593.8752126854;2020-06-06
29;34307.108803752184;1827681.9507142308;586936.1958053943;44439.76725728723;665683.0718664338;2020-06-07
30;39049.127136566436;1748107.0847832423;655709.7939711174;50499.01668973854;745257.9377974223;2020-06-08
31;44426.735319553336;1663543.4250084243;728242.3016645608;57152.560588126384;829821.5975722405;2020-06-09
32;50499.45092300034;1574683.0707432185;803782.5124344485;64399.988479997475;918681.9518374463;2020-06-10
33;57326.071391515165;1482399.780041477;881412.1164551453;72227.05469252734;1010965.2425391879;2020-06-11
34;64963.22483923647;1387719.6759464627;960077.644290301;80604.47750466494;1105645.3466342024;2020-06-12
35;73463.83767221209;1291777.600801817;1038636.0839071213;89487.50019951495;1201587.4217788484;2020-06-13
36;82875.60149623704;1195762.6863046566;1115910.3967895776;98816.33799019427;1297602.336276009;2020-06-14
37;93239.53126776307;1100858.5688034052;1190749.375218526;108517.54729097118;1392506.4537772604;2020-06-15
38;104588.70417450632;1008184.6075651406;1262085.4643098693;118506.24653114914;1485180.4150155247;2020-06-16
39;116947.25614763371;918744.1701397515;1328984.5729691656;128689.02332411469;1574620.8524409141;2020-06-17
40;130329.69389320532;833384.89117343;1390683.149962915;138967.28755111506;1659980.1314072355;2020-06-18
41;144740.55299946526;752773.7254356488;1446609.952796657;149240.7913488946;1740591.297145017;2020-06-19
42;160174.40473436128;677387.3562465064;1496392.2187273786;159411.04287241932;1815977.6663341592;2020-06-20
43;176616.18891424694;607516.5690543927;1539847.8877034995;169384.37690852638;1885848.4535262727;2020-06-21
44;194041.82903686797;543281.7438418695;1576966.9424073356;179074.5072945926;1950083.2787387962;2020-06-22
45;212419.072310522;484655.9373219944;1607885.551007174;188404.46194097525;2008709.085258671;2020-06-23
46;231708.49051964554;431492.0130568136;1632856.6471100894;197307.87189411712;2061873.0095238523;2020-06-24
47;251864.5791802908;383550.75300555374;1652220.048282063;205729.64211275813;2109814.269575112;2020-06-25
48;272836.895321648;340527.5600416327;1666374.4896431356;213626.0775742496;2152837.462539033;2020-06-26
49;294571.1845991093;302076.2115998652;1675753.0646343082;220964.56174738304;2191288.8109808005;2020-06-27
50;317010.4585428704;267828.8507377179;1680802.8203832665;227722.8929168109;2225536.171842948;2020-06-28
51;340095.99236740265;237411.95166319772;1681968.6949525059;233888.38359755927;2255953.0709174676;2020-06-29
52;363768.22505640425;210458.43917225767;1679681.5446467132;239456.81370529055;2282906.583408408;2020-06-30
53;387967.55064861255;186616.36874252305;1674349.786200598;244431.31698893182;2306748.6538381423;2020-07-01
54;412634.9974911123;165554.7068215456;1666354.0570871492;248821.2611808583;2327810.31575912;2020-07-02
55;437712.79712098744;146966.76579560075;1656044.2927536676;252641.16691040972;2346398.256785065;2020-07-03
56;463144.84826778335;130571.85056222128;1643738.6249366093;255909.69881405137;2362793.172018444;2020-07-04
57;488877.0846800075;116115.55236545671;1629723.6414090728;258648.74412612847;2377249.470215209;2020-07-05
58;514857.7553703711;103369.11392956115;1614255.5596108597;260882.59366987334;2389995.908651104;2020-07-06
59;541037.6282686805;92128.15613219824;1597562.014095923;262637.22408386366;2401236.866448467;2020-07-07
60;567370.1271772541;82211.03322655431;1579844.1797147682;263939.68246208876;2411153.9893541113;2020-07-08
61;593811.4121113077;73456.97628630853;1561279.0689245947;264817.5652584542;2419908.0462943567;2020-07-09
62;620320.4117601338;65724.1700992567;1542021.8547736374;265298.5859476374;2427640.8524814085;2020-07-10
63;646858.8170287821;58887.84814478386;1522208.1360388678;265410.2213682314;2434477.174435881;2020-07-11
64;673391.042579588;52838.467459369436;1501956.083919559;265179.42862214864;2440526.5551212956;2020-07-12
65;699884.163329751;47479.999334085776;1481368.4369097303;264632.4230070979;2445885.023246579;2020-07-13
66;726307.8313741352;42728.356303508466;1460534.3261030372;263794.5087999842;2450636.6662771567;2020-07-14
67;752634.1783394575;38509.96306382171;1439530.926355188;262689.95482219785;2454855.0595168434;2020-07-15
68;778837.7072075533;34760.47142478483;1418424.9361762097;261341.9077721172;2458604.55115588;2020-07-16
69;804895.1771012341;31423.613854591113;1397273.8947306222;259772.3368942179;2461941.4087260743;2020-07-17
70;830785.4838660007;28450.187205135077;1376127.3470793949;258002.00443013446;2464914.83537553;2020-07-18
71;856489.5388045538;25797.15639651565;1355027.8704357466;256050.45694384925;2467567.86618415;2020-07-19
72;881990.1473534126;23426.866623907586;1334011.9751399483;253936.03346339663;2469938.1559567573;2020-07-20
73;907271.8893215888;21306.353719504776;1313110.8928164938;251675.88672307786;2472058.6688611605;2020-07-21
74;932321.0017473192;19406.74143120486;1292351.2647876227;249286.01461451838;2473958.28114946;2020-07-22
75;957125.2653183365;17702.715879258485;1271755.7421237887;246781.29925928134;2475662.3067014064;2020-07-23
76;981673.8949874324;16172.067890892251;1251343.508063393;244175.55163894748;2477192.954689773;2020-07-24
77;1005957.435255159;14795.294845884917;1231130.7324440293;241481.56003559165;2478569.72773478;2020-07-25
78;1029967.6604266061;13555.254566136779;1211130.9667104832;238711.1408774391;2479809.7680145283;2020-07-26
79;1053697.4800199145;12436.864592917826;1191355.4871196803;235875.19084815236;2480928.1579877473;2020-07-27
80;1077140.849452312;11426.840624188088;1171813.593266967;232983.73923719814;2481938.1819564775;2020-07-28
81;1100292.6858254045;10513.47001671131;1152512.8665722017;230046.00016634763;2482851.552563954;2020-07-29
82;1123148.7890439034;9686.414070518342;1133459.3959511041;227070.42351513915;2483678.608510147;2020-07-30
83;1145705.7678693084;8936.536720561293;1114657.973314975;224064.74467582037;2484428.4858601037;2020-07-31
84;1167960.9708916242;8255.755402607325;1096112.263753361;221036.03253307217;2485109.2671780577;2020-08-01
85;1189912.4221866326;7636.911245110909;1077824.9536330148;217990.7355159065;2485728.111335554;2020-08-02
86;1211558.761484089;7073.6561826069355;1059797.879348943;214934.72556502622;2486291.3663980584;2020-08-03
87;1232899.1886535217;6560.354488131812;1042032.1395876786;211873.33985133306;2486804.6680925335;2020-08-04
88;1253933.4121744528;6091.996983658461;1024528.1930680837;208811.42035447026;2487273.025597007;2020-08-05
89;1274661.6015346576;5664.126113212489;1007285.943850291;205753.35108250382;2487700.8964674524;2020-08-06
90;1295084.3431990296;5272.77053718572;990304.8157252378;202703.09311921187;2488092.252043479;2020-08-07
91;1315202.5999697002;4914.38794683813;973583.8171737372;199664.21749038936;2488450.634633827;2020-08-08
92;1335017.6735351977;4585.815011818425;957121.5981402176;196639.9358934311;2488779.2075688466;2020-08-09
93;1354531.169987572;4284.223559609194;940916.4996456559;193633.129387828;2489080.799021056;2020-08-10
94;1373744.9681256998;4007.08210987093;924966.597245569;190646.37509952558;2489357.940470794;2020-08-11
95;1392661.1903016428;3752.1221545337507;909269.7390259355;187681.9710985532;2489612.9004261317;2020-08-12
96;1411282.17568583;3517.3085348650143;893823.5788848023;184741.95947516797;2489847.7140458003;2020-08-13
