;Cases;S;U;Q;I;date
0;165.99999999935653;2701236.0045503764;683.921185339971;83.99538051187228;933.9165658511998;2020-04-05
1;179.03580280439004;2701092.178740137;765.3558683591928;133.35070492770365;1077.7423760912864;2020-04-06
2;198.07581616925694;2700931.237536801;856.4774087420257;184.13035451585003;1238.6835794271326;2020-04-07
3;223.33121644299922;2700751.147530621;958.4356679361196;237.00670122783043;1418.7735856069492;2020-04-08
4;255.09517684678832;2700549.6345967297;1072.5163769701553;292.6749656812646;1620.2865194982082;2020-04-09
5;293.7461682546557;2700324.155569343;1200.1570609684127;351.8623176619215;1845.7655468849898;2020-04-10
6;339.7523468551621;2700071.866707563;1342.9647514232188;415.33731038665263;2098.0544086650334;2020-04-11
7;393.6771124169376;2699789.588500912;1502.7357340487604;483.9197688501588;2380.332615315857;2020-04-12
8;456.1858878155865;2699473.7664330597;1681.4775390988852;558.4912562535117;2696.1546831679834;2020-04-13
9;528.0541928059307;2699120.4272783482;1881.433403579631;640.0062414942182;3049.4938378797797;2020-04-14
10;610.177105749049;2698725.1304455027;2105.109466048477;729.5040989278635;3444.7906707253896;2020-04-15
11;703.5802310652482;2698282.913787526;2355.3050034471944;828.12209418924;3887.007328701682;2020-04-16
12;809.4322819324361;2697788.2333929986;2635.145964386635;937.1094769101494;4381.687723229221;2020-04-17
13;929.059433508003;2697234.8966592667;2948.1221647754637;1057.8428586779432;4935.02445696141;2020-04-18
14;1063.9616096737768;2696615.9879787317;3298.128490046601;1191.8430377760603;5553.933137496439;2020-04-19
15;1215.8308827670037;2695923.7863305006;3689.5104611876745;1340.7934417726128;6246.134785727291;2020-04-20
16;1386.5721945989128;2695149.6739788176;4127.114562346546;1506.5603804645723;7020.247137410031;2020-04-21
17;1578.3266295514413;2694284.0354497596;4616.343730397004;1691.2153065201262;7885.885666468572;2020-04-22
18;1793.4974828149916;2693316.1459319107;5163.218412489173;1897.0592890134276;8853.775184317592;2020-04-23
19;2034.7794244004656;2692234.048151258;5774.443612077039;2126.6499284933325;9935.872964970837;2020-04-24
20;2305.191040396648;2691024.416836463;6457.482310364558;2382.830929004837;11145.504279766043;2020-04-25
21;2608.1110987552356;2689672.4098036266;7220.635646842635;2668.7645670042007;12497.51131260207;2020-04-26
22;2947.3189048360805;2688161.5047487863;8073.130171364637;2987.9672912416154;14008.416367442333;2020-04-27
23;3327.0391224194664;2686473.3208841956;9025.212427822958;3344.3486817905277;15696.600232032952;2020-04-28
24;3751.9914869032486;2684587.424613595;10088.251021388434;3742.253994341939;17582.49650263362;2020-04-29
25;4227.445853074938;2682481.11860173;11274.846168614293;4186.510492809438;19688.802514498668;2020-04-30
26;4759.283044478801;2680129.213842285;12598.946492969671;4682.47773649547;22040.707273943943;2020-05-01
27;5354.06197701836;2677503.7845242717;14075.972660819432;5236.101954119328;24666.136591957118;2020-05-02
28;6019.093563012899;2674573.9059566623;15722.947030098494;5853.974566455007;27596.0151595664;2020-05-03
29;6762.521891047489;2671305.376351288;17558.628049701725;6543.394824191776;30864.54476494099;2020-05-04
30;7593.413162478211;2667660.4240028253;19603.6475537991;7312.436397126428;34509.49711340374;2020-05-05
31;8521.85284590903;2663597.4020082112;21880.64862075837;8170.017641350276;38572.519108017674;2020-05-06
32;9559.051475001042;2659070.473888633;24414.42069945395;9125.975053141412;43099.4472275964;2020-05-07
33;10717.459379036662;2654029.2958893515;27232.026883980383;10191.138963859981;48140.625226877026;2020-05-08
34;12010.890657475307;2648418.700212711;30362.9194655742;11377.410780468637;53751.220903518144;2020-05-09
35;13454.65638036823;2642178.390148771;33839.03470751761;12697.839879572328;59991.530967458166;2020-05-10
36;15065.706920762294;2635242.656077399;37694.85962983185;14166.698488235967;66927.26503883011;2020-05-11
37;16862.783065303;2627540.1264621336;41967.4596230988;15799.55196569363;74629.79465409543;2020-05-12
38;18866.57510339933;2618993.5704143723;46696.45427973106;17613.321318726496;83176.35070185688;2020-05-13
39;21099.888756473632;2609519.7718197987;51923.926517902444;19626.33402205496;92650.14929643105;2020-05-14
40;23587.816305051045;2599029.4987025163;57694.247740727835;21858.35836793421;103140.4224137131;2020-05-15
41;26357.91050214017;2587427.595873453;64053.79921516098;24330.61552547492;114742.32524277607;2020-05-16
42;29440.358426379687;2574613.2313221702;71050.5685930662;27065.762774613097;127556.68979405897;2020-05-17
43;32868.15093057615;2560480.3338221507;78733.59687286602;30087.83949063622;141689.5872940784;2020-05-18
44;36677.24316349238;2544918.256948238;87152.2533412044;33422.16766329482;157251.6641679916;2020-05-19
45;40906.699852125486;2527812.7108761356;96355.31370439203;37095.196683576105;174357.2102400936;2020-05-20
46;45598.81809143555;2509047.0010325275;106389.82008041859;41134.28191184726;193122.92008370138;2020-05-21
47;50799.21898572616;2488503.6103711273;117299.70572937212;45567.38603000377;213666.31074510203;2020-05-22
48;56556.898259032845;2466066.155084486;129124.1753443138;50422.692428396665;236103.7660317433;2020-05-23
