;Cases;S;U;Q;I;date
0;1068.9999999990002;5616202.225844178;3207.0;641.6661523882103;4917.666152387211;2020-05-09
1;1132.7028592058673;5615583.43003191;3769.730606362823;634.0284990887018;5536.461964657392;2020-05-10
2;1196.1421642180894;5614856.14930339;4431.109093284617;636.4914356743186;6263.742693177025;2020-05-11
3;1260.360312974101;5614001.402284482;5208.392653255654;649.7367458551602;7118.489712084915;2020-05-12
4;1326.4787933146163;5612996.900678592;6121.843862155563;674.6686625040277;8122.991317974207;2020-05-13
5;1395.7218017968605;5611816.479282791;7195.24824940387;712.4426625739361;9303.412713774667;2020-05-14
6;1469.4430828266247;5610429.428128119;8456.520570663848;764.5002149562847;10690.463868446757;2020-05-15
7;1549.1565095929973;5608799.714566487;9938.410752754924;832.6101677301077;12320.17743007803;2020-05-16
8;1636.571231982154;5606885.074530795;11679.328233591541;918.9180001964654;14234.81746577016;2020-05-17
9;1733.6321596699834;5604635.955112446;13724.300724392791;1026.004000056147;16483.93688411892;2020-05-18
10;1842.5667843778544;5601994.284782288;16126.088619334667;1156.9518105644656;19125.607214276988;2020-05-19
11;1965.939421033509;5598892.047055095;18946.47665619668;1315.4288642391796;22227.844941469368;2020-05-20
12;2106.714180230056;5595249.629261765;22257.768024428526;1505.7805301417495;25870.262734800333;2020-05-21
13;2268.328113630765;5590973.9172995025;26144.506648197297;1733.1399352337096;30145.97469706177;2020-05-22
14;2454.7762130142382;5585956.104776399;30705.455320194123;2003.5556869580228;35163.787220166385;2020-05-23
15;2670.7101883453292;5580069.184109653;36055.857747850314;2324.1399507165916;41050.707886912234;2020-05-24
16;2921.5531344528554;5573165.088903495;42330.010517883864;2703.239440734569;47954.80309307129;2020-05-25
17;3213.6326751319666;5565071.456912198;49684.17012995442;3150.6322792815727;56048.43508436796;2020-05-26
18;3554.335069041053;5555587.995161439;58299.80853782844;3677.7532282574502;65531.896835126936;2020-05-27
19;3952.283417144924;5544482.43436971;68387.22400119883;4297.950208512128;76637.45762685589;2020-05-28
20;4417.543223036793;5531486.079520111;80189.49474744726;5026.774505972166;89633.81247645621;2020-05-29
21;4961.8587027660105;5516288.992617029;93986.7343408881;5882.306335883159;104830.89937953727;2020-05-30
22;5598.92346097401;5498534.880049854;110100.57193616749;6885.516549571846;122585.01194671333;2020-05-31
23;6344.689118606172;5477815.812316039;128898.72701685203;8060.663545069449;143304.07968052768;2020-06-01
24;7217.715253966022;5453666.979912438;150799.47489305527;9435.721937106984;167452.91208412827;2020-06-02
