;Cases;S;U;Q;I;date
0;6765.0;6212609.568489289;20295.0;7586.313428769552;34646.31342876955;2020-05-09
1;7165.783689696989;6208352.359948819;23460.226533238852;8277.511746303033;38903.52196923888;2020-05-10
2;7604.801217369839;6203435.181211335;27115.20735602025;9100.69213333231;43820.7007067224;2020-05-11
3;8089.202948125421;6197757.254936215;31334.4130696671;10075.010964050298;49498.62698184282;2020-05-12
4;8627.181444371583;6191202.926848252;36203.20088483364;11222.572740600435;56052.95506980566;2020-05-13
5;9228.130903384514;6183639.643544452;41819.25747477438;12568.849995446992;63616.238373605884;2020-05-14
6;9902.829230320936;6174915.711727521;48294.184413762836;14143.15654645218;72340.17019053595;2020-05-15
7;10663.645841728707;6164857.834311109;55755.22286718593;15979.178898035228;82398.04760694985;2020-05-16
8;11524.777300804153;6153268.43796486;64347.099368422016;18115.567283972407;93987.44395319858;2020-05-17
9;12502.51489655493;6139922.800936826;74233.97488246571;20596.591202212356;107333.080981233;2020-05-18
10;13615.546854284841;6124566.022986613;85601.45316815149;23472.858909009017;122689.85893144536;2020-05-19
11;14885.29853197016;6106909.89392821;98658.58972668355;26802.099731193637;140345.98798984734;2020-05-20
12;16336.313798136222;6086629.754420074;113639.80982075172;30650.003879095922;160626.12749798386;2020-05-21
13;17996.680012471752;6063361.473782257;130806.61831567014;35091.109807657784;183894.40813579966;2020-05-22
14;19898.498856457383;6036698.727644139;150448.93267952034;40209.72273794169;210557.1542739194;2020-05-23
15;22078.403885065283;6006190.814379508;172885.82447749402;46100.83917599172;241065.06753855103;2020-05-24
16;24578.124316926063;5971341.319419775;198465.3961020462;52871.042079310115;275914.56249828235;2020-05-25
17;27445.09233747015;5931608.018846478;227563.45305438532;60639.317679723514;315647.86307157896;2020-05-26
18;30733.088441206393;5886404.497408103;260580.56655514849;69537.72951359958;360851.3845099544;2020-05-27
19;34502.91555442369;5835104.040366337;297937.0590782989;79711.86691899697;412151.8415517196;2020-05-28
20;38823.08799032991;5777046.428843705;340065.39980444906;91320.9652795728;470209.45307435177;2020-05-29
21;43770.5158436168;5711548.306897806;387399.48338818416;104537.57578844938;535707.5750202504;2020-05-30
22;49431.157806045165;5637917.7855044445;440360.29859322717;119546.64001433944;609338.0964136118;2020-05-31
23;55900.60943671889;5555473.8378733555;499337.61765024246;136543.8169577392;691782.0440447006;2020-06-01
24;63284.58412904715;5463570.859419358;564667.5416179582;155732.8967516931;783685.0224986984;2020-06-02
25;71699.23686371172;5361628.408805036;636606.0876736633;177322.1485756457;885627.4731130208;2020-06-03
26;81271.27351736625;5249165.64907798;715299.4832903447;201519.4760323658;998090.2328400768;2020-06-04
27;92137.78317384365;5125839.349279308;800752.4424126899;228526.30705221542;1121416.532638749;2020-06-05
28;104445.72930908247;4991483.526433772;892796.3981635917;258530.2280116106;1255772.355484285;2020-06-06
29;118351.03878887085;4846147.987251756;991060.371197602;291696.4846798276;1401107.8946663006;2020-06-07
30;134017.2376317643;4690132.297738071;1094947.7324439872;328158.6141042343;1557123.5841799858;2020-06-08
31;151613.59892911336;4524011.229781951;1203622.4317888212;368008.621418171;1723244.6521361056;2020-06-09
32;171312.79438537513;4348647.6981577845;1316008.1128261094;411287.2765487868;1898608.1837602714;2020-06-10
33;193288.0720091587;4165189.758826618;1430802.8323571251;457975.21872515365;2082066.1230914376;2020-06-11
34;217710.02055038526;3975049.4439356215;1546510.7821679986;507985.6352640501;2272206.437982434;2020-06-12
35;244743.01897840484;3779863.0105200303;1661490.5921259471;561159.2602936734;2467392.871398025;2020-06-13
36;274541.5057734245;3581434.3326504314;1774017.7069910055;617262.3365031944;2665821.5492676245;2020-06-14
37;307246.2295770751;3381665.3335988494;1882356.3431256916;675987.97561644;2865590.548319207;2020-06-15
38;342980.65877252404;3182479.108513674;1984835.0396477296;736961.074984129;3064776.7734043826;2020-06-16
