;Cases;S;U;Q;I;date
0;3123.0;16080963.132980157;9369.0;2118.025073067051;14610.02507306705;2020-05-09
1;3237.9495564963886;16080158.6398719;9696.892593295237;2479.6760315297493;15414.518181321375;2020-05-10
2;3370.9448244584164;16079326.03565076;10036.217510076025;2839.960067927067;16247.122402461508;2020-05-11
3;3521.9333536482127;16078464.343293384;10387.370296930547;3199.5111092593897;17108.814759838147;2020-05-12
4;3690.894102510414;16077572.552243171;10750.759948067964;3558.9517594727313;18000.605810051107;2020-05-13
5;3877.8369043199054;16076649.61724247;11126.80936463677;3918.8945417941395;18923.540810750816;2020-05-14
6;4082.8019916715216;16075694.457166461;11515.955812146663;4279.9430829401945;19878.70088675838;2020-05-15
7;4305.859594683105;16074705.953814039;11918.651393830914;4642.693250667209;20867.20423918123;2020-05-16
8;4547.109534851183;16073682.95070146;12335.36352299088;5007.734293917092;21890.207351759156;2020-05-17
9;4806.68094445479;16072624.251768367;12766.57542774881;5375.6499126493145;22948.906284852914;2020-05-18
10;5084.732068858794;16071528.620030738;13212.786675552043;5747.019278072111;24044.538022482946;2020-05-19
11;5381.4500094135865;16070394.776259279;13674.513687892439;6122.418096635629;25178.381793941655;2020-05-20
12;5697.050567993006;16069221.397575293;14152.290285263553;6502.419624671063;26351.760477927623;2020-05-21
13;6031.778198519603;16068007.115989074;14646.668253590688;6887.595612037294;27566.042064147587;2020-05-22
14;6385.9058898093635;16066750.516940635;15158.217908387114;7278.517314390194;28822.641112586673;2020-05-23
15;6759.735217486228;16065450.137747895;15687.528694016093;7675.756393824934;30123.020305327256;2020-05-24
16;7153.596365661828;16064104.46602518;16235.20979181369;8079.885870567766;31468.692028043282;2020-05-25
17;7567.8482281465485;16062711.938065806;16801.89074237597;8491.481016892498;32861.21998741502;2020-05-26
18;8002.87853218513;16061270.937155375;17388.22209077668;8911.120274884264;34302.22089784608;2020-05-27
19;8459.104028124073;16059779.79185567;17994.87604368602;9339.386125741516;35793.36619755161;2020-05-28
20;8936.970707208155;16058236.774216957;18622.547149613954;9776.865979442291;37336.3838362644;2020-05-29
21;9436.954074156682;16056640.09795672;19271.95299239855;10224.153029945446;38933.060096500674;2020-05-30
22;9959.559451871724;16054987.916562574;19943.834908366774;10681.84713040939;40585.24149064789;2020-05-31
23;10505.32234439604;16053278.321374042;20638.958714170876;11150.555620611654;42294.83667917857;2020-06-01
24;11074.80883487522;16051509.33959284;21358.115456978827;11630.894168525818;44063.818460379865;2020-06-02
25;11668.616002320747;16049678.932184326;22102.122194952328;12123.487671622379;45894.22586889545;2020-06-03
26;12287.372423065297;16047784.991819609;22871.822775483703;12628.971035062845;47788.16623361184;2020-06-04
27;12931.7386913153;16045825.3407038;23668.088644215975;13147.99001388811;49747.81734941939;2020-06-05
28;13602.407970555352;16043797.728301033;24491.819680910085;13681.202100721564;51775.429752187;2020-06-06
29;14300.106612433427;16041699.829099864;25343.945037074136;14229.277303849347;53873.32895335691;2020-06-07
30;15025.594801998539;16039529.240249932;26225.42400387289;14792.898997417926;56043.917803289354;2020-06-08
31;15779.667241539764;16037283.479106642;27137.246902420164;15372.764802618354;58289.67894657828;2020-06-09
32;16563.153888509205;16034959.980807777;28080.435982755043;15969.58737417869;60613.177245442945;2020-06-10
33;17376.92072787082;16032556.095711228;29056.046349037977;16584.095265084037;63017.06234199283;2020-06-11
34;18221.870587774472;16030069.086754685;30065.16690339078;17217.033807369877;65504.07129853513;2020-06-12
35;19098.94399723995;16027496.126830505;31108.921307093744;17869.165918381383;68077.03122271507;2020-06-13
36;20009.120089935608;16024834.29602035;32188.468959290665;18541.27298364593;70738.8620328722;2020-06-14
37;20953.41755234399;16022080.578765647;33305.00599286231;19234.15574236643;73492.57928757273;2020-06-15
38;21932.895603936297;16019231.861030022;34459.76629678585;19948.635122479016;76341.29702320116;2020-06-16
39;22948.655036148146;16016284.927329974;35654.022542009625;20685.55314508936;79288.23072324714;2020-06-17
40;24001.83929157346;16013236.457711846;36889.08722788009;21445.773821922317;82336.70034137586;2020-06-18
41;25093.63557365226;16010083.02469474;38166.31376111201;22230.18402371641;85490.13335848067;2020-06-19
42;26225.276028637214;16006821.090098096;39487.09751351124;23039.694412977813;88752.06795512626;2020-06-20
43;27398.038952950257;16003447.001825083;40852.8769229811;23875.240352207424;92126.15622813877;2020-06-21
44;28613.250032537246;15999956.990590205;42265.13462905721;24737.782801422523;95616.16746301699;2020-06-22
45;29872.283650720336;15996347.166558212;43725.39858671777;25628.309257573306;99225.9914950114;2020-06-23
46;31176.56428661362;15992613.515904624;45235.24310917324;26547.83475281237;102959.64214859923;2020-06-24
47;32527.567863815162;15988751.897337954;46796.29009956553;27497.40275188752;106821.2607152682;2020-06-25
48;33926.823190875795;15984758.038538996;48410.21021152043;28478.08611182954;110815.11951422578;2020-06-26
49;35375.91347682026;15980627.532560796;50078.72395143925;29490.988064165926;114945.62549242543;2020-06-27
50;36876.47790864646;15976355.8341892;51803.60274852881;30537.24320684564;119217.3238640209;2020-06-28
51;38430.213177929916;15971938.25612208;53586.67028266198;31618.01847054877;123634.90193114066;2020-06-29
52;40038.875134975904;15967369.965179136;55429.80361686015;32734.514122248725;128203.19287408478;2020-06-30
53;41704.28052758878;15962645.978578394;57334.93418386033;33887.96476337707;132927.1794748262;2020-07-01
54;43428.3087205254;15957761.15996742;59304.04901970938;35079.64034556471;137811.9980857995;2020-07-02
55;45212.9034574505;15952710.215376621;61339.192023106254;36310.847196041694;142862.94267659844;2020-07-03
56;47060.07471946768;15947487.689272428;63442.46502379216;37582.92903753175;148085.4687807916;2020-07-04
57;48971.90066656707;15942087.960797437;65616.02861713346;38897.267972080976;153485.1972557815;2020-07-05
58;50950.52952929279;15936505.239367506;67862.10358779957;40255.28556862053;159067.9186857129;2020-07-06
59;52998.18160912197;15930733.56056393;70182.9719790153;41658.44390115264;164839.5974892899;2020-07-07
60;55117.15134918155;15924766.782226318;72580.97793990417;43108.24653781473;170806.37582690045;2020-07-08
61;57309.80945292932;15918598.580493296;75058.52857115354;44606.239535840316;176974.57755992317;2020-07-09
62;59578.604995756374;15912222.445143113;77618.09532943071;46154.01258491953;183350.7129101066;2020-07-10
63;61926.0676424531;15905631.67554112;80262.21485596048;47753.20001368545;189941.48251209903;2020-07-11
64;64354.80991614597;15898819.377094578;82993.48937298797;49405.48166950752;196753.78095864144;2020-07-12
65;66867.5294971097;15891778.456674077;85814.58784602274;51112.58403601091;203794.70137914334;2020-07-13
66;69467.01157772774;15884501.618236108;88728.24694079922;52876.28129858491;211071.53981711186;2020-07-14
67;72156.13126957031;15876981.358980821;91737.27152684316;54698.396275985346;218591.7990723988;2020-07-15
68;74937.85604214986;15869209.966151515;94844.53467366885;56580.80118588637;226363.19190170508;2020-07-16
69;77815.24825367333;15861179.511920953;98052.97899855644;58525.41888003715;234393.6461322669;2020-07-17
70;80791.4677049519;15852881.84957813;101365.61701844359;60534.22375169384;242691.30847508932;2020-07-18
71;83869.77419439655;15844308.610496843;104785.53092513182;62609.24243684644;251264.5475563748;2020-07-19
72;87053.5301527223;15835451.20056071;108315.87269087131;64752.554648915095;260121.9574925087;2020-07-20
73;90346.20339425911;15826300.79541052;111959.86493916702;66966.2943092722;269272.36264269834;2020-07-21
74;93751.36982607473;15816848.337301966;115720.8006645162;69252.6502606595;278724.82075125043;2020-07-22
75;97272.71607801146;15807084.53339508;119602.04197902967;71613.86660109539;288488.6246581365;2020-07-23
76;100914.04242461202;15796999.851182023;123607.02068872143;74052.24375785986;298573.30687119334;2020-07-24
77;104679.26565336323;15786584.515184453;127739.23798918918;76570.13922621233;308988.6428687647;2020-07-25
78;108572.42185901257;15775828.504931143;132002.26329638984;79169.96796667099;319744.6531220734;2020-07-26
79;112597.6691598608;15764721.554114373;136399.73229390403;81854.20248507829;330851.6039388431;2020-07-27
80;116759.29089679373;15753253.145765731;140935.3474296871;84625.37396100414;342320.01228748495;2020-07-28
81;121061.69853333199;15741412.510717673;145612.87629953565;87486.07250267606;354160.6473355437;2020-07-29
82;125509.43434920337;15729188.627999844;150436.14882702733;90438.94687714311;366384.5300533738;2020-07-30
83;130107.17446932118;15716570.223081836;155409.05568847992;93486.70481358048;379002.93497138156;2020-07-31
84;134859.73207709414;15703545.765140478;160535.54727145718;96632.1135641887;392027.39291274;2020-08-01
85;139772.06028969926;15690103.467314452;165819.63079024327;99877.99965882204;405469.6907387646;2020-08-02
86;144849.25464162708;15676231.289883628;171265.3656687504;103227.24785921213;419341.8681695896;2020-08-03
87;150096.55654246322;15661916.937380169;176876.86237162902;106682.80175895545;433656.2206730477;2020-08-04
88;155519.35624861656;15647147.859355899;182658.27906162242;110247.66338707904;448425.29869731807;2020-08-05
89;161123.19549304285;15631911.253571782;188613.81684588396;113924.8921425096;463661.90448143636;2020-08-06
90;166913.76996205415;15616194.070444545;194747.71426789774;117717.60337872157;479379.08760867344;2020-08-07
91;172896.9329082093;15599983.011264473;201064.24517609534;121628.96870443986;495590.1467887445;2020-08-08
92;179078.69777306533;15583264.532590829;207567.71311079935;125662.21457852349;512308.62546238815;2020-08-09
93;185465.24014685268;15566024.85431971;214262.44371819755;129820.61986845676;529548.3037335069;2020-08-10
94;192062.90081750037;15548249.96253569;221152.77982771696;134107.51487230964;547323.1955175269;2020-08-11
95;198878.1887739523;15529925.613011923;228243.07610810813;138526.28015923468;565647.5450412951;2020-08-12
96;205917.78339691507;15511037.339170683;235537.69133289915;143080.3441527193;584535.8188825336;2020-08-13
97;213188.5357358264;15491570.464516452;243040.97837018417;147773.17943075558;604002.6935367661;2020-08-14
98;220697.4720406791;15471510.105225911;250757.2789381286;152608.30184849855;624063.0528273062;2020-08-15
99;228451.7958057736;15450841.179950548;258690.91469756284;157589.2675993329;644731.9781026694;2020-08-16
100;236458.88896345513;15429548.42339789;266846.1765216226;162719.66917025222;666024.73465533;2020-08-17
101;244726.31317529615;15407616.399944168;275227.31363942707;168003.1312943282;687956.7581090514;2020-08-18
102;253261.81290957268;15385029.51059949;283838.5256782994;173443.30886585533;710543.6474537274;2020-08-19
103;262073.31646967452;15361772.008549863;292683.9506926477;179043.8823410325;733801.1495033547;2020-08-20
104;271168.9355654906;15337828.01991175;301767.6510242325;184808.5515517471;757745.1381414703;2020-08-21
105;280556.9674788303;15313181.556157164;311093.60234767245;190741.03206955158;782391.6018960543;2020-08-22
106;290245.8963174547;15287816.530180646;320665.68107420416;196845.0504809132;807756.627872572;2020-08-23
107;300244.39282509;15261716.777457112;330487.6496637727;203124.33810724368;833856.3805961064;2020-08-24
108;310561.31270837627;15234866.081822855;340563.14025238255;209582.62326960478;860707.0762303637;2020-08-25
109;321205.6989428871;15207248.19064102;350895.64149885916;216223.62697045214;888324.9674121984;2020-08-26
110;332186.7809465548;15178846.839435436;361488.4820794181;223051.05559180977;916726.3186177826;2020-08-27
111;343513.97208827845;15149645.780609842;372344.8131322562;230068.59222284122;945927.377443376;2020-08-28
112;355196.8683185943;15119628.810412604;383467.5906758456;237279.88864617547;975944.3476406154;2020-08-29
113;367245.2484967565;15088779.792951569;394859.5582056162;244688.55839927815;1006793.3651016508;2020-08-30
114;379669.07163393794;15057082.691522103;406523.22752444644;252298.16737273303;1038490.4665311174;2020-08-31
115;392478.4716741525;15024521.603989324;418460.85952262254;260112.22286712078;1071051.5540638957;2020-09-01
116;405683.75687778904;14991080.792348439;430674.44375875755;268134.16506823467;1104492.3657047814;2020-09-02
117;419295.406679227;14956744.716977369;443165.67758311774;276367.3568135049;1138828.4410758496;2020-09-03
118;433324.0664882831;14921498.073879136;455935.9455161764;284815.07216962485;1174075.0841740845;2020-09-04
119;447780.54085463297;14885325.833934098;468986.29911160824;293480.48415287974;1210247.3241191208;2020-09-05
120;462675.7917796989;14848213.280108841;482317.432106988;302366.6540576914;1247359.8779443782;2020-09-06
121;478020.9322149912;14810146.049014116;495929.6581591506;311476.51866496156;1285427.1090391034;2020-09-07
122;493827.21775177144;14771110.172654575;509822.8906542613;320812.87699261314;1324462.985398646;2020-09-08
123;510106.03923847026;14731092.122125411;523996.6199237577;330378.3767655799;1364481.035927808;2020-09-09
124;526868.916110966;14690078.853113204;538449.8882260505;340175.50060299935;1405494.304940016;2020-09-10
125;544127.487794681;14648057.850087998;553181.2679075246;350206.55226301553;1447515.307965221;2020-09-11
126;561893.5044674885;14605017.174630083;568188.8374176288;360473.6415380195;1490555.9834231369;2020-09-12
127;580178.8170316668;14560945.514045484;583470.1580527945;370978.66892327537;1534627.6440077368;2020-09-13
128;598995.3648368315;14515832.22740696;599022.255483101;381723.3103263281;1579740.9306462607;2020-09-14
129;618355.165401143;14469667.398168625;614841.5936771875;392709.0008062652;1625905.7598845956;2020-09-15
130;638270.3018387312;14422441.883562349;630924.0540800041;403936.91857213434;1673131.2744908696;2020-09-16
131;658752.9091742304;14374147.361363586;647264.9179375782;415407.96957782307;1721425.7966896317;2020-09-17
