;Cases;S;U;Q;I;date
0;345.99999999900007;2240000.0000032787;1038.0;219.0786780792463;1603.0786780782464;2020-05-09
1;367.952929086405;2239800.209713897;1214.348070342188;220.5679680312061;1802.8689674597993;2020-05-10
2;390.23527969574894;2239566.5012282645;1420.6319211882396;225.71025220848094;2036.5774530924696;2020-05-11
3;413.22653847094;2239293.1258911868;1661.9242657485022;234.80198595035935;2309.9527901698016;2020-05-12
4;437.33980370773133;2238973.364214812;1944.1541355559639;248.2205272808201;2629.7144665445153;2020-05-13
5;463.0303894393205;2238599.363350147;2274.250104653681;266.4348371160815;3003.7153312090827;2020-05-14
6;490.8056103298699;2238161.947581071;2660.307237022412;290.0182529327649;3441.131100285047;2020-05-15
7;521.2359533866467;2237650.397959723;3111.7811515643466;319.6636166822963;3952.6807216332895;2020-05-16
8;554.9678970505421;2237052.196067446;3639.713586624927;356.2011302348708;4550.882613910339;2020-05-17
9;592.7386674283488;2236352.726505135;4256.994166654307;400.61934213825634;5250.352176220912;2020-05-18
10;635.3932726426438;2235534.9317904715;4978.663868502225;454.0897497400285;6068.146890884897;2020-05-19
11;683.904195082243;2234578.9128605607;5822.266079319438;517.9955463938308;7024.1658207955115;2020-05-20
12;739.3941976695799;2233461.4672185453;6808.252117769543;593.965147371632;8141.611462810754;2020-05-21
13;803.1627449190822;2232155.556385454;7960.44837363232;683.9111773508839;9447.522295902287;2020-05-22
14;876.7166313237533;2230629.693265499;9306.593071520265;790.0757130128518;10973.38541585687;2020-05-23
15;961.8054828774182;2228847.2396179945;10878.950933483427;915.0826470006181;12755.839063361464;2020-05-24
16;1060.4628852532512;2226765.603492104;12715.01418346859;1061.998120530407;14837.475189252247;2020-05-25
17;1175.054001042262;2224335.3263537525;14858.29826395665;1234.4000626049476;17267.75232760386;2020-05-26
18;1308.3306690438176;2221499.049963506;17359.24008976838;1436.457959038138;20104.028717850335;2020-05-27
19;1463.494988961934;2218190.355857287;20276.203952129454;1673.0238829777236;23412.72282406911;2020-05-28
20;1644.272652807716;2214332.470942279;23676.599093115878;1949.7359931532153;27270.607739076808;2020-05-29
21;1854.997289025374;2209836.8386061094;27638.10730739983;2273.135478821317;31766.240075246522;2020-05-30
22;2100.7072026550154;2204601.561114957;32250.012579181926;2650.7977845614223;37001.51756639837;2020-05-31
23;2387.255978541284;2198509.728530777;37614.61553091358;3091.478641123389;43093.35015057825;2020-06-01
24;2721.4384289520685;2191427.663825373;43848.70155488658;3605.274872143971;50175.41485598262;2020-06-02
25;3111.133332672514;2183203.1316181887;51085.01452506832;4203.7992054258575;58399.94706316669;2020-06-03
26;3565.464281849746;2173663.584390871;59473.66285316566;4900.367155469224;67939.49429048464;2020-06-04
27;4094.979679065989;2162614.551102685;69183.35538808531;5710.192511519921;78988.52757867123;2020-06-05
28;4711.8525017398415;2149838.314183004;80402.32610460668;6650.585892005182;91764.7644983517;2020-06-06
29;5430.099733830594;2135093.0697632474;93338.76110826139;7741.148076016566;106510.00891810855;2020-06-07
30;6265.820406443866;2118112.822070149;108220.48976921193;9003.946435551736;123490.25661120753;2020-06-08
31;7237.449790040785;2098608.3246646123;125293.6456451527;10463.658581550148;142994.75401674365;2020-06-09
32;8366.02547103933;2076269.4418396254;144819.9489012836;12147.662469407944;165333.63684173088;2020-06-10
33;9675.458690968693;2050769.3548088698;167072.21838964347;14086.046791874342;190833.7238724865;2020-06-11
34;11192.801447415704;2021771.0646092622;192327.70264339788;16311.509981280498;219832.01407209408;2020-06-12
35;12948.496411457792;1988936.6287466679;220858.8424091644;18859.11111406612;252666.44993468834;2020-06-13
36;14976.592866877876;1951939.4860866654;252921.167112841;21765.83261497184;289663.5925946907;2020-06-14
37;17314.90781149857;1910480.0494840967;288738.20717944;25069.914206320773;331123.02919725934;2020-06-15
38;20005.10746891017;1864304.454677063;328483.594739496;28809.92179588679;377298.62400429294;2020-06-16
39;23092.681307527888;1813225.935845859;372260.9356991989;33023.52582876997;428377.14283549675;2020-06-17
40;26626.7789993674;1757147.765329439;420082.5516478031;37745.982704746406;484455.3133519169;2020-06-18
41;30659.881436668722;1696086.0986064961;471848.7577614191;43008.34087677195;545516.9800748598;2020-06-19
42;35247.28084720206;1630190.4874906887;527329.8803567698;48835.42998669548;611412.5911906674;2020-06-20
43;40446.35298063591;1559759.4126221873;586153.5795300292;55243.733548503784;681843.666059169;2020-06-21
44;46315.6165337183;1485248.0852254264;647800.0887367643;62239.288185447156;756354.9934559297;2020-06-22
45;52913.59113389454;1407266.1207632283;711607.5793677805;69815.78741645272;834336.9579181276;2020-06-23
46;60297.48410858693;1326563.561939515;776788.9461392303;77953.08649402371;915039.5167418409;2020-06-24
47;68521.75583469619;1244005.0721473224;842459.9520244162;86616.2986749212;997598.0065340336;2020-06-25
48;77636.63093991393;1160533.7323028154;907677.0772462554;95755.63819237126;1081069.3463785406;2020-06-26
49;87686.63532364217;1077127.4676161031;971481.8742610193;105307.10148059126;1164475.6110652527;2020-06-27
50;98709.24389271247;994752.3124910586;1032947.5283707716;115193.9939268132;1246850.7661902972;2020-06-28
51;110733.72010837417;914317.2351385225;1091222.905547849;125329.21788661004;1327285.843542833;2020-06-29
52;123780.21571783054;836634.9483537456;1145569.759926252;135618.15468352722;1404968.1303276098;2020-06-30
53;137859.17906678232;762392.1105822228;1195389.8755729813;145961.9134593695;1479210.968099133;2020-07-01
54;152971.09605543467;692130.831857978;1240240.458231651;156260.6925362922;1549472.246823378;2020-07-02
55;169106.56248876266;626241.7846426492;1279837.7254029354;166417.00614700856;1615361.2940387067;2020-07-03
56;186246.66336619502;564967.7909269206;1314050.0575956532;176338.56679258705;1676635.2877544353;2020-07-04
57;204363.61659198228;508415.774823146;1342883.016274895;185940.67099133253;1733187.3038582099;2020-07-05
58;223421.62654165234;456574.4818763554;1366458.96869933;195148.00156401805;1785028.5968050002;2020-07-06
59;243377.88747620725;409335.3516189153;1384994.0166748026;203895.82291143073;1832267.7270624405;2020-07-07
60;264183.67712552287;366514.23953184555;1398774.566266069;212130.5957579186;1875088.8391495105;2020-07-08
61;285785.4851576828;327872.2345590792;1408135.276002497;219810.082962097;1913730.8441222766;2020-07-09
62;308126.1310142676;293134.3882920757;1413439.5294605773;226903.0299144355;1948468.6903892804;2020-07-10
63;331145.83205310564;262005.60696783446;1415063.1223319238;233388.51732849213;1979597.4717135215;2020-07-11
64;354783.1946526954;234183.59816571858;1413381.1965795408;239255.0892834011;2007419.4805156374;2020-07-12
65;378976.110880672;209368.8381191287;1408758.3960112703;244499.7336702849;2032234.2405622273;2020-07-13
66;403662.54842208774;187271.90001961912;1401541.8341888245;249126.79605082463;2054331.178661737;2020-07-14
67;428781.2317525809;167618.49164103196;1392056.474807682;253146.88048006126;2073984.5870403242;2020-07-15
68;454272.21395428217;150152.62588070106;1380602.4538713605;256575.7849750124;2091450.452800655;2020-07-16
69;480077.34552766825;134638.31946051892;1367453.9132027333;259433.50049043572;2106964.759220837;2020-07-17
70;506140.64724501723;120860.18004502909;1352858.9579074632;261743.29348384653;2120742.898636327;2020-07-18
71;532408.5955584006;108623.186690611;1337040.412064056;263530.88436828845;2132979.891990745;2020-07-19
72;558830.3311591735;97751.91442416911;1320197.1088356392;264823.72426237416;2143851.164257187;2020-07-20
73;585357.7999384815;88089.3998925565;1302505.5087323044;265650.37011801376;2153513.6787888;2020-07-21
74;611945.8362467944;79495.79832711007;1284121.490831624;266039.95327582775;2162107.280354246;2020-07-22
75;638552.1974359065;71846.94298686352;1265182.2033505084;266021.734908078;2169756.135694493;2020-07-23
76;665137.5579168152;65032.88626186647;1245807.894062682;265624.7404399925;2176570.19241949;2020-07-24
77;691665.4702911628;58956.47673002594;1226103.6672731314;264877.46438703605;2182646.6019513304;2020-07-25
78;718102.3001114307;53532.007341541634;1206161.134086394;263807.63714199;2188071.071339815;2020-07-26
79;744417.1400803791;48683.95572521096;1186059.9374160252;262442.04545974085;2192919.122956145;2020-07-27
80;770581.7086598296;44345.827341055534;1165869.1437211172;260806.39895935392;2197257.251340301;2020-07-28
81;796570.2373291112;40459.104948205495;1145648.5007986631;258925.23560537634;2201143.9737331504;2020-07-29
82;822359.3500596185;36972.30288558759;1125449.565889195;256821.85984695517;2204630.775795769;2020-07-30
