;Cases;S;U;Q;I;date
0;60.000000001;1745000.0;180.0;70.78929182734389;310.7892918283439;2020-04-05
1;67.17926933784977;1744981.5425044184;189.2286989817294;72.83881908978759;329.2467874093668;2020-04-06
2;74.57627724721617;1744962.1389057473;198.9303417553111;75.14376707777207;348.65038608029937;2020-04-07
3;82.21649452630865;1744941.7407404005;209.12914352149193;77.70291337974588;369.0485514275465;2020-04-08
4;90.12533429487398;1744920.2970676352;219.85055604527236;80.51633385261815;390.49222419276447;2020-04-09
5;98.32827944572259;1744897.7543415925;231.12133141153487;83.58533937830434;413.03495023556184;2020-04-10
6;106.85100320546286;1744874.0562780285;242.96958840663908;86.912422187406;436.73301379950794;2020-04-11
7;115.71948583869707;1744849.1437161334;255.4248813383689;90.50120851748937;461.6455756945553;2020-04-12
8;124.96012504813977;1744822.9544704647;268.5182737563803;94.35642255878385;487.83482136330394;2020-04-13
9;134.5998438431594;1744795.4231769228;282.2824151251749;98.4838559367132;515.3661149050475;2020-04-14
10;144.66619716171436;1744766.4811317236;296.75162096537423;102.89034197711908;544.3081601042077;2020-04-15
11;155.18747486444624;1744736.0561212702;311.9619574996472;107.58373819361279;574.7331705577062;2020-04-16
12;166.1928031609846;1744704.0722434742;327.95133053126534;112.57291466144417;606.717048353694;2020-04-17
13;177.71224537781254;1744670.4497201175;344.75957875297274;117.86774757941713;640.3395717102024;2020-04-18
14;189.77690287653468;1744635.1046998224;362.4285716961272;123.47911743281678;675.6845920054786;2020-04-19
15;202.41901536968828;1744597.949051222;381.00231252056074;129.4189127156927;712.8402406059417;2020-04-20
16;215.67206222540312;1744558.890145484;400.5270460597697;135.70003805885116;751.899146344024;2020-04-21
17;229.5708647340888;1744517.830627995;421.0513722117583;142.33642688701562;792.9586638328627;2020-04-22
18;244.15168862021548;1744474.6681798697;442.62636435339465;149.34305898466846;836.1211119582786;2020-04-23
19;259.4523522273662;1744429.2952636657;465.3056955106552;156.7359804241216;881.494028162143;2020-04-24
20;275.51233161652584;1744381.5988621071;489.14576800257254;164.53233010155986;929.1904297206584;2020-04-25
21;292.37287376647515;1744331.4601974469;514.205852567887;172.75036804656875;979.3290943809309;2020-04-26
22;310.0771079054091;1744278.754443296;540.5482312305115;181.40950939593958;1032.0348485318602;2020-04-27
23;328.67016518015765;1744223.3504153704;568.2383504690825;190.53036080813325;1087.4388764573735;2020-04-28
24;348.1992975341293;1744165.1102537974;597.3449785707571;200.13476192549652;1145.6790380303828;2020-04-29
25;368.71400550400506;1744103.8890824276;627.9403741955754;210.24582970053697;1206.9002094001175;2020-04-30
26;390.26616615013387;1744039.534658672;660.1004596295458;220.88800737596688;1271.2546331556464;2020-05-01
27;412.9101703481851;1743971.8869983882;693.9050061696486;232.08711692182325;1338.902293439657;2020-05-02
28;436.70306142818856;1743900.7779899975;729.437824826077;243.8704155762083;1410.0113018304737;2020-05-03
29;461.7046837253373;1743826.0309815987;766.7869701158544;256.26665638795396;1484.7583102291455;2020-05-04
30;487.9778334788383;1743747.4603556108;806.0449499937068;269.30615274449195;1563.3289362170372;2020-05-05
31;515.588420099225;1743664.8710748018;847.3089496130448;283.0208473138671;1645.918217026137;2020-05-06
32;544.6056300790866;1743578.0582157401;890.6810612889079;297.44438471967175;1732.7310760876662;2020-05-07
33;575.1021048353358;1743486.8064650814;936.2685322976726;312.61218961349215;1823.9828267465005;2020-05-08
34;607.1541185576957;1743390.8896095357;984.1840159450832;328.56154778923235;1919.8996822920112;2020-05-09
35;640.8417727388991;1743290.0699815725;1034.5458437432883;345.33169377312385;2020.719310255311;2020-05-10
36;676.2491913960188;1743184.0978980286;1087.4783012793944;362.9639011237852;2126.6913937991985;2020-05-11
37;713.4647339628829;1743072.71105134;1143.111926538286;381.5015799866448;2238.0782404878137;2020-05-12
38;752.5812099200585;1742955.6338915473;1201.5838129792685;400.9903773808294;2355.1554002801563;2020-05-13
39;793.6961115525979;1742832.5769594074;1263.0379356499286;421.4782852176287;2478.2123324201552;2020-05-14
40;836.9118506602581;1742703.2362051648;1327.6254844820548;443.0157515205646;2607.553086662878;2020-05-15
41;882.3360128370333;1742567.292259534;1395.5052199835984;465.65579947316417;2743.4970322937957;2020-05-16
42;930.0816189263405;1742424.4096825412;1466.8438397364764;489.4541506236742;2886.3796092864914;2020-05-17
43;980.2674028260944;1742274.2361676465;1541.8163657731882;514.4693555819521;3036.5531241812346;2020-05-18
44;1033.0181004870267;1742116.40171377;1620.606547267974;540.7629303025002;3194.387578057501;2020-05-19
45;1088.4647543220854;1741950.5177550456;1703.4072828868882;568.3994995730076;3360.271536781981;2020-05-20
46;1146.7450318691233;1741776.1762509781;1790.4210617724148;597.4469472079547;3534.613040849493;2020-05-21
47;1208.0035517907465;1741592.9487539453;1881.8604156778638;627.9765704136611;3717.8405378822717;2020-05-22
48;1272.3922446468036;1741400.3853878737;1977.948410750864;660.0632485560433;3910.403903953711;2020-05-23
49;1340.0707175099603;1741198.013812246;2078.919147319616;693.785614751916;4112.775479581493;2020-05-24
50;1411.2066357230499;1740985.338139806;2185.0182810356846;729.2262352629862;4325.45115202172;2020-05-25
51;1485.9761224870515;1740761.8378085;2296.503563835401;766.4717970052043;4548.951483327657;2020-05-26
52;1564.564185463622;1740526.9663806714;2413.6454192245037;805.6133064681424;4783.822911156269;2020-05-27
53;1647.165159574791;1740280.1503002064;2536.727536012294;846.7462960342524;5030.6389916213375;2020-05-28
54;1733.983164817323;1740020.7876126352;2666.047477352914;889.9710370224977;5290.001679192735;2020-05-29
55;1825.2325953610887;1739748.2466000216;2801.917330297497;935.3927661476456;5562.542691806231;2020-05-30
56;1921.1386271439783;1739461.8643720285;2944.664372853247;983.1219198021146;5848.9249197993395;2020-05-31
57;2021.937750855279;1739160.9453944825;3094.6317676434046;1033.2743788464952;6149.843897345178;2020-06-01
58;2127.8783270550853;1738844.7599557152;3252.1792855623266;1085.9717234952775;6466.02933611269;2020-06-02
59;2239.221170604274;1738512.5425681227;3417.6840539007762;1141.3414992001615;6798.2467237052115;2020-06-03
60;2356.240161497568;1738163.4903036738;3591.54133315358;1199.5174935028992;7147.298988154047;2020-06-04
61;2479.222881062202;1737796.7610611415;3774.1653253662807;1260.6400242579134;7514.028230686396;2020-06-05
62;2608.4712823443206;1737411.4717640008;3965.990006060437;1324.8562394222372;7899.317527826995;2020-06-06
63;2744.3023879537222;1737006.6964861983;4167.469988847716;1392.3204288280676;8304.092805629505;2020-06-07
64;2887.0490186957863;1736581.464504311;4379.0814206369305;1463.1943481842452;8729.324787516962;2020-06-08
65;3037.0605591865537;1736134.7582799874;4601.322898011455;1537.6475546425406;9176.03101184055;2020-06-09
66;3194.703754685536;1735665.511358229;4834.716422549193;1615.8577563643596;9645.277933599089;2020-06-10
67;3360.3635423516243;1735172.6061932237;5079.808382152351;1698.0111741002363;10138.183098604211;2020-06-11
68;3534.44392372605;1734654.8719027815;5337.170550796304;1784.302914523915;10655.91738904627;2020-06-12
69;3717.368871595586;1734111.0819339708;5607.401127951754;1874.9373583095714;11199.70735785691;2020-06-13
70;3909.5832772348213;1733539.9516536412;5891.125800545113;1970.1285604066281;11770.837638186562;2020-06-14
71;4111.553936738164;1732940.1358581597;6188.998833054799;2070.1006638750905;12370.653433668054;2020-06-15
72;4323.770585055289;1732310.2262116522;6501.704169566139;2175.0883255542067;13000.563080175634;2020-06-16
73;4546.746963690378;1731648.7485974072;6829.956574862194;2285.3371558678805;13662.040694420451;2020-06-17
74;4781.02194504335;1730954.1603973128;7174.502779420004;2401.1041700515343;14356.628894514888;2020-06-18
75;5027.160688795783;1730224.8476917527;7536.122658380893;2522.6582528982462;15085.941600074922;2020-06-19
76;5285.75586031508;1729459.1223938493;7915.630404054256;2650.2806336090543;15851.66689797839;2020-06-20
77;5557.428881781933;1728655.2193007732;8313.875734723833;2784.2653745486773;16655.569991054443;2020-06-21
