;Cases;S;U;Q;I;date
0;85.99999999971924;5992514.980520492;353.1172417278916;61.80985343848217;500.927095166093;2020-04-05
1;100.95490985128825;5992426.327968131;422.2203584997256;66.40437917560276;589.5796475266166;2020-04-06
2;117.27125757625116;5992320.3285093475;504.84470632213515;73.46314241215035;695.5791063105366;2020-04-07
3;135.5420179578812;5992193.58874736;603.6351413357183;83.14170900431182;822.3188682979113;2020-04-08
4;156.40804139310694;5992042.051850818;721.7535388150038;95.6941846313708;973.8557648394816;2020-04-09
5;180.58162296075753;5991860.868072355;862.9796688453698;111.4782514959003;1155.0395433020276;2020-04-10
6;208.87172209036507;5991644.239917485;1031.831808248046;130.96416783332725;1371.6676981717383;2020-04-11
7;242.2117491021596;5991385.237366685;1233.7106622931528;154.7478375768515;1630.6702489721638;2020-04-12
8;281.69092679239674;5991075.577095464;1475.0713014705532;183.56829192996491;1940.330520192915;2020-04-13
9;328.59029506084886;5990705.358928922;1763.628364903187;218.33002677159163;2310.5486867356276;2020-04-14
10;384.4245774651691;5990262.751233324;2108.6009683851116;260.13083648168276;2753.1563823319634;2020-04-15
11;450.9912752914244;5989733.615574055;2521.004813289432;310.29595302061284;3282.2920416014695;2020-04-16
12;530.4285938101996;5989101.058992081;3014.00051494693;370.41951481863646;3914.8486235757655;2020-04-17
13;625.2840383782016;5988344.900355985;3603.3086216747975;442.41459961864894;4671.007259671648;2020-04-18
14;738.595872034015;5987441.034541296;4307.703866332996;528.5733359936694;5574.87307436068;2020-04-19
15;873.9900060294264;5986360.675367908;5149.603338882584;631.6389028370014;6655.232247749012;2020-04-20
16;1035.7952993772446;5985069.455351427;6155.765437937639;754.8915269144015;7946.452264229285;2020-04-21
17;1229.1808964825732;5983526.355760896;7358.119904890602;902.2510533875459;9489.55185476072;2020-04-22
18;1460.319780558913;5981682.436933152;8794.751859833508;1078.399042111568;11333.47068250399;2020-04-23
19;1736.5835227327862;5979479.333716586;10511.066499262553;1288.923877075501;13536.57389907084;2020-04-24
20;2066.774053867817;5976847.475966206;12561.164680695594;1540.4929148876795;16168.431649451091;2020-04-25
21;2461.3993579962753;5973703.988228985;15009.46368014589;1841.0563485292435;19311.919386671405;2020-04-26
22;2933.001077450262;5969950.217674454;17932.600795740145;2200.088068012211;23065.689941202618;2020-04-27
23;3496.5433916667134;5965468.8338161735;21421.66089667339;2628.8695111423035;27547.07379948241;2020-04-28
24;4169.8739965819605;5960120.439304259;25584.771165139355;3140.8231496754324;32895.46831139675;2020-04-29
25;4974.269628411665;5953739.628706545;30550.10645938244;3751.902821317438;39276.27890911154;2020-04-30
26;5935.080324934943;5946130.432790009;36469.34596476909;4481.048535942746;46885.47482564678;2020-05-01
27;7082.48841572795;5937061.09175704;43521.61398802612;5350.713454861869;55954.81585861594;2020-05-02
28;8452.399994609046;5926258.114603633;51917.92271517718;6387.470302236795;66757.79301202302;2020-05-03
29;10087.48819862352;5913399.607142621;61906.10907085725;7622.703203554114;79616.30047303488;2020-05-04
30;12038.408758868745;5898107.893338432;73776.21706893288;9093.388449422197;94908.01427722382;2020-05-05
31;14365.20864991312;5879941.519724041;87866.21582317632;10842.963418523648;113074.38789161309;2020-05-06
32;17138.947742399112;5858386.829168776;104567.85456936398;12922.276135115137;134629.07844687824;2020-05-07
33;20443.550508660646;5832849.426827425;124332.33246082634;15390.597818741724;160166.4807882287;2020-05-08
34;24377.899080819978;5802646.049047361;147675.29331338315;18316.666174089412;190369.85856829255;2020-05-09
35;29058.169170002577;5766997.593401427;175180.43811718753;21779.70692703541;226018.3142142255;2020-05-10
36;34620.39504959701;5725024.380870147;207500.77764204578;25870.354053862684;267991.52674550546;2020-05-11
37;41223.227273029486;5675745.096500233;245356.22946961966;30691.35437277095;317270.81111542013;2020-05-12
38;49050.81520641394;5618081.273301599;289525.9195254416;36357.89958219931;374934.63431405486;2020-05-13
39;58315.704098467075;5550869.60085388;340833.22283733875;42997.37982596779;442146.3067617736;2020-05-14
40;69261.58218499064;5472884.672502588;400121.3515782794;50748.30134979589;520131.2351130659;2020-05-15
41;82165.64744777935;5382874.902412307;468217.293288856;59758.06446671;610141.0052033453;2020-05-16
