;Cases;S;U;Q;I;date
0;2155.9999999990005;3216000.0000024443;6468.0;2279.4516535685334;10903.451653567532;2020-05-09
1;2385.6607844546274;3214766.6764915385;7431.776469593984;2319.337910425063;12136.775164473675;2020-05-10
2;2621.0156022105707;3213350.214850627;8538.537995473707;2393.6832077010627;13553.23680538534;2020-05-11
3;2865.625148642734;3211723.6485272325;9809.29774580622;2504.8802343312946;15179.803128780248;2020-05-12
4;3123.31921280328;3209856.1123984447;11268.09358312016;2655.9264616439195;17047.33925756736;2020-05-13
5;3398.2600895573332;3207712.3030559025;12942.402509396394;2850.4860011563555;19191.148600110082;2020-05-14
6;3695.012719838197;3205251.871678015;14863.605472825866;3092.9617853333702;21651.579977997433;2020-05-15
7;4018.6228114844093;3202428.7414748133;17067.50795888427;3388.579410830672;24474.710181199353;2020-05-16
8;4374.703661289483;3199190.3488775706;19594.91624787051;3743.482869281753;27713.102778441746;2020-05-17
9;4769.533371671218;3195476.799287432;22492.275136376822;4164.843860532663;31426.652368580704;2020-05-18
10;5210.163699430041;3191219.9354049885;25812.36714387403;4660.985407720612;35683.51625102468;2020-05-19
11;5704.542007937507;3186342.316747947;29615.072229418663;5241.520670710001;40561.134908066175;2020-05-20
12;6261.647783108593;3180756.111302063;33968.18488861648;5917.507682225401;46147.34035395048;2020-05-21
13;6891.645722315448;3174361.904949706;38948.28030462594;6701.620679365472;52541.546706306865;2020-05-22
14;7606.056477579117;3167047.44059386;44641.61689834881;7608.337686224655;59856.01106215258;2020-05-23
15;8417.94710038252;3158686.305724629;51145.05474154824;8654.144089453419;68217.14593138418;2020-05-24
16;9342.142576187081;3149136.598323153;58566.96011808034;9857.750638593216;77766.85333286063;2020-05-25
17;10395.459772165292;3138239.6137763066;67028.05487602147;11240.323231519846;88663.83787970661;2020-05-26
18;11596.96477907695;3125818.6121130856;76662.15442015023;12825.720343700474;101084.83954292766;2020-05-27
19;12968.254134803932;3111677.744953494;87616.7206336665;14640.73193404849;115225.70670251893;2020-05-28
20;14533.759662641018;3095601.245927865;100053.13494624328;16715.31111926322;131302.20572814753;2020-05-29
21;16321.07560376542;3077353.0169285727;114146.57242594239;19082.786697732194;149550.43472743998;2020-05-30
22;18361.305520154125;3056676.7684425823;130085.33628586015;21780.041407416476;170226.68321343075;2020-05-31
