;Cases;S;U;Q;I;date
0;12469.999999999001;7680000.000000009;37410.0;7486.357399926944;57366.357399925946;2020-05-09
1;13209.623139349951;7672778.131558892;44054.06248329918;7324.540218395167;64588.2258410443;2020-05-10
2;13938.676560148773;7664283.127358965;51868.7033876653;7275.85009315839;73083.23004097247;2020-05-11
3;14668.775775040738;7654294.336389948;61056.528624938335;7346.716610010044;83072.02100998911;2020-05-12
4;15412.295051474668;7642554.3212905945;71853.81625307527;7545.924804792698;94812.03610934263;2020-05-13
5;16182.615750638868;7628763.287501611;84535.57353279807;7884.880614890123;108603.06989832706;2020-05-14
6;16994.403754384322;7612572.880933116;99421.14911022701;8377.923602210863;124793.4764668222;2020-05-15
7;17863.920445759024;7593579.381649779;116880.36613081323;9042.689173586985;143786.97575015924;2020-05-16
8;18809.372565810183;7571316.352828822;137340.1093200412;9900.522685266347;166050.00457111772;2020-05-17
9;19851.306107918346;7545246.877585938;161291.22806279155;10976.945643290856;192119.47981400075;2020-05-18
10;21013.049309800408;7514755.607919894;189295.5283313464;12302.171838898495;222610.7494800453;2020-05-19
11;22321.209620558646;7479140.980570952;221992.49961999542;13911.66758843329;258225.37682898736;2020-05-20
12;23806.22836913015;7437608.104158718;260105.27972969282;15846.745142398579;299758.2532412216;2020-05-21
13;25502.995747090325;7389263.047911164;304445.1426645669;18155.171077118288;348103.30948877556;2020-05-22
14;27451.52629116082;7333109.504007824;355913.5650549702;20891.762045985175;404256.85339211626;2020-05-23
15;29697.69170288877;7268049.089590167;415500.6477907725;24118.92831611214;469317.2678097734;2020-05-24
16;32294.003213271073;7192886.873933321;484278.36970016494;27907.110553182654;544479.4834666187;2020-05-25
17;35300.42937118588;7106344.021167469;563386.8688660853;32335.03799519872;631022.3362324699;2020-05-26
18;38785.2269748853;7007079.679000559;654011.7344991058;37489.71692538884;730286.67839938;2020-05-27
19;42825.75299238891;6893724.32928394;757350.2356503292;43466.039473282086;843642.0281160001;2020-05-28
20;47509.212815303916;6764926.642751859;874564.6167829414;50365.885049835495;972439.7146480809;2020-05-29
21;52933.28802547402;6619415.270272738;1006721.2195169292;58296.57958479748;1117951.0871272006;2020-05-30
22;59206.572135053335;6456075.877193035;1154715.3297508608;67368.57832099072;1281290.480206905;2020-05-31
23;66448.73110167784;6274041.9041434135;1319183.459230108;77692.2629247405;1463324.4532565263;2020-06-01
24;74790.29645267692;6072795.065219806;1500407.2033557151;89373.79237174141;1664571.2921801335;2020-06-02
25;84371.99665290039;5852268.614895593;1698215.7170014842;102510.02884996135;1885097.742504346;2020-06-03
26;95343.53988566955;5612943.34787031;1911896.7961429683;117182.67350099164;2124423.0095296297;2020-06-04
27;107861.78169360002;5355923.808224809;2140128.8811390763;133451.88634245246;2381442.549175129;2020-06-05
28;122088.2458596272;5082981.129829727;2380947.168340631;151349.8133699543;2654385.2275702124;2020-06-06
29;138186.01590003006;4796550.130848463;2631755.634931265;170874.57572018084;2940816.226551476;2020-06-07
30;156316.0753855767;4499672.348648771;2889392.5785096926;191985.35485589964;3237694.008751169;2020-06-08
31;176633.23771337426;4195883.120064491;3150250.786354569;214599.21326750497;3541483.237335448;2020-06-09
32;199281.86799434878;3889049.344708585;3410444.9646962485;238590.18000075684;3848317.0126913544;2020-06-10
33;224391.64133519935;3583172.5997278723;3666011.185928265;263790.93040860246;4154193.757672067;2020-06-11
34;252073.60204617443;3282178.466306962;3913117.1848516017;289997.1041952009;4455187.891092977;2020-06-12
35;282416.77692843735;2989715.4235962797;4148260.1561937504;316974.0006814715;4747650.933803659;2020-06-13
36;315485.555038713;2708984.814183612;4368430.890185397;344465.0979922171;5028381.543216327;2020-06-14
37;351317.98028515774;2442617.563235676;4571229.1517176945;372201.66216141253;5294748.794164265;2020-06-15
38;389925.0250080223;2192605.4527035872;4754923.257927281;399912.62176104984;5544760.904696353;2020-06-16
39;431290.8314973485;1960286.4659628808;4918455.131602882;427333.9283368285;5777079.891437059;2020-06-17
40;475373.83641050546;1746376.8575639413;5061398.900730083;454216.7626954096;5990989.499835998;2020-06-18
41;522108.6389067608;1551038.2722884384;5183885.296379619;480334.14982512034;6186328.085111501;2020-06-19
42;571408.4407661731;1373966.7173411204;5286505.434756458;505485.764536188;6363399.640058819;2020-06-20
43;623167.8751666596;1214490.9198253234;5370206.652054096;529500.9103538599;6522875.437574615;2020-06-21
44;677266.0473553052;1071669.8660530844;5436190.63255284;552239.8114387087;6665696.491346854;2020-06-22
45;733569.6300069524;944382.243244261;5485821.022186281;573593.4619624427;6792984.114155676;2020-06-23
46;791935.8836758196;831403.4473263609;5520544.695634559;593482.3307631974;6905962.910073576;2020-06-24
47;852215.5032326136;731468.3199606604;5541828.304651518;611854.2295551449;7005898.037439276;2020-06-25
48;914255.2218453508;643319.5768831756;5551109.929749352;628681.628922059;7094046.780516762;2020-06-26
49;977900.1293546936;565743.070675399;5549764.4855661495;643958.6718036947;7171623.286724539;2020-06-27
50;1042995.6843629621;497591.81298601656;5539080.77147555;657698.0885754093;7239774.544413921;2020-06-28
51;1109389.421278431;437800.77625210956;5520248.000347505;669928.1595218928;7299565.581147829;2020-06-29
52;1176932.358750287;385394.5206981896;5494349.637749329;680689.8402021325;7351971.836701749;2020-06-30
53;1245480.1338099546;339489.4499629618;5462362.661340408;690034.1122866136;7397876.907436976;2020-07-01
54;1314893.882512841;299292.2709078591;5425160.596356818;698019.6076224196;7438074.086492078;2020-07-02
55;1385040.8982096573;264095.8913685575;5383519.052042698;704710.5157790259;7473270.466031381;2020-07-03
56;1455795.0949467507;233273.7257870586;5338122.759263695;710174.7774024344;7504092.63161288;2020-07-04
57;1527037.3031309135;206273.1505704934;5289573.352138838;714482.5515596938;7531093.206829445;2020-07-05
58;1598655.4257299933;182608.61621397926;5238397.380553568;717704.9349023992;7554757.741185959;2020-07-06
59;1670544.4776567833;161854.790841794;5185054.177825247;719912.911076115;7575511.566558145;2020-07-07
60;1742606.5304002466;143639.97281543375;5129943.34984272;721176.5043415396;7593726.384584506;2020-07-08
61;1814750.5814008352;127639.91816685986;5073411.74659075;721564.1112414944;7609726.43923308;2020-07-09
