;Cases;S;U;Q;I;date
0;437.99999999900007;5715000.000000188;1314.0000000000002;219.0;1970.9999999990002;2020-04-05
1;462.07287341378947;5714865.26119561;1381.3686081111475;262.29732305169813;2105.738804576635;2020-04-06
2;490.4317483109072;5714723.617951352;1452.1876827917167;304.7626177317339;2247.3820488343576;2020-04-07
3;523.0059326762512;5714574.717011075;1526.6335822785902;346.6434741568017;2396.282989111643;2020-04-08
4;559.7487317562303;5714418.187107621;1604.8916374756452;388.1725233331702;2552.812892565046;2020-04-09
5;600.6360436227866;5714253.638046051;1687.156606774745;429.5693037367072;2717.3619541342387;2020-04-10
6;645.665132574943;5714080.659746679;1773.6331504927539;471.04197043986306;2890.34025350756;2020-04-11
7;694.8535834941123;5713898.821235931;1864.536330920361;512.7888498410096;3072.1787642554827;2020-04-12
8;748.2383805318867;5713707.66959258;1960.0921342548154;554.9998928200282;3263.3304076067307;2020-04-13
9;805.8751369869702;5713506.728839427;2060.5380192470852;597.8580045243853;3464.2711607584406;2020-04-14
10;867.8374578938633;5713295.49877858;2166.1234934591057;641.5402702527865;3675.5012216057553;2020-04-15
11;934.2164134464249;5713073.453770481;2277.1107169955267;686.2190992631679;3897.546229705119;2020-04-16
12;1005.1201252197386;5712840.04145206;2393.7751359517606;732.0632869533325;4130.958548124831;2020-04-17
13;1080.6734548677662;5712594.681391676;2516.4061466734706;779.2390069681624;4376.318608509399;2020-04-18
14;1161.0177919105106;5712336.763678962;2645.3077917041533;827.9107376088917;4634.236321223556;2020-04-19
15;1246.3109234564108;5712065.647442691;2780.799490692715;878.2421433454512;4905.352557494577;2020-04-20
16;1336.7269965776727;5711780.659297671;2923.216805740668;930.3969001959181;5190.340702514259;2020-04-21
17;1432.4565610668071;5711481.091717011;3072.912242927062;984.5394791806814;5489.90828317455;2020-04-22
18;1533.7066837802543;5711166.201321466;3230.2560938701267;1040.8359010691322;5804.798678719513;2020-04-23
19;1640.7011413937523;5710835.2070882805;3395.6373161697493;1099.4544543418426;6135.792911905344;2020-04-24
20;1753.6806825364797;5710487.288473543;3569.4644555215386;1160.566388584556;6483.711526642575;2020-04-25
21;1872.903356163388;5710121.5834401;3752.1666131443585;1224.346590777036;6849.416560084783;2020-04-26
22;1998.6449095359178;5709737.1863943245;3944.194456966246;1290.9742393587078;7233.813605860872;2020-04-27
23;2131.1992491672413;5709333.146021934;4146.021281071724;1360.633448012159;7637.853978251123;2020-04-28
24;2270.8789654233065;5708908.463017648;4358.144115722945;1433.5139013913108;8062.536982537562;2020-04-29
25;2418.015925218852;5708462.087722849;4581.084881528129;1509.8114705890594;8508.91227733604;2020-04-30
26;2572.9619159598437;5707992.917615896;4815.391612669664;1589.7288556603194;8978.082384289828;2020-05-01
27;2736.089357614678;5707499.794715479;5061.639722088581;1673.4762050025827;9471.205284705842;2020-05-02
28;2907.79208961561;5706981.502857221;5320.433325937464;1761.2717274106717;9989.497142963746;2020-05-03
