;Cases;S;U;Q;I;date
0;16928.999999999003;15105073.36827891;52192.62841449179;8464.5;77586.12841449078;2020-05-09
1;17765.176739000563;15093485.744062902;63125.77676775922;8282.799123736471;89173.75263049625;2020-05-10
2;18590.485587821106;15079483.8487251;76336.16606081704;8248.99631965989;103175.64796829803;2020-05-11
3;19420.337797942488;15062570.853125585;92292.11489220161;8376.190877667277;120088.64356781138;2020-05-12
4;20271.665712368256;15042150.531733437;111555.48928225372;8681.80996533648;140508.96495995845;2020-05-13
5;21163.38913771531;15017508.690347321;134799.1134866742;9188.303721685497;165150.806346075;2020-05-14
6;22116.9582204655;14987791.718259282;162826.8424676407;9923.977746009083;194867.7784341153;2020-05-15
7;23156.986735916984;14951982.136578983;196596.394982005;10923.978396493048;230677.36011441503;2020-05-16
8;24311.992575194152;14908871.120039813;237244.93661155002;12231.447466837408;273788.37665358157;2020-05-17
9;25615.262370369084;14857028.256035015;286117.12053083885;13898.85775717367;325631.2406583816;2020-05-18
10;27105.859306058035;14794769.18597391;344794.91515231953;15989.536261108959;387890.3107194865;2020-05-19
11;28829.792254448188;14720122.338273698;415127.9961514547;18579.370013794567;462537.1584196974;2020-05-20
12;30841.364111010338;14630796.841394722;499262.61855038645;21758.672637276868;551862.6552986737;2020-05-21
13;33204.71265735927;14524154.709910605;599665.9096049264;25634.16452050764;658504.7867827934;2020-05-22
14;35995.551923389525;14397192.00089753;719140.9621987032;30330.981673774713;785467.4957958674;2020-05-23
15;39303.110552447855;14246535.291144669;860826.5161414216;35994.578854859734;936124.2055487292;2020-05-24
16;43232.24701922217;14068461.94942675;1028172.9745351457;42792.32571228342;1114197.5472666514;2020-05-25
17;47905.69796938819;13858954.616635384;1224884.6661986553;50914.51588997333;1323704.8800580169;2020-05-26
18;53466.382648198196;13613801.9785545;1454816.7210933804;60574.41439731994;1568857.5181388985;2020-05-27
19;60079.6454764007;13328758.138522929;1721814.832264519;72006.88042955167;1853901.3581704714;2020-05-28
20;67935.26655924159;12999771.167762788;2029488.0410746871;85465.02129668555;2182888.3289306145;2020-05-29
21;77249.01650042804;12623285.826207547;2380910.340321765;101214.31366366339;2559373.670485856;2020-05-30
22;88263.47354116218;12196615.503700333;2778256.842193741;119523.67725816694;2986043.99299307;2020-05-31
23;101247.78261018457;11718363.241445856;3222395.2871013866;140653.18553597626;3464296.2552475473;2020-06-01
24;116496.0155020204;11188852.445685633;3712472.5888565294;164838.4466492209;3993807.0510077705;2020-06-02
25;134323.82484062534;10610508.423236761;4245555.021784263;192272.22683175316;4572151.073456641;2020-06-03
26;155063.17025867925;9988117.361388786;4816394.415631502;223084.5494144349;5194542.135304616;2020-06-04
27;179055.05616970695;9328888.220440973;5417393.030460387;257323.1896223378;5853771.276252432;2020-06-05
28;206640.43824299774;8642260.81221075;6038821.246482796;294936.99975685985;6540398.684482654;2020-06-06
29;238149.71430615179;7939441.786654755;6669303.325541015;335764.67019148223;7243217.710038649;2020-06-07
30;273891.4566116051;7232702.751461602;7296534.141750814;379531.14686938375;7949956.7452318035;2020-06-08
31;314141.23247026955;6534528.0194793325;7908137.205389116;425853.0393546865;8648131.477214072;2020-06-09
32;359131.4175790916;5856734.305279129;8492540.747535737;474253.0262994472;9325925.191414276;2020-06-10
33;409042.85162843694;5209692.827505602;9039741.945162639;524181.87239672715;9972966.669187805;2020-06-11
34;463998.9709549326;4601756.7669875175;9541858.222235542;575045.5365154126;10580902.729705887;2020-06-12
35;524062.7784775995;4038951.217471984;9993411.286789093;626234.2139547264;11143708.27922142;2020-06-13
36;589236.6824062552;3524926.8400032707;10391345.75720586;677150.2170780172;11657732.656690134;2020-06-14
