;Cases;S;U;Q;I;date
0;1919.0;2808000.0;5757.0;1299.0622345091595;8975.06223450916;2020-05-09
1;1989.7464240120275;2806908.4936648887;6541.4604981842185;1535.361647423789;10066.568569620034;2020-05-10
2;2073.0241442183938;2805668.816940985;7432.265515787198;1800.9556335175237;11306.245293523116;2020-05-11
3;2170.3982844812303;2804261.046569228;8443.672046674035;2099.9453341246112;12714.015665279878;2020-05-12
4;2283.652291077118;2802662.635226089;9591.802463427832;2436.972253913855;14312.427008418805;2020-05-13
5;2414.8166307931206;2800848.0825524037;10894.874702999316;2817.2883483115347;16126.97968210397;2020-05-14
6;2566.2012058146506;2798788.569345565;12373.457136192588;3246.8345469353917;18186.49288894263;2020-05-15
7;2740.4320586051235;2796451.551153874;14050.750209135884;3732.3288128929976;20523.511080634;2020-05-16
8;2940.4925550130106;2793800.311716184;15952.894053984732;4281.363909325866;23174.75051832361;2020-05-17
9;3169.7697980539474;2790793.472047866;18109.304141063803;4902.51624752422;26181.59018664197;2020-05-18
10;3432.1067998311205;2787384.4543156167;20553.03458777739;5605.466531282302;29590.60791889081;2020-05-19
11;3731.860962720595;2783520.9009870696;23321.167477206458;6401.132807511431;33454.16124743848;2020-05-20
12;4073.9695297165426;2779144.0500107505;26455.226070151406;7301.816623889614;37831.01222375756;2020-05-21
13;4464.022710963024;2774188.0696434625;30001.607140150394;8321.362739932178;42786.99259104559;2020-05-22
14;4908.345131395907;2768579.3589399606;34012.02570777156;9475.332455380474;48395.703294547944;2020-05-23
15;5414.08625099531;2762235.823428976;38543.96229874974;10781.190255787611;54739.23880553266;2020-05-24
16;5989.320454126618;2755066.140153896;43661.09864054097;12258.502985944775;61908.92208061236;2020-05-25
17;6643.1573799390135;2746969.03197292;49433.72299971017;13929.149881939124;70006.03026158831;2020-05-26
18;7385.862979483522;2737832.577697622;55939.08064673918;15817.540910663716;79142.48453688642;2020-05-27
19;8228.991607732007;2727533.5935391663;63261.63754187403;17950.83954573682;89441.46869534286;2020-05-28
20;9185.529267553411;2715937.130733427;71493.21759501552;20359.184638512805;101037.93150108174;2020-05-29
21;10270.047756783395;2702896.1468469617;80732.96368104866;23075.903949715586;114078.91538754763;2020-05-30
22;11498.869124586347;2688251.418199029;91087.064860065;26137.710050828802;128723.64403548015;2020-05-31
23;12890.239204995083;2671831.778361293;102668.17863369083;29584.866034530285;145143.2838732162;2020-06-01
24;14464.508368238678;2653454.7777763763;115594.47017410607;33461.305915788274;163520.28445813304;2020-06-02
25;16244.316803568117;2632927.8731990536;129988.18108438264;37814.69114750512;184047.1890354559;2020-06-03
26;18254.780550764393;2610050.26515788;145973.63546041163;42696.381065453876;206924.79707662988;2020-06-04
27;20523.673395263766;2584615.50457863;163674.59240981503;48161.29185080098;232359.55765587976;2020-06-05
28;23081.598299179514;2556414.9852764625;183210.86324561024;54267.615413257095;260560.07695804685;2020-06-06
29;25962.140740893174;2525242.4235608443;204694.13016698125;61076.3677657907;291732.6386736652;2020-06-07
30;29201.9944299425;2490899.390218464;228222.94257314777;68650.73501295508;326075.67201604537;2020-06-08
31;32841.048689525436;2453201.911600486;253876.91451204743;77055.18743245056;363773.1506340235;2020-06-09
32;36922.425234404305;2411988.0808735713;281710.2200316713;86354.33609486242;404986.98136093805;2020-06-10
33;41492.45090735686;2367126.5298441323;311744.5680826567;96611.51340036353;449848.5323903771;2020-06-11
34;46600.552320353796;2318525.453836478;343961.9796925819;107887.07638509585;498449.60839803156;2020-06-12
35;52299.059140526915;2266141.868284986;378297.6964955955;120236.43831340129;550833.1939495237;2020-06-13
36;58642.90257078333;2209990.4680411485;414633.82271213306;133707.8689104447;606984.594193361;2020-06-14
37;65689.19972991967;2150151.525013606;452794.2181186909;148340.1193722931;666823.5372209037;2020-06-15
38;73496.71576352953;2086777.0732010435;492541.3153218946;164159.9579480422;730197.9890334663;2020-06-16
39;82125.2038673848;2020094.6666944076;533575.4601085436;181179.73156417374;796880.3955401022;2020-06-17
40;91634.62587182056;1950408.0619451667;575537.2884225637;199395.08599495867;866567.000289343;2020-06-18
41;102084.26654327339;1878094.3286406384;618013.4713313652;218782.99571923283;938880.7335938714;2020-06-19
42;113531.75996502413;1803597.153871615;660545.8938218788;239300.25457599157;1013377.9083628946;2020-06-20
43;126032.05506145957;1727416.4178477763;702644.0215079528;260882.5678173206;1089558.644386733;2020-06-21
44;139636.353175227;1650094.4724553456;743799.8778569642;283444.3587469725;1166880.5897791637;2020-06-22
45;154391.05543518087;1572199.8879598125;783504.7568603957;306879.3619791205;1244775.1742746972;2020-06-23
46;170336.76000015132;1494309.7007933417;821266.5780607485;331062.023380268;1322665.3614411678;2020-06-24
47;187507.348805409;1416991.352545562;856626.691393769;355849.6694897694;1399983.7096889473;2020-06-25
48;205929.20018615163;1340785.5313581866;889174.9774545862;381085.353235585;1476189.5308763226;2020-06-26
49;225620.55783326004;1266191.0096222104;918562.2600572841;406601.2347217549;1550784.052612299;2020-06-27
50;246591.07855116203;1193652.337691749;944509.3247313938;432222.3212602044;1623322.7245427603;2020-06-28
51;268841.57197783486;1123550.9422572704;966812.1748888856;457770.3731105185;1693424.119977239;2020-06-29
52;292363.93568116205;1056199.83919158;985343.505865912;483067.7814958556;1760775.2230429295;2020-06-30
53;317141.2797216742;991841.8519043168;1000050.6887828468;507941.2418256716;1825133.2103301927;2020-07-01
54;343148.22660206014;930650.9652140981;1010950.7962450929;532225.0741732583;1886324.0970204114;2020-07-02
55;370351.3660331698;872736.2639267424;1018123.3519850372;555764.08028956;1944238.7983077671;2020-07-03
56;398709.83941766294;818147.8109485061;1021701.5449728194;578415.8668955211;1998827.2512860033;2020-07-04
57;428176.0264345454;766883.8044557781;1021862.6270448565;600052.6042993295;2050091.2577787314;2020-07-05
58;458696.3054540672;718898.4009069793;1018818.1317074002;620562.2241660627;2098076.6613275297;2020-07-06
59;490211.86050627806;674109.6828334553;1012804.4299716856;639849.0889230905;2142865.3794010542;2020-07-07
60;522659.50933010364;632407.3422317664;1004074.0291014075;657834.1815712319;2184567.720002743;2020-07-08
61;555972.5305836208;593659.8176647495;992887.8228662991;674454.89111984;2223315.24456976;2020-07-09
62;590081.4713960988;557720.6541947769;979508.4848187233;689664.4518249102;2259254.4080397324;2020-07-10
63;624914.9201606797;524434.0143748304;964195.0089489942;703431.1187500048;2292541.0478596785;2020-07-11
64;660400.2325238769;493639.3061548397;947198.3785615372;715737.1449942554;2323335.7560796696;2020-07-12
65;696464.2027433678;465174.95811656787;928758.2779971946;726577.6233773793;2351800.1041179416;2020-07-13
66;733033.6751438256;438881.40678035124;909100.7328978705;735959.2474124621;2378093.655454158;2020-07-14
67;770036.0921145978;414603.38046288094;888436.5511856725;743899.0384713581;2402371.6817716286;2020-07-15
68;807399.978926558;392191.575770651;866960.4325669737;750423.0749703266;2424783.4864638583;2020-07-16
69;845055.3651650306;371503.82088969706;844850.6206816576;755565.2554981242;2445471.2413448123;2020-07-17
70;882934.1461311578;352405.81981537497;822268.9819779247;759366.1143100517;2464569.2424191344;2020-07-18
71;920970.3863989294;334771.55839216604;799361.4093184894;761871.7081249242;2482203.5038423426;2020-07-19
72;959100.5696713293;318483.44588170305;776258.4636894522;763132.5829920246;2498491.616352806;2020-07-20
73;997263.7993106983;303432.2555334627;753076.180904226;763202.826486122;2513542.8067010464;2020-07-21
74;1035401.9535097014;289516.91510929156;729916.9848113644;762139.2088041517;2527458.1471252176;2020-07-22
75;1073459.7997866329;276644.1927859472;706870.657752431;760000.4119094984;2540330.869448562;2020-07-23
76;1111385.0730979952;264728.31101997255;684015.3340040003;756846.3441125412;2552246.751214537;2020-07-24
77;1149128.521739034;253690.51632759089;661418.4876082878;752737.5365595965;2563284.545906918;2020-07-25
78;1186643.925010149;243458.6257369485;639137.894827296;747734.6166601157;2573516.4364975607;2020-07-26
79;1223888.0863662283;233966.56653189514;617222.5560020724;741897.8533343134;2583008.495702614;2020-07-27
80;1260820.8055162702;225153.92082107946;595713.5677262283;735286.7681709314;2591821.1414134298;2020-07-28
