;Cases;S;U;Q;I;date
0;1262.9999999990002;1424000.0000024778;3789.000000005307;772.74137431703;5824.741374321337;2020-05-09
1;1340.2809917838504;1423270.3098936612;4439.211371951455;774.9391194023932;6554.431483137698;2020-05-10
2;1418.4136353845433;1422415.919050635;5200.489117543114;789.9195732363835;7408.8223261640405;2020-05-11
3;1498.7240589486328;1421415.7193443475;6091.614118860877;818.683854642035;8409.022032451545;2020-05-12
4;1582.6521957536354;1420245.10480311;7134.47219400583;862.5121839296128;9579.636573689078;2020-05-13
5;1671.7813870828454;1418875.420193653;8354.540827460349;922.9989686028209;10949.321183146014;2020-05-14
6;1767.8718223148765;1417273.3326144116;9781.442775497597;1002.0941645746158;12551.40876238709;2020-05-15
7;1872.8984507851242;1415400.1200271477;11449.571348415902;1102.1515504499266;14424.621349650952;2020-05-16
8;1989.0940770797963;1413210.871365859;13398.791324550653;1225.984609309125;16613.870010939576;2020-05-17
9;2118.998484814524;1410653.5939203652;15675.218197201173;1376.9307744176176;19171.147456433315;2020-05-18
10;2265.5144076646097;1407668.2285019364;18332.073855051236;1558.924612146313;22156.512874862157;2020-05-19
11;2431.9712871818056;1404185.5767060518;21430.612897633728;1776.5804859313394;25639.16467074687;2020-05-20
12;2622.1978180625524;1400126.1525451106;25041.106015787846;2035.2849978379274;29698.588831688325;2020-05-21
13;2840.604176278302;1395398.9805415121;29243.85757809813;2341.299080910133;34425.760835286565;2020-05-22
14;3092.274942304962;1389900.3765705691;34130.220673254546;2701.869190670315;39924.36480622982;2020-05-23
15;3383.0735455881736;1383512.7662282283;39803.55542489235;3125.3461780900293;46311.97514857056;2020-05-24
16;3719.758879342978;1376103.6193341413;46380.05377215134;3621.309391163311;53721.122042657626;2020-05-25
17;4110.114435850813;1367524.6086398475;53989.32616746163;4200.692133638693;62300.132736951135;2020-05-26
18;4563.089801345953;1357611.138954633;62774.61000509038;4875.902615729446;72213.60242216577;2020-05-27
19;5088.9537455847385;1346182.4270847826;72892.42802199343;5660.9325244381125;83642.3142920163;2020-05-28
20;5699.457041371232;1333042.3675453123;84511.4748332343;6571.4419568809635;96782.3738314865;2020-05-29
21;6408.002070473912;1317981.4497090077;97810.48288085834;7624.806716458997;111843.29166779126;2020-05-30
22;7229.814515177681;1300780.03334895;112974.78354356832;8840.10996910264;129044.70802784865;2020-05-31
23;8182.110570685965;1281213.2976082219;130191.27631299445;10238.056884896552;148611.44376857698;2020-06-01
24;9284.250752937882;1259058.157961053;149641.54494272888;11840.787720079337;170766.5834157461;2020-06-02
25;10557.8688439628;1234102.3690949215;171492.94042090795;13671.563017006967;195722.3722818777;2020-06-03
26;12026.961875025467;1206155.8844530354;195887.60000005888;15754.295048679756;223668.8569237641;2020-06-04
27;13717.924624875108;1175064.3081785957;222929.60497568428;18112.903597644367;254760.43319820374;2020-06-05
28;15659.51030956007;1140723.9508596205;252670.79739017232;20770.48281744673;289100.7905171791;2020-06-06
29;17882.69848371;1103097.6024628046;285096.16014731623;23748.280282968473;326727.1389139947;2020-06-07
30;20420.45225512716;1062229.7076111676;320110.0717313014;27064.50977920345;367595.03376563196;2020-06-08
31;23307.350295934986;1018259.2551353126;357525.0912102033;30733.044735348492;411565.4862414868;2020-06-09
32;26579.08526899425;971428.4681877244;397055.12031258555;34762.067607495206;458396.273189075;2020-06-10
