;Cases;S;U;Q;I;date
0;1202.0;550334.3446356083;3606.0;718.691551687535;5526.691551687535;2020-05-09
1;1241.5597878511687;549963.7623144117;3791.678156227007;864.0359288059399;5897.273872884116;2020-05-10
2;1288.4401553622483;549574.3808160231;3986.6412499890366;1011.5739659214429;6286.655371272728;2020-05-11
3;1342.7596846521476;549165.2900139162;4191.324341387793;1161.6621473397508;6695.746173379691;2020-05-12
4;1404.6548821421386;548735.5403492623;4406.179753729346;1314.6612021620722;7125.4958380335565;2020-05-13
5;1474.2804104218076;548284.141584963;4631.677433666388;1470.9367582446218;7576.894602332818;2020-05-14
6;1551.8093521356277;547810.0616053866;4868.305260387749;1630.8599693858873;8050.974581909264;2020-05-15
7;1637.4334945562537;547312.2252335914;5116.569328079431;1794.808131068745;8548.81095370443;2020-05-16
8;1731.363647285895;546789.5130883886;5376.99417488628;1963.1652767350568;9071.523098907232;2020-05-17
9;1833.8300185208439;546240.7604971919;5650.122929717198;2136.3227418658325;9620.275690103874;2020-05-18
10;1945.0825697625473;545664.7564481981;5936.517441552031;2314.6797277830515;10196.27973909763;2020-05-19
11;2065.391433063014;545060.2426139849;6236.7583113971805;2498.6438288506856;10800.79357331088;2020-05-20
12;2195.0473379185546;544425.9124703036;6551.44484256282;2688.6315365107935;11435.123716992168;2020-05-21
13;2334.362071099488;543760.4104728153;6881.194923666332;2885.0687197146162;12100.625714480437;2020-05-22
14;2483.6689554620507;543062.3314120377;7226.644760753994;3088.391059041948;12798.704775257993;2020-05-23
15;2643.323354314642;542330.2198094891;7588.448559468901;3299.0444640230485;13530.816377806592;2020-05-24
16;2813.7031870088304;541562.5695619168;7967.278009113834;3517.485429256217;14298.46662537888;2020-05-25
17;2995.209472283328;540757.8236418798;8363.821703941434;3744.18136919106;15103.212545415823;2020-05-26
18;3188.2668752744526;539914.3741035556;8778.784329986478;3979.6108784791213;15946.662083740051;2020-05-27
19;3393.3242769037797;539030.5621977521;9212.885753314735;4224.263959325128;16830.473989543643;2020-05-28
20;3610.8553448075972;538104.6788027752;9666.859869135305;4478.642170577541;17756.357384520445;2020-05-29
21;3841.359123803843;537134.9649936261;10141.45333200927;4743.258737856449;18726.071193669562;2020-05-30
22;4085.360601441786;536119.6131428973;10637.4239109015;5018.638532055176;19741.423044398463;2020-05-31
23;4343.411301402936;535056.7681041053;11155.538757435492;5305.318024351927;20804.268083190356;2020-06-01
24;4616.08985947443;533944.5287950346;11696.572400982153;5603.84513180445;21916.50739226103;2020-06-02
25;4904.002587299335;532780.9502507552;12261.304396303694;5914.778952937438;23080.08593654047;2020-06-03
26;5207.784023565746;531564.0459931606;12850.516759910022;6238.689410659304;24296.990194135073;2020-06-04
27;5528.097466783532;530291.7908756234;13464.991068360214;6576.156776528446;25569.24531167219;2020-06-05
28;5865.635474743841;528962.1244215389;14105.505228811373;6927.771062201532;26898.911765756748;2020-06-06
29;6221.120331042435;527572.954650506;14772.82992733429;7294.131278412898;28288.08153678962;2020-06-07
30;6595.304480081238;526122.1624385774;15467.724713793597;7675.844554843399;29738.873748718233;2020-06-08
31;6988.970900115952;524607.6064598705;16190.933737153622;8073.525090155633;31253.42972742521;2020-06-09
32;7402.933437714028;523027.1287225122;16943.18107609279;8487.792950976602;32833.90746478342;2020-06-10
33;7838.03705410708;521378.5607286906;17725.165726341154;8919.272678156825;34482.47545860506;2020-06-11
34;8295.158022351907;519659.73030577437;18537.55614202456;9368.59171714481;36201.30588152128;2020-06-12
35;8775.204020340674;517868.4690711001;19380.984451076514;9836.378644778355;37992.56711619554;2020-06-13
36;9279.114143948467;516002.6206376854;20256.04021649041;10323.261189171415;39858.41554961029;2020-06-14
37;9807.858809441068;514060.04947883426;21163.263861306776;10829.864037713576;41800.986708461416;2020-06-15
38;10362.439539116851;512038.65051241324;22103.13971776869;11356.806417996933;43822.38567488248;2020-06-16
39;10943.88862978718;509936.35943778924;23076.088673296465;11904.699446422876;45924.67674950652;2020-06-17
40;11553.268666386999;507751.1636482454;24082.460618561494;12474.143254101828;48109.87253905032;2020-06-18
41;12191.671906218384;505481.1140305551;25122.526403780717;13065.723846741523;50379.92215674062;2020-06-19
42;12860.219480352398;503124.337137878;26196.469803120464;13680.009765944862;52736.69904941772;2020-06-20
43;13560.06043802118;500679.0483030208;27304.378990083937;14317.548456169789;55181.98788427491;2020-06-21
44;14292.370593514035;498143.5649967697;28446.23814389797;14978.862453114009;57717.471190526005;2020-06-22
45;15058.351179604866;495516.3209251868;29621.918787558887;15664.445294945146;60344.715262108904;2020-06-23
46;15859.22729342653;492795.8804186058;30831.171231666354;16374.757243596978;63065.15576868986;2020-06-24
47;16696.24611907167;489980.95324852446;32073.616044468563;17110.220775231017;65880.08293877126;2020-06-25
48;17570.674923240855;487070.409617339;33348.73575121997;17871.215895495832;68790.62656995666;2020-06-26
49;18483.798809772416;484063.2952423601;34655.86684797252;18658.075287190743;71797.74094493568;2020-06-27
50;19436.918227869133;480958.8465598888;35994.19211396884;19471.07928556897;74902.18962740694;2020-06-28
51;20431.346233316206;477756.5055467285;37362.73361375918;20310.45079349186;78104.53064056725;2020-06-29
52;21468.405476322398;474455.9345358196;38760.346141937975;21176.350033215796;81405.10165147617;2020-06-30
53;22549.424950983357;471057.03017411183;40185.711696660364;22068.8693655402;84804.00601318393;2020-07-01
54;23675.736450164415;467559.9371508756;41637.33460762376;22988.027978631995;88301.09903642017;2020-07-02
55;24848.670805356043;463965.0606420302;43113.53796444712;23933.766775462354;91895.97554526552;2020-07-03
56;26069.553812182683;460273.078147734;44612.461021405325;24905.94320597377;95587.95803956178;2020-07-04
57;27339.70196781964;456484.9497481028;46132.05805885643;25904.326412516864;99376.08643919294;2020-07-05
58;28660.41790041349;452601.92722820933;47670.09861110627;26928.59244756665;103259.10895908641;2020-07-06
59;30032.98563947457;448625.5614249654;49224.16922603203;27978.319896823767;107235.47476233037;2020-07-07
60;31458.665605564205;444557.7078843594;50791.67695198576;29052.985745386297;111303.32830293626;2020-07-08
