;Cases;S;U;Q;I;date
0;18.999999999075026;8280478.082941452;99.2069101792655;17.57163888287406;135.7785490612146;2020-03-18
1;21.651610101230144;8280432.520007753;106.30350906564365;53.38636359530105;181.34148276217485;2020-03-19
2;26.98139612608882;8280383.698146792;113.90746326120814;89.27448433492184;230.1633437222188;2020-03-20
3;35.00173302252199;8280331.38441851;122.05500244920636;125.4203365324671;282.47707200419546;2020-03-21
4;45.73877463788243;8280275.329258035;130.78493684687857;162.0085209942462;338.53223247900723;2020-03-22
5;59.23251134372869;8280215.265289734;140.13884052193458;199.2248489144961;398.5962007801594;2020-03-23
6;75.53689477902482;8280150.906061075;150.16124699229837;237.25728766824096;462.9554294395641;2020-03-24
7;94.72003355041078;8280081.9446871625;160.899858494828;276.29691130660154;531.9168033518404;2020-03-25
8;116.86446223620668;8280008.052397451;172.4057702057531;316.5388606210509;605.8090930630107;2020-03-26
9;142.06748136692212;8279928.876981255;184.73370990333885;358.18331798967023;684.9845092599312;2020-03-27
10;170.44157120262756;8279844.041123497;197.94229435408923;401.4365014604969;769.8203670172137;2020-03-28
11;202.1148806777128;8279753.140623414;212.09430350579765;446.5116829168298;860.7208671003402;2020-03-29
12;237.23179351640746;8279655.742487812;227.25697372609966;493.63023546022106;958.1190027027282;2020-03-30
13;275.9535738448787;8279551.382890636;243.50231130350414;543.0227147301943;1062.4785998785771;2020-03-31
14;318.4590940483755;8279439.564989455;260.9074275880115;594.9299794230417;1174.2965010594287;2020-04-01
15;364.9456479997986;8279319.756589076;279.5548971997637;649.6043562400969;1294.1049014396592;2020-04-02
16;415.62985317565426;8279191.387641885;299.5331408155344;707.3108546378561;1422.4738486290448;2020-04-03
17;470.74864560347464;8279053.84757378;320.93683414480455;768.328436986024;1560.0139167343032;2020-04-04
18;530.5603723543904;8278906.4824228855;343.8673449264766;832.9513503487827;1707.3790676296499;2020-04-05
19;595.3459842099927;8278748.591784317;368.43319890861113;901.4905230789676;1865.2697061975714;2020-04-06
20;665.4103387031623;8278579.425534195;394.75057862486346;974.2750389913297;2034.4359563193555;2020-04-07
21;741.0836135491331;8278398.180334474;422.9438546988062;1051.6536877927003;2215.6811560406395;2020-04-08
22;822.7228398327776;8278203.995894545;453.14615306640474;1133.9966030706196;2409.8655959698017;2020-04-09
23;910.713561170746;8277995.950975238;485.4999600856371;1221.696994020959;2617.910515277342;2020-04-10
24;1005.4716269271858;8277773.059116585;520.1577680714549;1315.1729789319033;2840.802373930544;2020-04-11
25;1107.4451249203507;8277534.264077012;557.2827628980325;1414.8695256845972;3079.5974135029805;2020-04-12
26;1217.1164639506528;8277278.434960339;597.0495568482826;1521.2605093776842;3335.4265301766195;2020-04-13
27;1335.004616270504;8277004.361008338;639.6449696123492;1634.8508962952803;3609.5004821781336;2020-04-14
28;1461.667527770903;8276710.746042144;685.2688595659438;1756.1790610356763;3903.115448372523;2020-04-15
29;1597.7046907796177;8276396.202563883;734.1350037850573;1885.8192320688486;4217.658926633523;2020-04-16
30;1743.7599481719137;8276059.245368189;786.4720462018902;2024.3841279525607;4554.616122326364;2020-04-17
31;1900.524453582045;8275698.284829974;842.5244922306647;2172.5277147288407;4915.57666054155;2020-04-18
32;2068.7398649246893;8275311.619703902;902.5537704217292;2330.9481512684674;5302.241786614886;2020-04-19
33;2249.2017684314715;8274897.429436389;966.8393615015805;2500.390924194052;5716.432054127104;2020-04-20
34;2442.7633293594617;8274453.76601019;1035.6799905166622;2681.6521604499785;6160.095480326103;2020-04-21
35;2650.3392147387954;8273978.545217483;1109.394896177846;2875.5821621169166;6635.316273033558;2020-04-22
36;2872.909778284089;8273469.537392449;1188.325171615715;3083.08914816848;7144.324098068284;2020-04-23
37;3111.525536274474;8272924.357544126;1272.8351833137588;3305.143226802661;7689.503946390893;2020-04-24
38;3367.3119474669143;8272340.454864648;1363.3140707397913;3542.780607662918;8273.406625869624;2020-04-25
39;3641.4745202741906;8271715.101572545;1460.1773291104491;3797.108068587881;8898.75991797252;2020-04-26
40;3935.304258839423;8271045.381067124;1563.8684785727942;4069.3076859811;9568.480423393317;2020-04-27
41;4250.183479603467;8270328.175346413;1674.8608205146486;4360.641843986104;10285.68614410422;2020-04-28
42;4587.59200549207;8269560.151666948;1793.6592854603616;4672.458532617124;11053.709823569556;2020-04-29
43;4949.113777275046;8268737.748397013;1920.8023692087795;5006.1969470205295;11876.113093504355;2020-04-30
44;5336.443874229955;8267857.1600456005;2056.864168852604;5363.393401834863;12756.701444917422;2020-05-01
45;5751.3960199447165;8266914.321406007;2202.4564988755214;5745.68756569056;13699.540084510798;2020-05-02
46;6195.910543408736;8265904.890801498;2358.2311102098506;6154.829035401474;14708.970689020061;2020-05-03
47;6672.0628442747;8264824.232402405;2524.881995901767;6592.684247935437;15789.629088111904;2020-05-04
48;7182.072408737287;8263667.3975720685;2703.14777328902;7061.243736421713;16946.46391844802;2020-05-05
49;7728.312345508812;8262429.105204257;2893.8141757756216;7562.629764974963;18184.7562862594;2020-05-06
50;8313.31954928601;8261103.72108879;3097.7165756383274;8099.104276802273;19510.14040172661;2020-05-07
51;8939.805431048897;8259685.236160784;3315.742633351885;8673.077265330758;20928.62532973154;2020-05-08
52;9610.667313597622;8258167.243811914;3548.834941023871;9287.115423980295;22446.61767860179;2020-05-09
53;10329.000476320785;8256542.916033961;3797.9937645131204;9943.951215720586;24070.945456554495;2020-05-10
54;11098.110888825666;8254804.978582407;4064.2797837012963;10646.492235581283;25808.882908108244;2020-05-11
55;11921.528664163709;8252945.685119736;4348.816828900455;11397.830877715392;27668.176370779554;2020-05-12
56;12803.022243013527;8250956.790188819;4652.794667738129;12201.254390944385;29657.071301696044;2020-05-13
