;Cases;S;U;Q;I;date
0;1588.0;2065366.3518400784;4777.938414144056;1252.8468076925296;7618.785221836586;2020-05-09
1;1698.4232421516747;2064338.1899875551;5548.418989846564;1400.1048423616303;8646.947074359869;2020-05-10
2;1822.2707509476154;2063144.9349304724;6442.455616659359;1575.4757638356934;9840.202131442667;2020-05-11
3;1962.054976716302;2061760.3578849318;7479.6217045898065;1783.1024956772505;11224.77917698336;2020-05-12
4;2120.6615070357634;2060154.160154864;8682.508125603365;2027.8072744120689;12830.976907051197;2020-05-13
5;2301.409794931637;2058291.3757312084;10077.159119063765;2315.1924167116317;14693.761330707033;2020-05-14
6;2508.122858328403;2056131.6979747498;11693.561028331767;2651.7552005052376;16853.439087165407;2020-05-15
7;2745.207333943811;2053628.7238665384;13566.187312761507;3045.0185486714145;19356.413195376732;2020-05-16
8;3017.744919847919;2050729.1145654095;15734.5991229094;3503.678453748295;22256.022496505615;2020-05-17
9;3331.597033908933;2047371.6672338815;18244.10273945743;4037.7700546669407;25613.469828033303;2020-05-18
10;3693.5240658013804;2043486.3016113823;21146.45825253899;4658.853132191996;29498.835450532366;2020-05-19
11;4111.320909529055;2038992.9666704556;24500.631615095197;5380.217866834978;33992.17039145923;2020-05-20
12;4593.970601262668;2033800.48115354;28373.57429437525;6217.11101273679;39184.65590837471;2020-05-21
13;5151.817528455173;2027805.329910596;32841.0080839051;7186.981538958615;45179.80715131889;2020-05-22
14;5796.761925608919;2020890.451343375;37988.18002955617;8309.743763374587;52094.68571853967;2020-05-23
15;6542.476898400764;2012924.067234307;43910.53898344905;9608.05394575773;60061.06982760754;2020-05-24
16;7404.648871310019;2003758.6263152184;50714.2678576947;11107.594017691545;69226.51074669627;2020-05-25
17;8401.241660629696;1993229.958412236;58516.58408150523;12837.352907543587;79755.1786496785;2020-05-26
18;9552.78344986753;1981156.7657712318;67445.69595902543;14829.89188178985;91828.37129068282;2020-05-27
19;10882.674604108368;1967340.6113024766;77640.27571819845;17121.575437130974;105644.52575943779;2020-05-28
20;12417.512486086995;1951566.5996384386;89248.2815662931;19752.743371095694;121418.53742347579;2020-05-29
21;14187.427079280544;1933604.9824630357;102424.93473727541;22767.792782322373;139380.15459887832;2020-05-30
22;16226.418426881282;1913213.9471163084;117329.63981508903;26215.13170363561;159771.18994560593;2020-05-31
23;18572.683249877096;1890143.863759325;134121.63152456362;30146.95852814873;182841.27330258946;2020-06-01
24;21268.91415435829;1864143.2561394372;152954.1515250482;34618.81524307049;208841.88092247696;2020-06-02
25;24362.55015080269;1834966.714809281;173967.0138904891;39688.85821134122;238018.422252633;2020-06-03
26;27905.952713120678;1802384.8764801458;197277.51744454989;45416.79042409791;270600.26058176847;2020-06-04
27;31956.47684696278;1766196.4315298146;222969.82374636052;51862.40493877632;306788.7055320996;2020-06-05
28;36576.4032155782;1726241.8935010745;251083.1359909302;59083.70435433137;346743.24356083974;2020-06-06
29;41832.69532992915;1682418.571079128;281599.28450464056;67134.58614821656;390566.56598278624;2020-06-07
30;47796.54640907935;1634695.8434743676;314430.6261412944;76062.12103717278;438289.2935875465;2020-06-08
31;54542.6847788414;1583129.5013274078;349409.45097916;85903.49997650502;489855.6357345064;2020-06-09
32;62148.41529353859;1527873.6395284457;386280.3000088959;96682.78223103407;545111.4975334685;2020-06-10
33;70692.38770857267;1469188.4572287714;424696.6566040439;108407.63552052632;603796.6798331429;2020-06-11
34;80253.10125737976;1407442.4046532998;464223.3191400286;121066.31201120581;665542.7324086141;2020-06-12
35;90907.17651035092;1343107.4844265168;504345.33880653564;134625.13731851056;729877.652635397;2020-06-13
36;102727.44902980827;1276747.1472614512;544483.745870285;149026.79490036934;796237.9898004626;2020-06-14
37;115780.96212341274;1208997.0815813062;584017.4370183917;164189.6563388029;863988.0554806073;2020-06-15
38;130126.95387471434;1140540.1179078112;622309.7292346728;180008.336044715;932445.0191541022;2020-06-16
39;145814.94444684358;1072077.302487278;658737.345132477;196355.54499531462;1000907.8345746351;2020-06-17
40;162883.03080609738;1004297.7495705149;692719.164825809;213085.19185949187;1068687.3874913983;2020-06-18
41;181356.4862310138;937850.0400764822;723742.0565054741;230036.55424894296;1135135.096985431;2020-06-19
42;201246.74275446465;873317.6561195945;751381.5011984691;247039.2369893849;1199667.4809423187;2020-06-20
43;222550.8077728861;811200.3159652742;775315.450015102;263918.56330865086;1261784.821096639;2020-06-21
44;245251.13488997464;751902.1981881964;795330.7848428008;280501.01914094144;1321082.938873717;2020-06-22
45;269315.938519692;695727.1785383584;811322.6235402528;296619.39646361;1377257.9585235547;2020-06-23
46;294699.9140563545;642880.4148925876;823287.471857576;312117.33625539514;1430104.7221693257;2020-06-24
47;321345.30433318386;593475.0786362528;831311.69463527;326853.0594572066;1479510.0584256605;2020-06-25
48;349183.2386561552;547542.7576479738;835556.974395768;340702.1663620162;1525442.3794139395;2020-06-26
49;378135.2652550157;505046.03120999207;836244.3655228775;353559.47507402796;1567939.1058519213;2020-06-27
50;408114.99817184237;465891.8623220867;833638.3376202451;365339.9389477393;1607093.2747398268;2020-06-28
51;439029.80554891255;429944.74850822444;828031.8298771334;375978.75312764297;1643040.388553689;2020-06-29
52;470782.4774837875;397038.8485145697;819733.0414449521;385430.7696186041;1675946.2885473438;2020-06-30
53;503272.8218845734;366988.6231508925;809054.3139150353;393669.3781114122;1705996.513911021;2020-07-01
54;536399.1490595446;339597.7662699682;796303.2253373422;400684.9963950586;1733387.3707919454;2020-07-02
55;570059.6197843283;314666.3998232327;781775.8113014224;406483.3061529302;1758318.737238681;2020-07-03
56;604153.439097089;291996.6341051189;765751.7106283043;411083.3532314014;1780988.5029567948;2020-07-04
57;638581.8899332893;271396.6739816065;748490.9653026345;414515.60784438334;1801588.4630803072;2020-07-05
58;673249.2058192673;252683.6875683767;730232.1826276841;416820.06104658556;1820301.449493537;2020-07-06
59;708063.2884213545;235685.66103207454;711191.7750975263;418044.41251095844;1837299.4760298391;2020-07-07
60;742936.2792520095;220242.4498821143;691564.02074074;418242.38718704996;1852742.6871797994;2020-07-08
61;777784.9967991029;206206.21889442406;671521.7141638147;417472.207204572;1866778.9181674896;2020-07-09
62;812531.2538188356;193441.42291686605;651217.2361249264;415795.22420128575;1879543.7141450476;2020-07-10
63;847102.0672325634;181824.46863915012;630783.879808263;413274.72138193704;1891160.6684227635;2020-07-11
64;881429.7747010412;171243.15855490605;610337.3242063454;409974.8795996211;1901741.9785070077;2020-07-12
65;915452.0716310702;161595.99639042126;589977.1717943649;405959.89724605717;1911389.1406714923;2020-07-13
66;949111.9813740575;152791.42056462495;569788.4802176025;401293.25490562874;1920193.7164972886;2020-07-14
67;982357.7691194698;144747.00865779995;549843.2475111017;396037.1117735422;1928238.1284041135;2020-07-15
68;1015142.8105847782;137388.68372613893;530201.8231857627;390251.81956523366;1935596.4533357746;2020-07-16
69;1047425.4250126891;130649.94588941408;510914.2258042093;383995.54035560106;1942335.1911724994;2020-07-17
70;1079168.679597488;124471.14257602108;492021.3584486848;377323.9564397198;1948513.9944858926;2020-07-18
71;1110340.1735115452;118798.78767798549;473556.11714212445;370290.05873025866;1954186.3493839283;2020-07-19
72;1140911.807063361;113584.9320303219;455544.3951921997;362944.0027760311;1959400.2050315917;2020-07-20
73;1170859.5413047944;108786.58714459484;438005.98660875566;355333.0220037687;1964198.5499173189;2020-07-21
74;1200163.1524146523;104365.20153069873;420955.3941698356;347501.3889467271;1968619.935531215;2020-07-22
75;1228805.9845970885;100286.18747844809;404402.5488406595;339490.4161457176;1972698.9495834657;2020-07-23
76;1256774.704480276;96518.49547411302;388353.44768691657;331338.48942060815;1976466.6415878008;2020-07-24
77;1284059.0593894878;93034.23251122136;372810.7178694703;323081.1272917342;1979950.9045506923;2020-07-25
78;1310651.6413664964;89808.32084129607;357774.11361704784;314751.0612370735;1983176.8162206179;2020-07-26
79;1336547.659027813;86818.19377062675;343240.9531682244;306378.33109524986;1986166.9432912874;2020-07-27
80;1361744.7171654562;84043.52448768618;329206.50165088434;297990.3937578873;1988941.6125742279;2020-07-28
81;1386242.6064221072;81465.98476117289;315664.30674777395;289612.2391308598;1991519.152300741;2020-07-29
82;1410043.1023750927;79069.0308968134;302606.490775831;281266.51301417686;1993916.1061651006;2020-07-30
83;1433149.7756581297;76837.7131650016;290024.0063682472;272973.64187053544;1996147.4238969125;2020-07-31
84;1455567.8119891435;74758.50671243662;277906.85817515873;264751.9601851749;1998226.630349477;2020-08-01
85;1477303.842981243;72819.16159806264;266244.2952437999;256617.83723880802;2000165.975463851;2020-08-02
86;1498365.7876670372;71008.5691194984;255024.9784441646;248585.8018312135;2001976.5679424154;2020-08-03
87;1518762.7040285724;69316.64368861605;244237.12401750838;240668.66532721685;2003668.4933732976;2020-08-04
88;1538504.6508724098;67734.21733875042;233868.62829960987;232877.64055114365;2005250.9197231634;2020-08-05
89;1557602.5593407492;66252.94608560124;223907.1746167422;225222.45701882112;2006732.1909763124;2020-08-06
90;1576068.1138440405;64865.226851861094;214340.3245184204;217711.47184759172;2008119.9102100527;2020-08-07
91;1593913.642135429;63564.12308657545;205155.5963856936;210351.7754542157;2009421.0139753383;2020-08-08
92;1611152.0139137926;62343.29873207441;196340.53188837293;203149.2925276737;2010641.838329839;2020-08-09
93;1627796.5476371741;61196.959395039696;187882.75213782632;196108.87789187362;2011788.1776668741;2020-08-10
94;1643860.9251102442;60119.7996370482;179770.00526623926;189234.40704838178;2012865.3374248652;2020-08-11
95;1659359.1134501095;59106.95616804817;171990.20577184914;182528.8616719066;2013878.1808938652;2020-08-12
96;1674305.2939509065;58153.9655448533;164531.46782616313;175994.40973999051;2014831.1715170601;2020-08-13
97;1688713.7973934258;57256.726886197175;157382.13168022322;169632.4811020671;2015728.410175716;2020-08-14
98;1702599.0454748296;56411.467949022364;150530.78585893847;163443.8377791229;2016573.669112891;2020-08-15
99;1715975.4978639027;55614.71499816427;143966.28437172092;157428.63982812563;2017370.4220637493;2020-08-16
100;1728857.6046440504;54863.265705037375;137677.76017451478;151586.50653831117;2018121.8713568763;2020-08-17
101;1741259.7636019709;54154.16466040222;131654.6355052369;145916.57329430364;2018830.9724015114;2020-08-18
102;1753196.2821057057;53484.68157568098;125886.62893481331;140417.5444457136;2019500.4554862326;2020-08-19
103;1764681.3432027628;52852.29138538928;120363.76040193906;135087.74207182243;2020132.8456765243;2020-08-20
104;1775728.9756973386;52254.65653924992;115076.35372009691;129925.15110522816;2020730.4805226636;2020-08-21
105;1786353.0277932733;51689.61091642358;110015.0374393608;124927.46091285594;2021295.5261454901;2020-08-22
106;1796567.1439839771;51155.145138055144;105170.74440521895;120092.10353466244;2021829.9919238584;2020-08-23
107;1806384.7451729083;50649.39359087149;100534.70946934404;115416.28882878981;2022335.7434710423;2020-08-24
108;1815819.0114898267;50170.62254643493;96098.4663213456;110897.03670430645;2022814.5145154786;2020-08-25
109;1824882.8676503103;49717.21924417954;91853.84364507152;106531.2065223524;2023267.9178177342;2020-08-26
110;1833588.9707916132;49287.68223889296;87792.9600714689;102315.5239599386;2023697.4548230208;2020-08-27
111;1841949.700243029;48880.612351785334;83908.21894878159;98246.60551831749;2024104.524710128;2020-08-28
112;1849977.1495370592;48494.704789906784;80192.30201839826;94320.98071654934;2024490.4322720068;2020-08-29
113;1857683.119816027;48128.7415728882;76638.16335106331;90535.11232193523;2024856.3954890256;2020-08-30
114;1865079.1152194673;47781.5850294507;73239.02228406086;86885.41452893497;2025203.5520324633;2020-08-31
115;1872176.3393254634;47452.17149328058;69988.35673780223;83368.26950536743;2025532.965568633;2020-09-01
116;1878985.6933564218;47139.505896458104;66879.89578890859;79980.0420201251;2025845.6311654556;2020-09-02
117;1885517.7750694554;46842.65650940965;63907.61263099542;76717.09285205301;2026142.4805525038;2020-09-03
118;1891782.8790984796;46560.7504060272;61065.71701146782;73575.79054593883;2026424.3866558862;2020-09-04
119;1897790.9978855287;46292.96907565584;58348.648036200284;70552.52206452872;2026692.1679862577;2020-09-05
120;1903551.8237780228;46038.54459727072;55751.06667012264;67643.70201649754;2026946.592464643;2020-09-06
121;1909074.7515529438;45796.755972580126;53267.84852564285;64845.781010746905;2027188.3810893337;2020-09-07
122;1914368.881880381;45566.92590144017;50894.0764994456;62155.25278064686;2027418.2111604733;2020-09-08
123;1919443.0249767138;45348.41763804662;48625.033781668855;59568.660665484436;2027636.719423867;2020-09-09
124;1924305.7050024092;45140.63221334739;46456.19679100671;57082.603055150495;2027844.5048485664;2020-09-10
125;1928965.1652137286;44943.00603940687;44383.22799506745;54693.737813710766;2028042.1310225069;2020-09-11
126;1933429.37257815;44755.00828969603;42401.969503379194;52398.78669068863;2028230.1287722178;2020-09-12
127;1937706.0236126743;44576.138876082434;40508.436216351685;50194.53835680509;2028408.9981858311;2020-09-13
128;1941802.5499634987;44405.926376953445;38698.809435739524;48077.85128572197;2028579.2106849602;2020-09-14
129;1945726.124170482;44243.926107461884;36969.43065507391;46045.65612889597;2028741.210954452;2020-09-15
130;1949483.6661140355;44089.71852877529;35316.79524493019;44094.95717417265;2028895.4185331385;2020-09-16
131;1953081.8488668534;43942.907515501574;33737.546684730994;42222.83399482758;2029042.229546412;2020-09-17
132;1956527.1051791967;43803.118932904836;32228.470708297515;40426.44224151441;2029182.0181290086;2020-09-18
133;1959825.6339012329;43669.99927820349;30786.489681985015;38703.01420049209;2029315.13778371;2020-09-19
134;1962983.4061845343;43543.21433520396;29408.657269343337;37049.85927283183;2029441.9227267094;2020-09-20
135;1966006.1721589107;43422.44806915342;28092.153096530943;35464.36373731844;2029562.6889927601;2020-09-21
136;1968899.4671649358;43307.401468155454;26834.27774383716;33943.990684985074;2029677.735593758;2020-09-22
137;1971668.6181591004;43197.79152293616;25632.447840919143;32486.279538957657;2029787.3455389773;2020-09-23
138;1974318.7501775494;43093.35030826636;24484.19129512341;31088.84528097411;2029891.786753647;2020-09-24
139;1976854.792418937;42993.8240376292;23387.142791607002;29749.377813740295;2029991.3130242843;2020-09-25
140;1979281.4846000273;42898.97227589708;22339.03935599879;28465.640829990094;2030086.164786016;2020-09-26
141;1981603.3830065837;42808.56714732869;21337.716132731235;27235.470775269783;2030176.5699145847;2020-09-27
142;1983824.86646388;42722.392598900755;20381.102316592605;26056.775682539912;2030262.7444630126;2020-09-28
143;1985950.1423699418;42640.243755195734;19467.21720010817;24927.533736667596;2030344.8933067175;2020-09-29
144;1987983.2523678702;42561.92625264018;18594.166421210135;23845.792020192603;2030423.210809273;2020-09-30
145;1989928.078093084;42487.255664871016;17760.138318271947;22809.664985686264;2030497.8813970422;2020-10-01
146;1991788.346734694;42416.0569496085;16963.40043593466;21817.332941676046;2030569.0801123048;2020-10-02
147;1993567.6364017702;42348.1639125894;16202.296178087794;20867.04056946569;2030636.9731493236;2020-10-03
148;1995269.381507915;42283.41874119345;15475.241574437174;19957.09523836742;2030701.7183207197;2020-10-04
149;1996896.8778710214;42221.67153115192;14780.722190155717;19085.865469584056;2030763.465530761;2020-10-05
150;1998453.2877546533;42162.77986023721;14117.290152659974;18251.779294362743;2030822.357201676;2020-10-06
151;1999941.6447953824;42106.60839378657;13483.561296160362;17453.32257658374;2030878.5286681266;2020-10-07
152;2001364.8587095286;42053.02849251488;12878.212426613583;16689.037433255897;2030932.108569398;2020-10-08
153;2002725.7199522194;42001.91786610269;12299.978695891314;15957.520547699642;2030983.2191958104;2020-10-09
154;2004026.9041780455;41953.16023180585;11747.651082651484;15257.421569410173;2031031.9768301072;2020-10-10
155;2005270.9765898238;41906.64499863072;11220.073977822802;14587.441495635776;2031078.4920632825;2020-10-11
156;2006460.3961765794;41862.26697568377;10716.1428708615;13946.331038788447;2031122.8700862294;2020-10-12
157;2007597.5197639458;41819.92608356815;10234.802128689485;13332.88908570976;2031165.210978345;2020-10-13
158;2008684.6059856801;41779.52709645054;9775.042872892145;12745.961106890285;2031205.6099654625;2020-10-14
159;2009723.819094307;41740.979389388005;9335.900940549322;12184.437637668883;2031244.1576725252;2020-10-15
160;2010717.2326535485;41704.196702350135;8916.45493267366;11647.252773340982;2031280.940359563;2020-10-16
161;2011666.833121303;41669.0969219303;8515.824348336886;11133.382670343033;2031316.040139983;2020-10-17
162;2012574.5232804976;41635.60186628746;8133.167790217304;10641.844124910838;2031349.5351956259;2020-10-18
163;2013442.1255801695;41603.63709083266;7767.6812551363955;10171.693135774773;2031381.4999710806;2020-10-19
164;2014271.3853425789;41573.13169891681;7418.5964909662935;9722.023529451199;2031412.0053629964;2020-10-20
165;2015063.9738583632;41544.0181637227;7085.179425078952;9291.965614748247;2031441.1188981903;2020-10-21
166;2015821.4913782736;41516.232163258144;6766.7286649024845;8880.684855479023;2031468.9048986551;2020-10-22
167;2016545.4699850876;41489.71241823545;6462.574053778422;8487.380604811638;2031495.4246436777;2020-10-23
168;2017237.376372071;41464.40054424071;6172.075298396597;8111.28484720469;2031520.7365176722;2020-10-24
169;2017898.614512088;41440.24090843574;5894.620649381607;7751.660992007662;2031544.8961534773;2020-10-25
170;2018530.5282270794;41417.180493948865;5629.625639336959;7407.802701547936;2031567.9565679643;2020-10-26
171;2019134.4036645275;41395.16877400846;5376.531881034221;7079.0327423430235;2031589.9682879047;2020-10-27
172;2019711.4716767904;41374.15758856715;5134.805908659619;6764.701887896299;2031610.9794733464;2020-10-28
173;2020262.9101118606;41354.10103094873;4903.938078165565;6464.187840938441;2031631.0360309647;2020-10-29
174;2020789.8460154193;41334.95533841571;4683.441510531604;6176.894197546823;2031650.1817234978;2020-10-30
175;2021293.3577476775;41316.67878812605;4472.851080618028;5902.249445491845;2031668.4582737873;2020-10-31
176;2021774.4770179535;41299.231600404586;4271.722455970896;5639.705987584413;2031685.9054615088;2020-11-01
177;2022234.1908407405;41282.57584407587;4079.631168925028;5388.739208172108;2031702.5612178375;2020-11-02
178;2022673.4434123568;41266.67534894948;3896.171737089276;5148.846563517856;2031718.4617129639;2020-11-03
179;2023093.1379149589;41251.49562172308;3720.9568189714973;4919.546706259698;2031733.6414401901;2020-11-04
180;2023494.138249679;41237.00376586626;3553.6164057893743;4700.3786405787;2031748.133296047;2020-11-05
181;2023877.2706971741;41223.16840601502;3393.797051453368;4490.900907270854;2031761.9686558982;2020-11-06
182;2024243.3255159056;41209.95961567284;3241.1611336062397;4290.690796728548;2031775.1774462403;2020-11-07
183;2024593.058472854;41197.34884917544;3095.386150427195;4099.343589456545;2031787.7882127378;2020-11-08
184;2024927.1923099528;41185.308876444644;2956.164047388219;3916.4718281276673;2031799.8281854687;2020-11-09
185;2025246.418162531;41173.81372040665;2823.200567872132;3741.704611103457;2031811.3233415065;2020-11-10
186;2025551.3968984676;41162.83859921214;2696.214645634666;3574.6869185988758;2031822.298462701;2020-11-11
187;2025842.760430568;41152.35986893468;2574.937806960957;3415.07895544965;2031832.7771929784;2020-11-12
188;2026121.112942723;41142.354971624576;2459.1136184210336;3262.555529144745;2031842.7820902888;2020-11-13
189;2026387.0320999345;41132.80238322117;2348.4971389582915;3116.805439799474;2031852.3346786923;2020-11-14
190;2026641.070172858;41123.68156662129;2242.85441664765;2977.5309057864683;2031861.455495292;2020-11-15
191;2026883.7551506308;41114.97292443891;2141.9619875672024;2844.446999276533;2031870.1641374745;2020-11-16
192;2027115.5917736762;41106.65775644318;2045.606416211795;2717.2811155820887;2031878.4793054701;2020-11-17
193;2027337.062556886;41098.71821673548;1953.5838376117258;2595.7724506799577;2031886.4188451779;2020-11-18
194;2027548.6287301518;41091.13727559147;1865.6995414788394;2479.671514690992;2031893.9997863215;2020-11-19
195;2027750.731186113;41083.898680093356;1781.7675494495877;2368.739646257177;2031901.2383818198;2020-11-20
196;2027943.791348678;41076.98691913037;1701.6102323591533;2262.7485617455;2031908.1501427826;2020-11-21
197;2028128.2120233064;41070.38718893913;1625.057934807664;2161.479914859973;2031914.7498729741;2020-11-22
198;2028304.3782134363;41064.08536010256;1551.9486151496103;2064.7248732245184;2031921.0517018104;2020-11-23
199;2028472.6578827435;41058.06794730081;1482.1275118720798;1972.2837199967287;2031927.0691146124;2020-11-24
200;2028633.4027202695;41052.32207840494;1415.4468064182963;1883.9654568201902;2031932.814983508;2020-11-25
201;2028786.9488281268;41046.835467610894;1351.7653242487052;1799.5874419267275;2031938.3015943023;2020-11-26
202;2028933.6174245304;41041.59638730187;1290.948226224433;1718.9750238561742;2031943.540674611;2020-11-27
203;2029073.7154794938;41036.59364329359;1232.8667327797493;1641.9612063457212;2031948.5434186193;2020-11-28
204;2029207.5363487846;41031.816549867275;1177.3978476295617;1568.3863156315224;2031953.3205120456;2020-11-29
205;2029335.3603695913;41027.25490653968;1124.4240992552582;1498.09768652657;2031957.882155373;2020-11-30
206;2029457.455426147;41022.89897616072;1073.8332961598876;1430.9493634450253;2031962.238085752;2020-12-01
207;2029574.0775098104;41018.73946304393;1025.5182837197951;1366.8018053384549;2031966.3975988687;2020-12-02
208;2029685.4712260223;41014.767493605534;979.3767262186482;1305.5216160663244;2031970.3695683074;2020-12-03
209;2029791.8703136314;41010.9745961712;935.310881857864;1246.9812702524405;2031974.1624657416;2020-12-04
