;Cases;S;U;Q;I;date
0;44410.99999999901;36736000.000000015;133233.00000000003;22205.5;199849.49999999904;2020-05-09
1;46592.3750844252;36710220.79291293;157561.61765893223;21474.71434371792;225628.70708707534;2020-05-10
2;48716.66437434744;36679759.66155062;186307.39536656396;21065.77870847788;256089.83844938927;2020-05-11
3;50816.756246140845;36643776.65288602;220262.26139002023;20993.829477832947;292072.847113994;2020-05-12
4;52927.38432146317;36601285.229091994;260356.13680738898;21280.74977916873;334564.2709080209;2020-05-13
5;55085.839409699925;36551128.33030899;307679.38385899627;21955.946422330955;384721.16969102714;2020-05-14
6;57332.76763755384;36491951.14298973;363508.30688381725;23057.2824889171;443898.3570102882;2020-05-15
7;59713.06920223836;36422170.46666816;429333.78682654677;24632.177303077755;513679.0333318629;2020-05-16
8;62276.91677168998;36339940.56582842;506893.12659196777;26738.890807941745;595908.9341715996;2020-05-17
9;65080.911973884264;36243115.66584032;598204.9187786316;29448.003407190554;692733.8341597064;2020-05-18
10;68189.39958266121;36129209.49399535;705606.5068202575;32844.09960174788;806640.0060046667;2020-05-19
11;71675.96102092527;35995352.71156014;831793.1699328345;37027.65748612895;940496.7884398887;2020-05-20
12;75625.10625372703;35838249.614602596;979857.6450785431;42117.13406516045;1097599.8853974305;2020-05-21
13;80134.18329396332;35654136.297417745;1153327.7977188411;48251.22156947945;1281713.2025822839;2020-05-22
14;85315.52003613746;35438743.4813867;1356199.2729042445;55591.2256729463;1497106.0186133282;2020-05-23
15;91298.80660541558;35187268.436014235;1592958.7698075878;64323.487572787584;1748581.063985791;2020-05-24
16;98233.71735464888;34894362.05437288;1868592.0003882137;74661.72788429115;2041487.4456271539;2020-05-25
17;106292.75652137502;34554138.876912944;2188568.7273504976;86849.13921520372;2381710.6230870765;2020-05-26
18;115674.29069163451;34160219.7303237;2558795.490502608;101159.98848207861;2775629.769676321;2020-05-27
19;126605.70471170859;33705818.27742981;2985525.0993687585;117900.41848973732;3230031.2225702046;2020-05-28
20;139346.5810211411;33183884.137243073;3475210.730140345;137408.05159545332;3751965.3627569396;2020-05-29
21;154191.76066209844;32587314.967265848;4034292.8439097204;160049.9281623453;4348534.532734164;2020-05-30
22;171474.09309821247;31909248.15382013;4668909.005857398;186218.24722427237;5026601.346179882;2020-05-31
23;191566.62573317066;31143437.937194742;5384521.584732215;216323.35233988523;5792411.562805271;2020-06-01
24;214883.93462208152;30284715.27671282;6185466.830548121;250783.45811699308;6651134.223287196;2020-06-02
25;241882.2470794051;29329515.352086354;7074441.162186532;290010.7386477259;7606334.147913664;2020-06-03
26;273057.9847032486;28276441.136584077;8051956.707969353;334393.670743339;8659408.36341594;2020-06-04
27;308944.36557513505;27126813.838979818;9115815.37646907;384275.9189759919;9809035.661020197;2020-06-05
28;350105.75127235655;25885143.32162264;10260667.84675499;439932.580350028;11050706.178377375;2020-06-06
29;397129.54412146314;24559442.211060736;11477732.54044722;501545.2043705929;12376407.288939277;2020-06-07
30;450615.6058914841;23161308.02277262;12754748.282916585;569177.5884193251;13774541.477227395;2020-06-08
31;511163.39687662857;21705714.326491818;14076216.968614133;642754.8080174385;15230135.1735082;2020-06-09
32;579357.2852492079;20210486.889317807;15423957.283682603;722048.0417504035;16725362.610682214;2020-06-10
33;655750.7297161513;18695485.701813385;16777945.52193946;806667.5465310214;18240363.798186634;2020-06-11
34;740850.2417832188;17181564.82127094;18117369.02656427;896065.4103815918;19754284.678729083;2020-06-12
35;835100.1344899888;15689421.269553043;19421779.45096787;989548.6449891166;21246428.230446976;2020-06-13
36;938869.081385921;14238467.430242192;20672211.038474906;1086301.9498970034;22697382.06975783;2020-06-14
37;1052439.3581717017;12845854.329583734;21852137.551703785;1185418.2605408013;24089995.170416288;2020-06-15
38;1175999.4145907196;11525744.927808661;22948170.843787972;1285934.3138126652;25410104.572191358;2020-06-16
39;1309640.1215962807;10288891.685705803;23950449.710782897;1386867.9819150395;26646957.814294215;2020-06-17
40;1453354.7067454709;9142521.81600981;24852718.722368963;1487254.2548757787;27793327.683990214;2020-06-18
41;1607042.1066576273;8090492.922952005;25652137.280253306;1586177.1901370827;28845356.577048015;2020-06-19
42;1770513.2301289085;7133653.0705882;26348887.233034633;1682795.9662482764;29802196.42941182;2020-06-20
43;1943499.4892593457;6270329.387256851;26945656.556027368;1776364.0674564524;30665520.11274317;2020-06-21
44;2125662.892845861;5496872.329408705;27447072.83933948;1866241.4384059734;31438977.170591313;2020-06-22
45;2316607.0266460166;4808195.8674674025;27859146.523122486;1951900.0827641177;32127653.632532623;2020-06-23
46;2515888.300018705;4198271.3364635045;28188765.797307726;2032924.0662100855;32737578.16353652;2020-06-24
47;2723026.9615859473;3660549.960798102;28443267.51379234;2109005.0638236315;33275299.53920192;2020-06-25
48;2937517.498213181;3188303.8489922653;28630093.499133464;2179934.6536611146;33747545.65100776;2020-06-26
49;3158838.145904453;2774885.892259987;28756530.966550197;2245594.495285388;34160963.60774004;2020-06-27
50;3386459.3554609832;2413916.0284105605;28829528.77890019;2305945.3372282945;34521933.47158947;2020-06-28
51;3619851.1332164966;2099404.8622906078;28855577.855985895;2361015.6485070325;34836444.637709424;2020-06-29
