;Cases;S;U;Q;I;date
0;572.0;1355151.478404282;1716.0;875.5689838468064;3163.5689838468065;2020-05-09
1;657.4559194360536;1354805.1625500235;1970.3042653514244;882.1246533173047;3509.884838104783;2020-05-10
2;744.1479849656847;1354407.6434379905;2262.178755208759;901.0772099630607;3907.4039501375046;2020-05-11
3;833.3188727100668;1353951.394509352;2597.136810997337;933.1971950688197;4363.652878776224;2020-05-12
4;926.2963591601916;1353427.7966262028;2981.489152789763;979.4652499754926;4887.2507619254475;2020-05-13
5;1024.5147495744473;1352826.9840668035;3422.455322556125;1041.0932491937822;5488.063321324355;2020-05-14
6;1129.538541970627;1352137.6702935863;3928.2894611126867;1119.5490914582113;6177.377094541525;2020-05-15
7;1243.0887875362669;1351346.9503639608;4508.422519776717;1216.585716854102;6968.097024167087;2020-05-16
8;1367.0723761357626;1350440.0794432755;5173.621138068773;1334.2744306480604;7874.967944852595;2020-05-17
9;1503.6148587352263;1349400.2236183074;5936.165658157843;1475.0432529276097;8914.82376982068;2020-05-18
10;1655.0972684046367;1348208.1811405434;6810.048299841664;1641.720679338222;10106.866247584523;2020-05-19
11;1824.1974709005885;1346842.0721708979;7811.192436181215;1837.5853101484981;11472.975217230301;2020-05-20
12;2013.9366292396792;1345276.995145955;8957.693775118632;2066.4218378150067;13038.052242173319;2020-05-21
13;2227.731518253079;1343484.6483211762;10270.08362427114;2332.583924427548;14830.399066951766;2020-05-22
14;2469.4532306250167;1341432.9166707103;11771.613248343343;2641.0642384492853;16882.130717417647;2020-05-23
15;2743.493099990642;1339085.4247611843;13488.557477476199;2997.5720494767447;19229.622626943587;2020-05-24
16;3054.8365519011168;1336401.0584766902;15450.533869295201;3408.6184902414243;21913.98891143774;2020-05-25
17;3409.1456225537713;1333333.460921447;17690.831473862654;3881.609370264326;24981.586466680754;2020-05-26
18;3812.850861937396;1329830.511039301;20246.74038309135;4424.945103798048;28484.536348826794;2020-05-27
19;4273.25327686915;1325833.7977605374;23159.869506070063;5048.1268446516215;32481.249627590834;2020-05-28
20;4798.636849631266;1321278.107949116;26476.435298638527;5761.867290742285;37036.93943901208;2020-05-29
21;5398.391978240264;1316090.953170096;30247.498429053725;6578.203810738249;42224.09421803224;2020-05-30
22;6083.149910456163;1310192.1684922471;34529.11848253473;7510.610502890102;48122.87889588099;2020-05-31
