;Cases;S;U;Q;I;date
0;3.000000000000477;899105.7348267674;20.395016392532337;3.1001030637225817;26.495119456255395;2020-03-19
1;6.999956477144212;899077.1854957712;38.79319670133788;9.251297274077574;55.04445045255966;2020-03-20
2;16.24501786349228;899022.8857552155;73.78494555364232;19.31422759107467;109.34419100820926;2020-03-21
3;34.66731219423672;898919.620658725;140.3276499898691;37.61432531477612;212.60928749888194;2020-03-22
4;70.13295062364503;898723.2747983932;266.838767926602;71.98342928047808;408.9551478307251;2020-03-23
5;137.79258964355563;898350.0904320918;507.24980419874987;137.09712028964614;782.1395141319516;2020-03-24
6;266.52548145086064;897641.3148413385;963.7018780286519;260.68774540580216;1490.9151048853146;2020-03-25
7;511.16501294020173;896297.0233836046;1828.8789424505153;495.1626072284546;2835.206562619172;2020-03-26
8;975.4917857850076;893754.0606678769;3463.5442596856633;939.133232876449;5378.16927834712;2020-03-27
9;1854.9604086323873;888967.3493925538;6533.5017702950245;1776.4183747426537;10164.880553670066;2020-03-28
10;3514.372992888679;880040.4295632106;12233.94297052946;3343.4844195950864;19091.800383013226;2020-03-29
11;6623.196773943551;863676.4341628198;22597.550291050757;6235.048718409702;35455.795783404006;2020-03-30
12;12371.891277138076;834601.6194748466;40725.14616096288;11433.573033276301;64530.61047137726;2020-03-31
13;22758.08113448597;785680.8275283446;70335.68477199582;20357.63651139745;113451.40241787923;2020-04-01
14;40800.39720795085;710370.8862280815;113432.99933901211;34527.94717117949;188761.34371814245;2020-04-02
15;70280.63417674012;608667.387349607;165740.1811988736;54444.02722100334;290464.84259661706;2020-04-03
16;114510.5866090653;492415.8570216047;214234.85132475785;77970.93499079622;406716.37292461935;2020-04-04
17;174342.3871913727;381075.8903928767;243631.3670753899;100082.58528658473;518056.3395533473;2020-04-05
18;246928.16104597674;289533.51890910795;247347.29563481078;115323.25435632843;609598.7110371159;2020-04-06
19;326526.57313554164;221834.43284936895;229901.3646228777;120869.85933843575;677297.7970968551;2020-04-07
20;406676.1926731613;174584.83120239957;200579.67217202185;117291.53389864136;724547.3987438245;2020-04-08
21;482080.0387185442;142324.95494801376;167528.42684046616;107198.8094392;756807.2749982104;2020-04-09
22;549397.5652320012;120310.40114885262;135823.70749425542;93600.55607111493;778821.8287973716;2020-04-10
23;607147.6831395495;105135.94793215621;107897.87179112961;78950.72708338892;793996.282014068;2020-04-11
24;655216.3658308976;94530.49953439664;84510.58854984753;64874.776031082474;804601.7304118276;2020-04-12
25;694320.6412708437;87013.06444657661;65537.50618487153;52261.01804393228;812119.1654996475;2020-04-13
26;725582.840586052;81616.20143197174;50464.73890235856;41468.44902584174;817516.0285142523;2020-04-14
27;750245.4969669674;77699.64666300394;38660.08479912911;32527.00151712377;821432.5832832202;2020-04-15
28;769504.7622475576;74832.16504583096;29506.456134609027;25288.846518226674;824300.0649003934;2020-04-16
29;784427.4882644218;72717.91299592846;22458.498102780366;19528.33058309345;826414.3169502956;2020-04-17
30;795920.9430616249;71150.38023188166;17059.41405108302;15001.492601634623;827981.8497143425;2020-04-18
31;804732.4194379968;69983.18248300205;12938.784479190648;11477.84354603462;829149.047463222;2020-04-19
32;811463.8078298806;69111.18988392438;9802.45933298688;8754.772899432126;830021.0400622996;2020-04-20
33;816592.1178468534;68458.08056360162;7420.133686760829;6661.897849008104;830674.1493826223;2020-04-21
34;820490.9239508901;67967.9601097119;5613.2560113080435;5060.089874313961;831164.269836512;2020-04-22
35;823450.2173381356;67599.60860081873;4244.36307523808;3838.0409320315366;831532.6213454052;2020-04-23
36;825693.614917448;67322.46141521368;3208.157766250452;2907.9958473116717;831809.7685310101;2020-04-24
37;827392.6866542596;67113.75824611283;2424.279119485863;2201.5059263655908;832018.471700111;2020-04-25
38;828678.5681579157;66956.49457039812;1831.563278355245;1665.6039395546395;832175.7353758257;2020-04-26
39;829651.1992689457;66837.9339656781;1383.5511197644005;1259.545591835586;832294.2959805457;2020-04-27
