;Cases;S;U;Q;I;date
0;1.0;680000.0;6.0;1.0;8.0;2020-03-20
1;1.159684517620433;679995.1504236104;9.409853265155443;2.280038606950638;12.849576389726513;2020-03-21
2;1.4778490296764195;679987.5448811795;14.757471556920926;4.219798234095565;20.45511882069291;2020-03-22
3;2.038111938936489;679975.6173356766;23.143931072379722;7.200621312141907;32.382664323458116;2020-03-23
4;2.972221192764747;679956.9120910532;36.295780689748256;11.81990706441855;51.087908946931556;2020-03-24
5;4.4873399336642565;679927.5787023276;56.92007994433681;19.013877794615098;80.42129767261616;2020-03-25
6;6.90883155050153;679881.5805941557;89.26058325407712;30.24999103982763;126.41940584440628;2020-03-26
7;10.747332707084617;679809.45579904;139.96846431399808;47.82840393886314;198.54420095994584;2020-03-27
8;16.803869523045414;679696.3780129963;219.46408018972855;75.35403729091925;311.6219870036932;2020-03-28
9;26.33451981017389;679519.127047138;344.06329385302314;118.4751391987412;488.87295286193824;2020-03-29
10;41.308173687753595;679241.3653505237;539.2892622172081;186.03721357125633;766.6346494762181;2020-03-30
11;64.80959379111943;678806.2982677225;845.0101181914238;291.8820202949569;1201.7017322775;2020-03-31
12;101.6686160299615;678125.3296569365;1323.3590131792391;457.64271385439395;1882.6703430635944;2020-04-01
13;159.4397669982219;677060.6763078851;2070.82056751592;717.063357600777;2947.323692114919;2020-04-02
14;249.92110086441897;675399.0854055693;3236.376256924842;1122.6172366414607;4608.914594430721;2020-04-03
15;391.493643229978;672812.9770284583;5048.0200127142125;1755.509315597479;7195.02297154167;2020-04-04
16;612.6875034586078;668805.0977031647;7849.75421172992;2740.4605816467083;11202.902296835236;2020-04-05
17;957.5287626572052;662634.6852386916;12149.01792483414;4266.768073817055;17373.3147613084;2020-04-06
18;1493.3465372758008;653230.7008450861;18667.50704983756;6616.445567800691;26777.29915491405;2020-04-07
19;2321.6892797733976;639117.236540002;28371.525891306814;10197.54828891796;40890.76345999817;2020-04-08
20;3592.513617794542;618415.3990071377;42426.12278268812;15573.964592379696;61592.60099286235;2020-04-09
21;5520.338012032536;589042.3441830606;61975.47068134169;23469.847123565432;90965.65581693966;2020-04-10
22;8397.997897238472;549257.7733854395;87642.88055369192;34709.34816363021;130750.22661456061;2020-04-11
23;12599.157942341952;498592.3242845618;118771.05107625142;50045.46669684489;181415.67571543826;2020-04-12
24;18557.440322157374;438815.3826868175;152766.53761477416;69868.63937625107;241192.6173131826;2020-04-13
25;26713.703314628874;374166.033512189;185241.222019059;93887.04115412317;305841.966487811;2020-04-14
26;37437.87831525003;310258.44427716726;211338.83581277617;120972.84159480655;369749.5557228328;2020-04-15
27;50950.88294188022;252144.99210351898;227583.13930904053;149328.9856455603;427863.007896481;2020-04-16
28;67277.93813527521;202845.91298058978;232962.76650615397;176921.382377981;477162.08701941016;2020-04-17
29;86248.85958288633;163126.65439572293;228689.48025815253;201943.00576323818;516881.34560427704;2020-04-18
30;107537.21562188033;132190.71011959808;217174.89540738013;223105.17885114142;547817.2898804019;2020-04-19
31;130717.37451355216;108545.94127048324;201035.72665638014;239708.95755958444;571462.0587295167;2020-04-20
32;155320.3650566647;90610.25697376135;182511.55855386518;251565.8194157087;589397.7430262386;2020-04-21
33;180878.13655836647;77002.81284146362;163268.79925002294;258858.25135014692;603005.1871585364;2020-04-22
34;206953.56435355672;66626.85350839993;144426.53122699555;262001.0509110478;613381.1464916001;2020-04-23
35;233157.83864250974;58652.90986552513;126667.36398687024;261529.8875050949;621355.0901344749;2020-04-24
36;259158.337191738;52468.750405568746;110358.72624091149;258022.18616178178;627539.2495944314;2020-04-25
37;284680.036903351;47626.92206775825;95655.10316330644;252045.9378655843;632381.0779322418;2020-04-26
38;309502.9152539239;43800.752016037615;82574.80581279926;244129.52691723924;636207.2479839624;2020-04-27
39;333457.1122404882;40750.721580721096;71054.01544880113;234746.1507299896;639257.2784192789;2020-04-28
40;356417.0481131058;38299.89377758398;60983.258799227326;224307.7993100829;641708.106222416;2020-04-29
41;378295.26084305224;36316.338969408374;52231.22760970208;213165.17257783734;643691.6610305917;2020-04-30
42;399036.42504598596;34700.67529207812;44659.84265809497;201611.057003841;645307.324707922;2020-05-01
43;418611.8104332151;33377.246058290904;38133.41659227812;189885.52691621592;646630.7539417092;2020-05-02
44;437014.3064341134;32287.85130971058;32523.91873532358;178181.92352085246;647720.1486902895;2020-05-03
45;454254.0552763026;31387.266184688884;27713.710367508604;166652.9681714999;648620.7338153111;2020-05-04
46;470354.68645836296;30640.01108884029;23596.67300240694;155416.6294503898;649367.9889111597;2020-05-05
47;485350.1164758088;30018.002721752404;20078.343671120343;144561.53713131842;649989.9972782475;2020-05-06
48;499281.86294690217;29498.829216957765;17075.4613687242;134151.8464674158;650509.1707830422;2020-05-07
49;512196.81627467676;29064.470605726023;14515.188592979586;124231.52452661758;650943.5293942739;2020-05-08
50;524145.41149191034;28700.340041980002;12334.176964732467;114828.0715013772;651307.65995802;2020-05-09
51;535180.1454055869;28394.558146755662;10477.58324013378;105955.71320752361;651613.4418532443;2020-05-10
52;545354.3885313709;28137.39832888206;8898.100638963359;97618.11250078357;651870.6016711178;2020-05-11
53;554721.4462799648;27920.85871465041;7555.043026100287;89810.6519792846;652087.1412853496;2020-05-12
54;563333.8291744468;27738.32875587287;6413.501734274096;82522.34033540625;652269.6712441271;2020-05-13
55;571242.6969765744;27584.327352709453;5443.583411479152;75737.39225923693;652423.6726472904;2020-05-14
56;578497.4464148569;27454.295361249406;4619.730490608608;69436.52773328494;652553.7046387505;2020-05-15
57;585145.4165478116;27344.43004240262;3920.121135109189;63598.032274676545;652663.5699575973;2020-05-16
58;591231.6897614107;27251.55197490103;3326.1436230739296;58198.61464061432;652756.448025099;2020-05-17
59;596798.969748157;27172.997402072484;2821.9385681126796;53214.094281657846;652835.0025979275;2020-05-18
60;601887.5209206925;27106.5306374496;2394.002190964307;48619.94625089344;652901.4693625502;2020-05-19
61;606535.1561776599;27050.272411775983;2030.843739937791;44391.72767062621;652957.7275882239;2020-05-20
62;610777.2622734384;27002.640987389983;1722.6906283366839;40505.40611083469;653005.3590126098;2020-05-21
63;614646.853873803;26962.30357443984;1461.2352395404034;36937.60731221645;653045.6964255599;2020-05-22
64;618174.648941339;26928.13607084892;1239.417980646787;33665.797007165034;653079.8639291509;2020-05-23
65;621389.1595351484;26899.18960697604;1051.241697291598;30668.409160583742;653108.8103930238;2020-05-24
66;624316.7932193928;26874.66267585894;891.6131431224858;27924.930961625607;653133.3373241408;2020-05-25
67;626981.9611719485;26853.877850430876;756.2077179120927;25415.953259708393;653154.122149569;2020-05-26
68;629407.1898976798;26836.26228394554;641.354164745581;23123.19365362892;653171.7377160543;2020-05-27
69;631613.2341430121;26821.331356954983;543.936367445747;21029.498132587018;653186.6686430449;2020-05-28
70;633619.1891098822;26808.67493929783;461.30976602442945;19118.826184795413;653199.325060702;2020-05-29
71;635442.6005243701;26797.94583284393;391.23025481370297;17376.22338797217;653210.054167156;2020-05-30
72;637099.571479095;26788.850037517554;331.7937291977143;15787.784754189684;653219.1499624824;2020-05-31
