;Cases;S;U;Q;I;date
0;0.9999999992345573;10679656.352219876;4.676793554490156;0.8531669663108961;6.529960520035609;2020-03-06
1;1.057076796570744;10679653.654994277;6.614304111686443;1.555805208895577;9.227186117152764;2020-03-07
2;1.1542144111789785;10679649.840358183;9.354489000228316;2.533118800654793;13.041822212062089;2020-03-08
3;1.3072376183738637;10679644.445391947;13.229878969133045;3.8996718614662336;18.436788448973143;2020-03-09
4;1.5385634266163795;10679636.815397428;18.71076538435918;5.817454158818332;26.06678296979389;2020-03-10
5;1.8799302876435917;10679626.024453262;26.46226758223026;8.515529268042986;36.85772713791684;2020-03-11
6;2.3762581570753203;10679610.763056401;37.425042746592865;12.317823094461758;52.11912399812994;2020-03-12
7;3.0911077113109875;10679589.179221561;52.929427477298745;17.682423646114355;73.70295883472409;2020-03-13
8;4.114401135757214;10679558.653763274;74.85685604508382;25.257159940028156;104.2284171208692;2020-03-14
9;5.573341339435665;10679515.482503293;105.86813292046556;35.958202841236634;147.39967710113785;2020-03-15
10;7.647854426305674;10679454.426865932;149.72623789468156;51.081222141244254;208.4553144622315;2020-03-16
11;10.592428805377681;10679368.078382626;211.75278876505755;72.4585801944256;294.8037977648608;2020-03-17
12;14.76700003400523;10679245.960099833;299.4734597068525;102.68162081598393;416.92208055684165;2020-03-18
13;20.680626946829122;10679073.256073136;423.5304866109922;145.41499369317933;589.6261072510006;2020-03-19
14;29.053254506146622;10678829.015225843;598.9726114593275;205.8410885796905;833.8669545451645;2020-03-20
15;40.903048777378714;10678483.612523494;847.0782360034717;291.2883721099901;1179.2696568908405;2020-03-21
16;57.66988292012074;10677995.161208512;1197.9314926362254;412.1195963165139;1667.72097187286;2020-03-22
17;81.3899205761148;10677304.44438544;1694.0607719877332;582.9871023818567;2358.437794945705;2020-03-23
18;114.94240481715478;10676327.758238824;2395.5751084340895;824.6064283085857;3335.12394155983;2020-03-24
19;162.39844452244162;10674946.81308885;3387.409449339435;1166.2611976731841;4716.069091535061;2020-03-25
20;229.51381175384086;10672994.49609293;4789.533512915628;1649.338762782642;6668.3860874521115;2020-03-26
21;324.4249268717386;10670234.826443747;6771.314144091646;2332.316665671063;9428.05573663445;2020-03-27
22;458.6312413038258;10666334.787391707;9571.676466173112;3297.7870811960033;13328.094788672941;2020-03-28
23;648.3807377979128;10660824.849452151;13527.316116382059;4662.335874048206;18838.03272822818;2020-03-29
24;916.6217065991457;10653043.856512873;19112.000129692355;6590.403831215969;26619.025667507467;2020-03-30
25;1295.7477365661275;10642062.503116297;26990.9608542328;9313.670473284974;37600.3790640839;2020-03-31
26;1831.4493280402341;10626577.9262773;38095.47463388776;13158.031941149842;53084.95590307783;2020-04-01
27;2588.100450836125;10604770.174421115;53723.714862380024;18580.892446048078;74892.70775926422;2020-04-02
28;3656.2565061000146;10574110.062445426;75674.35695158354;26222.206277271318;105552.81973495487;2020-04-03
29;5163.02180571102;10531108.448772734;106418.06767843086;36973.3439235044;148554.43340764628;2020-04-04
30;7286.248462120093;10471001.848877814;149306.73150903796;52068.05333140656;208661.0333025646;2020-04-05
31;10273.71748577806;10387383.242069254;208807.1183307071;73198.80429463828;292279.64011112344;2020-04-06
32;14468.54003422696;10271817.634525385;290718.4463983406;102658.26122242624;407845.2476549938;2020-04-07
33;20341.827966734956;10113539.851043796;402283.95378240023;143497.24938744563;566123.0311365809;2020-04-08
34;28532.912000025455;9899426.09219908;552029.6623294504;199674.21565181986;780236.7899812957;2020-04-09
35;39895.57249011596;9614554.631960396;749068.7579179375;276143.9198119262;1065108.2502199796;2020-04-10
36;55545.36189255747;9243773.554829864;1001548.1355620734;378795.8298958804;1435889.3273505114;2020-04-11
37;76897.88529651285;8774641.335710559;1314006.1478416328;514117.51333167107;1905021.5464698167;2020-04-12
38;105681.64322584402;8201688.938009091;1683834.9516346534;688457.3493107879;2477973.9441712853;2020-04-13
39;143904.5638924625;7531042.853059067;2097871.2619841527;906844.2032446947;3148620.0291213095;2020-04-14
40;193755.68107901953;6783358.543433726;2531026.207104659;1171522.4505629712;3896304.3387466497;2020-04-15
41;257437.40983107948;5992720.807449595;2948881.074298064;1480623.590601638;4686942.074730782;2020-04-16
42;336948.5547338894;5200659.2918773;3314515.5152906417;1827539.520278546;5479003.590303076;2020-04-17
43;433862.7606745029;4447244.899820258;3597162.13837839;2201393.083307225;6232417.982360117;2020-04-18
44;549155.7717664788;3763145.698742523;3778821.616361924;2588539.7953094505;6916517.183437853;2020-04-19
45;683119.9370239014;3165739.6956333644;3856223.8284161054;2974579.421107005;7513923.186547012;2020-04-20
46;835374.4061510639;2659731.297907938;3838338.494933713;3346218.683187661;8019931.584272439;2020-04-21
47;1004951.7455645086;2240552.645773693;3741622.165307806;3692536.325534369;8439110.236406684;2020-04-22
48;1190428.237407286;1898396.2953246946;3585298.7946564476;4005539.5547919483;8781266.586855682;2020-04-23
49;1390066.358187601;1621501.213617375;3387947.338826586;4280147.971548815;9058161.668563003;2020-04-24
50;1601947.2001429643;1398263.2353802407;3165622.747267736;4513829.699389435;9281399.646800136;2020-04-25
51;1824081.1492789935;1218317.4865405948;2931173.822107044;4706090.424253745;9461345.395639783;2020-04-26
52;2054493.2551935606;1072926.1097908996;2694293.689330006;4857949.827865911;9606736.772389477;2020-04-27
53;2291284.620871901;954975.9918184549;2461925.7828943506;4971476.486595671;9724686.890361922;2020-04-28
54;2532673.4055215847;858796.736554638;2238784.582792247;5049408.157311906;9820866.145625738;2020-04-29
55;2777019.6644851877;779921.2657788208;2027862.9056003534;5094859.046316015;9899741.616401555;2020-04-30
56;3022837.9961334756;714850.5368234764;1830870.4611996408;5111103.8880237825;9964812.3453569;2020-05-01
57;3268801.3610252836;660847.9918476944;1648588.7307374147;5101424.798569984;10018814.890332682;2020-05-02
