;Cases;S;U;Q;I;date
0;0.9999999999614803;163927023.64440078;5.750417123517785;0.9836974823469312;7.734114605826197;2020-02-28
1;1.160023462245733;163927019.76718673;7.951635721916768;2.499669418001056;11.611328602163557;2020-02-29
2;1.4831896308290682;163927014.40580267;10.995465154127404;4.49405788820438;16.97271267316085;2020-03-01
3;2.022837551821242;163927006.99212015;15.20445001739887;7.159107628888773;24.386395198108886;2020-03-02
4;2.8535389325336586;163926996.74053368;21.024603533041525;10.759839179932442;34.63798164550762;2020-03-03
5;4.079152711036083;163926982.56471533;29.072668567928503;15.661978735966139;48.81380001493072;2020-03-04
6;5.843969713094821;163926962.96249995;40.20147169261378;22.3705739810126;68.4160153867212;2020-03-05
7;8.348129374543294;163926935.85670575;55.59029424664361;31.583385925435216;95.52180954662212;2020-03-06
8;11.868942977024037;163926898.37502563;76.86983450081846;44.26471219338536;133.00348967122784;2020-03-07
9;16.790384291685434;163926846.54566243;106.29500402134728;61.74746454762625;184.83285286065896;2020-03-08
10;23.643873340526874;163926774.87646025;146.9838662519791;85.8743154350457;256.50205502755165;2020-03-09
11;33.164675722370504;163926675.77293718;203.24803379784555;119.19286860376639;355.60557812398247;2020-03-10
12;46.36989441080324;163926538.73355922;281.0495291546256;165.22553249344548;492.6449560588743;2020-03-11
13;64.6663187048851;163926349.23699823;388.63250896301764;228.8426893763352;682.1415170442378;2020-03-12
14;89.99955827537758;163926087.20349103;537.39677045465;316.7786954877677;944.1750242177953;2020-03-13
15;125.06026404080961;163925724.86731687;743.1055585504893;438.345375795332;1306.511198386631;2020-03-14
16;173.56928492059453;163925223.83506244;1027.5555763439202;606.4185915162963;1807.5434527808109;2020-03-15
17;240.67197034174458;163924531.01817286;1420.8860025469437;838.8023694768754;2500.360342365564;2020-03-16
18;333.48338706029364;163923573.00920093;1964.7708850033246;1160.1150422711405;3458.3693143347587;2020-03-17
19;461.84219714023476;163922248.30664334;2716.8326048768117;1604.397069919027;4783.071871936074;2020-03-18
20;639.3530290601661;163920416.56602028;3756.742957888864;2218.7165080531227;6614.812495002154;2020-03-19
21;884.8276948620959;163917883.74116385;5194.656195666473;3068.1534609358646;9147.637351464433;2020-03-20
22;1224.277775584934;163914381.54691088;7182.863502632848;4242.690326197742;12649.831604415525;2020-03-21
23;1693.6693421203586;163909539.07787386;9931.89596844744;5866.735330848315;17492.300641416114;2020-03-22
24;2342.7309920556518;163902843.59674424;13732.767284049116;8112.283494969597;24187.781771074362;2020-03-23
25;3240.217335105975;163893586.37697628;18987.68419321413;11217.100010711161;33445.00153903126;2020-03-24
26;4481.183019015745;163880787.9373718;26252.4236708912;15509.834453617868;46243.44114352482;2020-03-25
27;6197.033011803975;163863094.8918287;36294.76176246067;21444.691912347487;63936.48668661213;2020-03-26
28;8569.404412185158;163838637.76231763;50174.94396010298;29649.26782540635;88393.6161976945;2020-03-27
29;11849.332224930027;163804835.21945322;69356.33968568975;40990.48715147904;122196.15906209881;2020-03-28
30;16383.694575241312;163758125.01977238;95857.27363864864;56665.390529048964;168906.3587429389;2020-03-29
31;22651.672015358305;163693595.05694103;132458.7281998502;78325.92135907622;233436.32157428472;2020-03-30
32;31314.955409508402;163604479.0971713;182987.27659516732;108250.04933934468;322552.2813440204;2020-03-31
33;43286.77714664758;163481470.717309;252698.20709187235;149575.67696779617;445560.6612063161;2020-04-01
34;59826.61382070418;163311795.8919587;348789.9549347079;206618.91780120996;615235.486556622;2020-04-02
35;82669.70896404501;163077970.70317686;481086.536358596;285304.43001581857;849060.6753384596;2020-04-03
36;114203.46925930242;162756158.80900916;662927.0468215138;393742.053425358;1170872.5695061742;2020-04-04
37;157706.2658113931;162314040.5226951;912294.978957916;542989.6110509356;1612990.8558202446;2020-04-05
38;217668.0445145201;161708125.0836077;1253194.8409168313;748043.4094762796;2218906.294907631;2020-04-06
39;300215.7495564337;160880505.10587373;1717221.0269581694;1029089.4961270097;3046526.272641613;2020-04-07
40;413668.4983652854;159755208.91533893;2345134.9096634234;1413019.0551476914;4171822.4631764;2020-04-08
41;569244.9189637854;158234614.54525778;3188029.942250453;1935141.9720433576;5692416.833257596;2020-04-09
42;781933.1511032318;156196922.385859;4307279.227130694;2640896.6144224256;7730108.992656352;2020-04-10
43;1071505.0304541476;153496485.95677423;5771920.193746524;3587120.197540463;10430545.421741135;2020-04-11
44;1463599.694571342;149969779.52334917;7651556.711361954;4842095.449232891;13957251.855166188;2020-04-12
45;1990708.793147438;145450506.35199326;10002647.789790347;6483168.443584324;18476525.026522107;2020-04-13
46;2692765.9111129954;139796835.27712566;12847010.543074876;8590419.647201806;24130196.101389676;2020-04-14
47;3616903.389610325;132930540.21761003;16144531.078007633;11235056.693287356;30996491.160905313;2020-04-15
48;4815862.398465648;124881000.45333435;19767744.00034447;14462424.52637088;39046030.925181;2020-04-16
49;6344642.615750915;115818437.85505427;23491860.218269404;18272090.68944076;48108593.52346108;2020-04-17
50;8255359.9204135;106056617.4188468;27014373.16095131;22600680.87830375;57870413.95966856;2020-04-18
51;10590918.705558382;96013029.66120721;30008118.887801744;27314964.123948026;67914001.71730816;2020-04-19
52;13378753.034449497;86134437.85589758;32193071.49755719;32220768.990611102;77792593.52261779;2020-04-20
53;16626161.232519537;76815111.62463099;33398320.833894935;37087437.6874699;87111919.75388438;2020-04-21
54;20318407.55155596;68338390.32360703;33589356.89470157;41680876.6086508;95588641.05490834;2020-04-22
55;24419928.22996071;60857106.49648021;32854866.376964092;45795130.27511036;103069924.88203517;2020-04-23
56;28878092.834476985;54408129.88289463;31366414.3358109;49274394.32533287;109518901.49562076;2020-04-24
57;33628438.25595206;48944911.19806116;29331314.19363572;52022367.73086644;114982120.18045422;2020-04-25
58;38600232.41035354;44372357.06503645;26953971.355927564;54000470.547197826;119554674.31347893;2020-04-26
59;43721498.244096875;40574931.209128544;24411781.76802285;55218820.15726712;123352100.16938685;2020-04-27
60;48923014.85870534;37435359.272388846;21844630.95724603;55724026.29017518;126491672.10612655;2020-04-28
61;54141149.830078155;34845085.197384;19353959.846579675;55586836.504473574;129081946.18113141;2020-04-29
62;59319600.01096314;32708892.11413508;17007160.59683285;54891378.65658434;131218139.26438034;2020-04-30
63;64410230.125573225;30945971.719962183;14844121.79301513;53726707.73996487;132981059.65855321;2020-05-01
64;69373230.94843884;29489118.401196875;12883979.672275137;52180702.35660456;134437912.97731853;2020-05-02
65;74176805.05206007;28283107.91751635;11131101.140249023;50336017.268689975;135643923.46099907;2020-05-03
66;78796553.58792;27282859.007791292;9579943.110015037;48267675.672789074;136644172.3707241;2020-05-04
67;83214697.849764;26451678.124705285;8218772.021438698;46041883.38260741;137475353.2538101;2020-05-05
68;87419232.5390881;25759714.034930088;7032382.685432533;43715702.11906469;138167317.3435853;2020-05-06
69;91403077.07028975;25182656.073817406;6004006.615688662;41337291.61871957;138744375.304698;2020-05-07
70;95163267.37760282;24700665.354176562;5116597.014836097;38946501.631899916;139226366.02433884;2020-05-08
71;98700213.18411222;24297510.180625632;4353652.3812243305;36575655.632553205;139629521.19788975;2020-05-09
