;Cases;S;U;Q;I;date
0;5.000000000002407;8470302.95657004;30.306221976373802;5.016420285062894;40.32264226143911;2020-03-17
1;8.998072929172434;8470264.132624168;56.522155197200824;13.626360013684165;79.14658814005743;2020-03-18
2;17.988010031712285;8470191.72530785;105.41516007140379;28.150734354692702;151.55390445780878;2020-03-19
3;35.73727296506772;8470056.686341211;196.59961912001995;54.25597901408382;286.5928710991715;2020-03-20
4;69.46968328851663;8469804.846544525;366.6514490746723;102.31153542357873;538.4326677867676;2020-03-21
5;132.78343523481647;8469335.203032268;683.766153304451;191.52659150352866;1008.0761800427962;2020-03-22
6;251.11655062527763;8468459.4682428;1275.060957720126;357.6334611649256;1883.8109695103292;2020-03-23
7;471.9486623611104;8466826.781478433;2377.3700417563305;667.1790297578237;3516.4977338752647;2020-03-24
8;883.8108928658362;8463783.828920892;4431.5476098109575;1244.0917887416545;6559.450291418449;2020-03-25
9;1651.6517303271846;8458115.821425945;8256.848361088876;2318.9576949476445;12227.457786363706;2020-03-26
10;3082.470357841748;8447569.840487208;15370.972500411308;4319.995866848457;22773.43872510151;2020-03-27
11;5746.587201075272;8427987.998548191;28569.143255277417;8039.550207762569;42355.28066411526;2020-03-28
12;10699.891485683713;8391766.232485777;52943.44098838083;14933.714252465661;78577.0467265302;2020-03-29
13;19884.939630769066;8325232.811031275;97581.16696018187;27644.36159007892;145110.46818102986;2020-03-30
14;36834.042074431345;8204579.504798488;178078.15120399022;50851.58113539677;265763.7744138184;2020-03-31
15;67834.17723056203;7990776.701455887;319249.78691175487;92482.61361410197;479566.57775641885;2020-04-01
16;123649.18010966406;7626897.026003755;554927.4150489676;164869.6580499205;843446.2532085521;2020-04-02
17;221478.8444893255;7047844.504914221;916785.8704705086;284234.05933825125;1422498.7742980854;2020-04-03
18;385705.9310256713;6216893.353106983;1402656.2273804054;465087.7676992458;2253449.9261053223;2020-04-04
19;644477.686999558;5181902.017114903;1936748.243571902;707215.3315259431;3288441.262097403;2020-04-05
20;1019938.524162894;4090108.1636949033;2377721.875106843;982574.7162476652;4380235.115517402;2020-04-06
21;1515878.418597868;3110811.2098217667;2604182.64346727;1239471.0073254006;5359532.069390538;2020-04-07
22;2112257.036761308;2339155.9236781;2591628.512221973;1427301.806550924;6131187.355534205;2020-04-08
23;2771369.885858385;1779978.0754734683;2399342.1925190366;1519653.1253614156;6690365.203738837;2020-04-09
24;3450213.835967119;1391449.2648253613;2110494.195804166;1518185.9826156592;7078894.0143869445;2020-04-10
25;4110980.447811737;1124871.283200509;1792058.6733054551;1442432.8748946039;7345471.9960117955;2020-04-11
