;Cases;S;U;Q;I;date
0;0.9999999990501488;2425937.7088450734;5.792083543143891;0.8048345061902018;7.596918048384242;2020-03-07
1;1.0706716069287867;2425933.260130585;9.656918999497554;1.318041930617212;12.045632537043554;2020-03-08
2;1.186933640029771;2425925.8429824905;16.100588608723736;2.1752583831557177;19.462780631909226;2020-03-09
3;1.3793096231206754;2425913.4767380534;26.843793861896152;3.605921584447847;31.829025069464677;2020-03-10
4;1.6986830579668912;2425892.8592310017;44.75528539765095;5.992563665248904;52.44653212086674;2020-03-11
5;2.2298824319806507;2425858.48521666;74.61771304720325;9.97295098293871;86.82054646212262;2020-03-12
6;3.1143292400006355;2425801.1769473045;124.40413439637125;16.610352181214147;144.12881581758603;2020-03-13
7;4.587793465701164;2425705.635338439;207.40528252475085;27.677348693098143;239.67042468355015;2020-03-14
8;7.043328748157502;2425546.3601342645;345.7734768276186;46.128823282082585;398.94562885785865;2020-03-15
9;11.13616513022461;2425280.856142682;576.4234514960776;76.8900038142136;664.4496204405159;2020-03-16
10;17.95849083166172;2424838.329551517;960.848916439071;128.16880433532717;1106.97621160606;2020-03-17
11;29.330575729795733;2424100.9064360466;1601.4291740882568;213.63957725818702;1844.3993270762396;2020-03-18
12;48.285362611129784;2422872.4985738355;2668.449664668668;356.0721620072116;3072.8071892870094;2020-03-19
13;79.87422086938723;2420827.3915647697;4444.690339874478;593.349637608937;5117.9141983528025;2020-03-20
14;132.50428729599545;2417425.899996388;7398.490809363209;988.4106700760731;8519.405766735277;2020-03-21
15;220.15139869932955;2411777.514350003;12302.064514272119;1645.5755001479356;14167.791413119383;2020-03-22
16;366.0034253610628;2402423.0204814454;20419.203560720223;2737.0782955956824;23522.285281676966;2020-03-23
17;608.4080758504366;2386998.9518398596;33792.51172108216;4545.434126330694;38946.35392326329;2020-03-24
18;1010.4459087937955;2361751.238664017;55654.55659262799;7529.0645976842625;64194.06709910605;2020-03-25
19;1674.9735336481906;2320910.357937794;90941.37273164876;12418.601560032086;105034.94782532904;2020-03-26
20;2767.317249875953;2256095.1860073404;146738.30321048474;20344.49929542235;169850.11975578303;2020-03-27
21;4547.157590732237;2156280.1802045065;232145.59536833092;32972.372599554765;269665.1255586179;2020-03-28
22;7407.843514607049;2009449.1498213732;356522.07695133385;52566.23547581035;416496.15594175126;2020-03-29
23;11913.115308567438;1807325.8467757178;524891.4852495204;81814.85842931908;618619.4589874069;2020-03-30
24;18808.1363075345;1552924.7165335598;730989.3146643873;123223.13825764292;873020.5892295646;2020-03-31
25;28973.293611795227;1266103.2290097368;952795.548409993;178073.23473159954;1159842.0767533877;2020-04-01
26;43305.295214435144;979532.8417482577;1157658.084941708;245449.08385872399;1446412.464014867;2020-04-02
27;62556.55679498542;724793.8164028255;1316499.8855584038;322095.0470069102;1701151.4893602994;2020-04-03
28;87202.63279145812;519732.2370594257;1415671.3963761155;403339.03953612567;1906213.0687036994;2020-04-04
29;117391.83172461904;366424.16532267985;1457693.0084535263;484436.30026229983;2059521.1404404452;2020-04-05
30;152976.73066994705;257204.18674860764;1454225.8627757288;561538.5255688422;2168741.119014518;2020-04-06
31;193589.84251795383;181438.9002813987;1418886.4536026018;632030.1093611708;2244506.4054817264;2020-04-07
32;238725.55513525198;129436.93494938331;1363358.0742550367;694424.7414234533;2296508.370813742;2020-04-08
33;287808.0069949921;93735.7373957941;1296308.3453572236;748093.2160151156;2332209.5683673313;2020-04-09
34;340239.7511586995;69048.03176406886;1223669.6718400253;792987.8510003317;2356897.2739990563;2020-04-10
35;395433.5051428734;51780.53689965652;1149306.6096040863;829424.654116509;2374164.7688634684;2020-04-11
