;Cases;S;U;Q;I;date
0;0.9999999991606153;2819470.973629576;4.516439651430748;0.8487245687293952;6.365164219320758;2020-03-06
1;1.020794030602854;2819468.2568592983;6.749585199809313;1.3115552683597933;9.081934498771961;2020-03-07
2;1.0527047490262094;2819464.1967926524;10.08689990288191;2.0023964935972325;13.14200114550535;2020-03-08
3;1.101212615507946;2819458.1292504366;15.074327877530536;3.034002868470636;19.20954336150912;2020-03-09
4;1.174508183718292;2819449.0616659625;22.527740902040932;4.574878749584611;28.277127835343837;2020-03-10
5;1.2848320415091026;2819435.5107354396;33.66638478314411;6.876841533660132;41.82805835831335;2020-03-11
6;1.4504772541323605;2819415.259816537;50.31228822942597;10.316211778019081;62.07897726157741;2020-03-12
7;1.6987817585217093;2819384.9964318867;75.18821627495622;15.455363878771585;92.34236191224952;2020-03-13
8;2.070600070611577;2819339.770659429;112.3628354565083;23.13469884289423;137.56813437001412;2020-03-14
9;2.6269853899304993;2819272.1860016263;167.91574021371355;34.61006656920449;205.15279217284854;2020-03-15
10;3.4591742069693314;2819171.1908047553;250.93073805700806;51.758076780516774;306.1479890444942;2020-03-16
11;4.703504608986162;2819020.2734810035;374.9790141514066;77.38279403584737;457.06531279624016;2020-03-17
12;6.56370369416086;2818794.7684658207;560.3328432258737;115.67378105873522;682.5703279787698;2020-03-18
13;9.344179011586204;2818457.837018082;837.2676341612633;172.88996254482586;1019.5017757176754;2020-03-19
14;13.499734967704573;2817954.476183021;1250.982727284401;258.3801485267204;1522.8626107788261;2020-03-20
15;19.709791656877712;2817202.599896381;1868.9242357162966;386.10487004581586;2274.7388974189903;2020-03-21
16;28.989122369995552;2816079.78687922;2791.659444662432;576.9033475474922;3397.55191457992;2020-03-22
17;42.85294758118139;2814403.646674246;4168.974138779344;861.8650331936232;5073.692119554148;2020-03-23
18;63.562772238158274;2811902.856852256;6223.587315390446;1287.33185391486;7574.481941543464;2020-03-24
19;94.49180503760691;2808174.7192793107;9285.834595153443;1922.2931142978468;11302.619514488897;2020-03-25
20;140.66667625792715;2802623.5828220984;13843.831245847208;2869.258049596414;16853.755971701547;2020-03-26
21;209.56730586035818;2794372.8812619215;20614.780028154346;4280.110197863512;25104.457531878215;2020-03-27
22;312.30086415992656;2782142.5040161572;30643.5966500232;6378.937263459256;37334.83477764238;2020-03-28
23;465.3092977105578;2764084.4451025017;45433.30998212199;9494.274411465522;55392.893691298064;2020-03-29
24;692.8192895805823;2737576.879451393;67104.36261315145;14103.27743967383;81900.45934240585;2020-03-30
25;1030.285452036642;2698997.1273479383;98560.59835878454;20889.327635040085;120480.21144586126;2020-03-31
26;1529.0781425954385;2643538.6674558674;143598.54848793475;30811.044707401314;175938.6713379315;2020-04-01
27;2262.5565865221756;2565218.0915292767;206824.31910258156;45172.37157541891;254259.24726452265;2020-04-02
28;3333.327310493529;2457328.749190677;293147.42650586646;65667.83578676269;362148.5896031227;2020-04-03
29;4880.770738866948;2313672.1178620346;406569.71968889993;94354.73050399861;505805.22093176545;2020-04-04
30;7086.770506977071;2130756.298944346;548149.0359006784;133485.2334417983;688721.0398494538;2020-04-05
31;10176.313473684058;1910559.5434211206;713597.3879771103;185144.093921885;908917.7953726794;2020-04-06
32;14409.211062100509;1662489.4169739163;891862.311793209;250716.398964574;1156987.9218198836;2020-04-07
33;20060.98028513441;1402695.9600485382;1066371.7488988286;330348.64956129907;1416781.378745262;2020-04-08
34;27395.25947006078;1150104.4503631776;1219313.0450929953;422664.5838675668;1669372.8884306226;2020-04-09
35;36634.833308616886;921004.0699678261;1336918.075866273;524920.3596510842;1898473.268825974;2020-04-10
36;47939.74112097975;725251.6393790365;1412742.0233024731;633543.9349913106;2094225.6994147634;2020-04-11
37;61397.64743445365;565683.4360355068;1447594.4028435124;744801.8524803278;2253793.902758294;2020-04-12
38;77026.27306574241;439954.3672321019;1447162.3759891784;855334.3225067775;2379522.9715616987;2020-04-13
39;94783.92410077559;343052.97490432934;1419196.331173283;962444.1086154121;2476424.363889471;2020-04-14
40;114583.39465326727;269284.25346435624;1371444.725786914;1064164.9648892626;2550193.0853294437;2020-04-15
41;136305.73561160898;213396.29664523184;1310580.8820488816;1159194.4244880772;2606081.0421485677;2020-04-16
42;159812.04971656494;171028.7410913319;1241866.7716199008;1246769.7763660024;2648448.597702468;2020-04-17
43;184952.73884056392;138769.30525392992;1169218.306288544;1326536.988410762;2680708.03353987;2020-04-18
44;211574.3294376701;114036.6874092548;1095430.3235036898;1398435.9984431858;2705440.651384546;2020-04-19
45;239524.28352963272;94914.20359328119;1022429.4132189207;1462609.4384519658;2724563.135200519;2020-04-20
46;268654.2520111836;79991.21621445149;951497.9826115413;1519333.8879566237;2739486.1225793487;2020-04-21
47;298822.17517666053;68232.1183819116;883453.2004631794;1568969.8447720488;2751245.220411889;2020-04-22
48;329893.55393573904;58875.34789076459;818782.2835188926;1611926.1534484038;2760601.9909030357;2020-04-23
49;361742.1365748381;51358.382755354534;757741.6646147259;1648635.1548488813;2768118.9560384452;2020-04-24
50;394250.2001861682;45263.135779054166;700428.3984587368;1679535.6043698406;2774214.203014746;2020-04-25
51;427308.5558293599;40276.584252677174;646831.0596601936;1705061.139051569;2779200.7545411224;2020-04-26
52;460816.3689408839;36162.4919818076;596865.7989090979;1725632.6789620104;2783314.846811992;2020-04-27
53;494680.8600919652;32741.08319333568;550401.7988858543;1741653.5966226447;2786736.255600464;2020-04-28
54;528816.9314762984;29874.386451428185;507279.1919644818;1753506.8289015917;2789602.952342372;2020-04-29
55;563146.7510172408;27455.616779792665;467321.6265203762;1761553.3444763909;2792021.722014008;2020-04-30
