;Cases;S;U;Q;I;date
0;0.9999999995223281;16078900.708652338;5.411640441222809;0.9171624863459786;7.3288029270911155;2020-03-08
1;1.1106549017933935;16078897.363893889;7.64346659308833;1.919439878957502;10.673561373839226;2020-03-09
2;1.3145992971973666;16078892.639717542;10.795723823195972;3.2874145998724416;15.39773772026578;2020-03-10
3;1.6466677092254312;16078885.967238016;15.248006416138635;5.175543121448753;22.070217246812817;2020-03-11
4;2.15633882020172;16078876.54295554;21.53645708385052;7.80170381621723;31.494499720269474;2020-03-12
5;2.9137534291027127;16078863.232003968;30.418325070184025;11.473372793751107;44.80545129303785;2020-03-13
6;4.018216125547085;16078844.431495653;42.96314944822763;16.624594034770475;63.60595960854519;2020-03-14
7;5.610204478498785;16078817.877514828;60.68154227680921;23.86819367876351;90.1599404340715;2020-03-15
8;7.888332080610882;16078780.372524628;85.70707398923903;34.06952456223594;127.66493063208586;2020-03-16
9;11.133308119586452;16078727.400377173;121.05315164592938;48.45061832115424;180.63707808667004;2020-03-17
10;15.741778538661753;16078652.582592856;170.97580158882735;68.73728227845214;255.45486240594124;2020-03-18
11;22.274122849477187;16078546.910495175;241.48599410227155;97.36684313711318;361.1269600888619;2020-03-19
12;31.52196017193394;16078397.660851512;341.07311061965106;137.78153295729751;510.3766037488825;2020-03-20
13;44.60348906146506;16078186.864674833;481.7264862621243;194.84280510603287;721.1727804296222;2020-03-21
14;63.09813254456333;16077889.145267632;680.3776669144333;275.41638817092246;1018.8921876299191;2020-03-22
15;89.23668335580734;16077468.666099356;960.9363096955218;389.198362853024;1439.371355904353;2020-03-23
16;126.16980859142046;16076874.822843874;1357.163398236628;549.8814045570781;2033.2146113851263;2020-03-24
17;178.34717098943833;16076036.164527493;1916.7247909805753;776.800965797606;2871.87292776762;2020-03-25
18;252.0526678136997;16074851.819192061;2706.9072926974277;1097.2583026873326;4056.21826319846;2020-03-26
19;356.1599368724447;16073179.406324962;3822.6737543622803;1549.7974390613022;5728.631130296027;2020-03-27
20;503.19850047958346;16070818.009921022;5398.003630232376;2188.825403524587;8090.027534236547;2020-03-28
21;710.8577218613486;16067484.220433818;7621.837703649709;3091.1215959300594;11423.817021441117;2020-03-29
22;1004.107268113727;16062778.477263972;10760.4537133856;4364.999209786405;16129.560191285731;2020-03-30
23;1418.18462269569;16056137.890616324;15188.78192490522;6163.18029133287;22770.146838933782;2020-03-31
24;2002.7998406023905;16046770.321695745;21434.063828786617;8700.852090124436;32137.71575951344;2020-04-01
25;2828.044882682705;16033562.694090288;30236.38358067326;12280.914901612192;45345.343364968154;2020-04-02
26;3992.681420606638;16014954.292971265;42631.926203046074;17329.13686034154;63953.744483994255;2020-04-03
27;5635.730453286851;15988763.326876685;60066.17199567474;24442.80812961175;90144.71057857334;2020-04-04
28;7952.6119478895735;15951952.761592122;84545.16873064724;34457.4951846023;126955.27586313912;2020-04-05
