;Cases;S;U;Q;I;date
0;1.0000000001729412;8599999.999999247;6.585090876135779;1.0624560057593135;8.647546882068033;2020-03-19
1;2.0138254377574274;8599991.360504435;11.082321822644952;4.1908944297410935;17.287041690143475;2020-03-20
2;4.508049174903752;8599976.820770811;18.65087302689302;8.667853110206469;31.826775312003242;2020-03-21
3;9.23526100377583;8599952.35136701;31.388214271595704;15.672703839931959;56.296179115303495;2020-03-22
4;17.54676394840513;8599911.171175243;52.824139528256026;27.105467404402713;97.47637088106387;2020-03-23
5;31.773636880487107;8599841.868493564;88.89872420850068;46.1066914697962;166.779052558784;2020-03-24
6;55.87710031965901;8599725.239602836;149.60772996698267;77.9231129993123;283.407943285954;2020-03-25
7;96.54901399899526;8599528.970071249;251.77048208096568;131.35797879371802;479.677474873679;2020-03-26
8;165.06761858841844;8599198.688861206;423.6845103294077;221.20655599773414;809.9586849155603;2020-03-27
9;280.42213669140364;8598642.9275302;712.9490269869293;372.3488522483195;1365.7200159266524;2020-03-28
10;474.5695508312112;8597707.84883615;1199.603040401925;626.6261187406722;2300.7987099738084;2020-03-29
11;801.2724903235625;8596134.83362967;2018.1558232172613;1054.385602913073;3873.8139164538966;2020-03-30
12;1350.9448099574051;8593489.433337756;3394.4362040894343;1773.8331943239973;6519.214208370837;2020-03-31
13;2275.554649485455;8589042.736310804;5706.9680727307095;2983.388513105114;10965.911235321279;2020-04-01
14;3830.304320773778;8581574.348232413;9588.461321347411;5015.533671592111;18434.2993137133;2020-04-02
15;6443.1248031605555;8569048.208439158;16091.570307520455;8425.743996288866;30960.439106969876;2020-04-03
16;10829.804578636582;8548087.598394308;26953.82425423555;14137.420318946817;51921.04915181895;2020-04-04
17;18182.64802014554;8513148.35767549;45004.94818046691;23672.693670025044;86860.2898706375;2020-04-05
18;30473.89596833698;8455280.932769774;74748.71297514069;39505.105832875364;144727.71477635304;2020-04-06
19;50928.123897428406;8360449.072520992;123073.30926979236;65558.14185791326;239559.57502513402;2020-04-07
20;84716.29964405848;8207698.097400329;199791.65793138734;107802.59257035074;392310.5501457965;2020-04-08
21;139869.5796655988;7968325.941535142;317121.28721716645;174691.83912821938;631682.7060109846;2020-04-09
22;228225.14033463423;7608780.99641467;486286.3002558087;276716.21054101473;991227.6511314576;2020-04-10
23;365808.85752958566;7101274.705146432;709164.8943698051;423760.1905003055;1498733.9423996964;2020-04-11
24;571512.9253751097;6443137.721707174;966272.7335962997;619085.2668675467;2156870.925838956;2020-04-12
25;862872.7055337657;5674700.61889774;1211056.3810663212;851378.9420483013;2925308.028648388;2020-04-13
26;1249268.3302881415;4875240.974885592;1384396.1441879256;1091103.1981844692;3724767.6726605366;2020-04-14
27;1725744.6482313937;4130781.972848774;1445608.5088054782;1297873.517660483;4469226.674697354;2020-04-15
28;2271759.681699055;3498867.0740202125;1392937.921289483;1436443.970537377;5101141.573525915;2020-04-16
29;2856114.9205024056;2997513.103924588;1256593.8097539293;1489786.8133652047;5602495.54362154;2020-04-17
30;3445012.7395796715;2616584.8088478264;1077108.4450200058;1461302.6540986232;5983423.8386983005;2020-04-18
31;4009062.375406812;2334103.6281725317;888532.5363298594;1368310.1076369244;6265905.019373596;2020-04-19
32;4527060.7523169555;2127040.491650292;712553.738422543;1233353.6651563365;6472968.155895835;2020-04-20
33;4986673.9612040855;1975872.471614255;559743.95356839;1077718.2611593965;6624136.175931872;2020-04-21
34;5383190.563270222;1865516.8298196027;433124.1378994366;918177.1165568671;6734491.817726526;2020-04-22
35;5717510.523845558;1784812.3794852644;331475.1883921744;766210.5558231329;6815196.268060865;2020-04-23
36;5994127.981142428;1725651.382354167;251644.20303148223;628585.081018051;6874357.265191961;2020-04-24
37;6219468.470355414;1682179.2660394227;189911.900411471;508449.01073981996;6917829.381506705;2020-04-25
38;6400678.996191882;1650167.5150577803;142700.84003109834;406461.29626536753;6949841.132488348;2020-04-26
39;6544834.524505168;1626552.9444508054;106882.66015442862;321738.51843572623;6973455.703095323;2020-04-27
40;6658473.426616572;1609107.8943921146;79865.4966579326;252561.82987951057;6990900.753154015;2020-04-28
41;6747368.37166048;1596206.0205653224;59573.17010399004;196861.08521633758;7003802.626980808;2020-04-29
42;6816452.615260957;1586655.8545401227;44379.212369524634;152520.96537552553;7013352.793006007;2020-04-30
43;6869840.640859581;1579581.9754095706;33028.72895195532;117557.30232502485;7020426.672136561;2020-05-01
