;Cases;S;U;Q;I;date
0;2.0000000001946585;7926878.036120272;18.0;1.6;21.60000000019466;2020-03-12
1;2.1476398319600762;7926855.97081322;37.890279378563186;3.6273878437042644;43.665307054227526;2020-03-13
2;2.4733555749748124;7926809.523281493;79.75935211183481;7.880131095372397;90.11283878218202;2020-03-14
3;3.1730625215443062;7926711.752083586;167.892890576811;16.818083589389516;187.8840366877448;2020-03-15
4;4.659206283317225;7926505.949873735;353.40804621801124;35.6189940365044;393.68624653783286;2020-03-16
5;7.799996697600274;7926072.768528144;743.8866060924854;75.18098933824777;826.8675921283334;2020-03-17
6;14.422884204367993;7925161.075444062;1565.6978474830723;158.43994452226858;1738.560676209709;2020-03-18
7;28.373872848206325;7923242.664172444;3294.9433402421255;333.65473473888784;3656.9719478292195;2020-03-19
8;57.74511261956863;7919207.565772472;6932.009576160332;702.3156590216882;7692.0703478015885;2020-03-20
9;119.55392233301545;7910727.744842535;14574.698468033837;1477.638887372165;16171.891277739018;2020-03-21
10;249.54759214531717;7892939.9803042095;30603.52696753298;3106.581256386587;33959.655816064886;2020-03-22
11;522.6462517119396;7855770.689258509;64084.51612069418;6521.784489360644;71128.94686176676;2020-03-23
12;1095.1176535447487;7778722.5982579505;133431.2374383133;13650.682770467627;148177.0378623257;2020-03-24
13;2289.668529007845;7621632.463806667;274580.22287396056;28397.280910640216;305267.1723136086;2020-03-25
14;4759.225483479869;7311881.3121106485;551912.3760107082;58346.72251543735;615018.3240096255;2020-03-26
15;9771.991550947225;6739421.649522944;1060669.737272791;117036.2577735914;1187477.9865973298;2020-03-27
16;19607.372980176882;5797467.993781975;1884986.0118498292;224838.2575082927;2129431.6423382987;2020-03-28
17;37842.05941874696;4506937.893384816;2978764.7168591204;403354.9664575907;3419961.742735458;2020-03-29
18;69016.01359099662;3115708.420639883;4081542.7777716136;660632.4241177815;4811191.215480391;2020-03-30
19;117420.96239782462;1946500.6054472204;4883176.185401115;979801.8828741134;5980399.030673053;2020-03-31
20;185768.92102953134;1143107.3207527506;5270659.873238413;1327363.5210995777;6783792.315367522;2020-04-01
21;274753.1161720065;656800.1128959908;5323990.150926008;1671356.256126266;7270099.52322428;2020-04-02
22;383481.32064804283;379704.72588559065;5172906.21316973;1990807.376416907;7547194.9102346795;2020-04-03
23;510144.4239034087;224365.67386556743;4917153.768106834;2275235.77024446;7702533.962254702;2020-04-04
24;652533.0228133566;136524.35378715157;4616830.949426391;2521011.310093371;7790375.282333119;2020-04-05
25;808346.3967241134;85784.37297847951;4304495.020714641;2728273.8457030365;7841115.26314179;2020-04-06
26;975354.4326797996;55676.68152733771;3996835.917855202;2899032.60405793;7871222.954592931;2020-04-07
27;1151474.3292381489;37289.51322518966;3702011.7226323113;3036124.0710246204;7889610.122895081;2020-04-08
28;1334801.7515705656;25731.94390146233;3423697.668873558;3142668.271774684;7901167.6922188075;2020-04-09
29;1523618.521560368;18261.97352074191;3163226.514820605;3221792.626218556;7908637.662599529;2020-04-10
30;1716388.5352097312;13304.516219070669;2920710.68045983;3276495.9042316396;7913595.119901201;2020-04-11
