;Cases;S;U;Q;I;date
0;3.0;2640000.0;18.0;3.0;24.0;2020-03-20
1;3.4790535660025603;2639985.4512565997;28.22957330298859;6.840116532597983;38.548743401589135;2020-03-21
2;4.433547457736894;2639962.634533771;44.27251494081541;12.659403832412853;61.365466230965154;2020-03-22
3;6.114338691166661;2639926.851529616;69.4322173836855;21.601914310499122;97.14847038535129;2020-03-23
4;8.916677459653314;2639870.7346258457;108.88877665603734;35.45992004034718;153.2653741560378;2020-03-24
5;13.462072549944523;2639782.7310742284;170.76455907844874;57.04229414513437;241.26892577352766;2020-03-25
6;20.72666853499873;2639644.7274843375;267.7938901232157;90.75195700595543;379.2725156641699;2020-03-26
7;32.24252139181845;2639428.328619384;419.93806158886787;143.49079763636198;595.6713806170483;2020-03-27
8;50.41309027860599;2639089.032064293;658.4776588511365;226.0771865789064;934.967935708649;2020-03-28
9;79.00758272914206;2638557.11856054;1032.4089112653978;355.46494546643805;1466.881439460978;2020-03-29
10;123.93512847996163;2637723.429753013;1618.4218784946388;558.2132400135126;2300.570246988113;2020-03-30
11;194.45616872514856;2636417.221610583;2536.4186619856173;875.9035587073371;3606.778389418103;2020-03-31
12;305.0755051537252;2634371.819423907;3973.5308803948997;1373.5741905457537;5652.180576094379;2020-04-01
13;478.49453355098166;2631171.7008857615;6221.005796922662;2152.798783766459;8852.299114240102;2020-04-02
14;750.2004998920255;2626171.8075227584;9730.158586442281;3371.8333909092476;13852.192477243554;2020-04-03
15;1175.5644593042746;2618376.557643329;15195.54851021479;5276.329387153883;21647.442356672946;2020-04-04
16;1840.7319891299476;2606263.378848474;23674.516690646622;8245.37247175047;33760.62115152704;2020-04-05
17;2879.1228839464356;2587537.149902263;36749.105543649304;12858.621670142156;52486.8500977379;2020-04-06
18;4495.928910518203;2558816.4725963403;56721.81629739336;19989.782195749176;81207.52740366073;2020-04-07
19;7003.31979020342;2515298.2326199776;86796.03347700145;30926.414112818464;124725.76738002332;2020-04-08
20;10868.387177027334;2450552.309212105;131103.36631345795;47499.937297411365;189471.69078789666;2020-04-09
21;16772.63770408059;2356785.691200055;194292.18513543502;72173.48596043074;283238.3087999464;2020-04-10
22;25673.737447145308;2226126.1085892343;280249.9662747817;107974.18768883996;413897.891410767;2020-04-11
23;38845.528672794455;2053421.3008876913;389662.5918886427;158094.57855087315;586602.6991123103;2020-04-12
24;57854.871266072434;1840187.2474264093;516966.2948782581;225015.58642926186;799836.7525735924;2020-04-13
25;84429.45996564189;1597558.8920027742;648779.7985238851;309255.84950770024;1042465.1079972272;2020-04-14
26;120203.3076451647;1345082.116235345;766434.5625968816;408304.0135226102;1294941.8837646565;2020-04-15
27;166398.0495800379;1104555.66241078;852552.9209240326;516517.3670851506;1535468.337589221;2020-04-16
28;223558.83580991917;892659.3027376219;897515.6743751671;626290.1870772928;1747364.6972623789;2020-04-17
29;291449.17935671203;717213.9218443413;901452.3734320251;729908.5253669223;1922810.0781556591;2020-04-18
30;369124.73885860876;578174.2643586157;871594.8171461654;821130.179636611;2061849.7356413852;2020-04-19
31;455125.59138807893;470923.8157141208;818036.2398442302;895938.3530535708;2169100.18428588;2020-04-20
32;547703.02142817;389310.2705440608;750486.7289826978;952523.9790450721;2250713.72945594;2020-04-21
33;645020.0722178753;327445.03448990383;676718.9904857178;990839.9028065039;2312578.965510097;2020-04-22
34;745299.7294835686;280429.241828358;602254.4957423424;1012040.5329457318;2359594.7581716427;2020-04-23
35;846919.1996855851;244467.53109705678;530655.190743552;1017982.0784738068;2395556.468902944;2020-04-24
36;948460.100142462;216725.6450127296;463994.1853967675;1010844.0694480417;2423298.354987271;2020-04-25
37;1048726.9782843327;195123.26061200403;403302.2057513998;992871.5553522644;2444900.739387997;2020-04-26
38;1146745.1394601057;178141.92803283964;348922.4063070885;966214.526199967;2461882.0719671613;2020-04-27
39;1241746.1482515025;164671.60304121173;300768.52529746824;932837.7234098187;2475352.39695879;2020-04-28
40;1333146.8574927268;153896.0297350968;258503.06215272925;894478.0506194484;2486127.970264904;2020-04-29
41;1420525.8225095286;145209.91899368304;221655.78225100425;852632.4762457856;2494814.0810063183;2020-04-30
42;1503599.511342412;138160.0058647786;189700.0758011566;808564.4069916541;2501863.994135223;2020-05-01
43;1582199.724741112;132403.31227587015;162100.5164081829;763320.4465748365;2507620.687724131;2020-05-02
44;1656252.9838285102;127677.56415958233;138341.1844210322;717752.2675908768;2512346.435840419;2020-05-03
45;1725762.2154248138;123780.12170980361;117941.37914512698;672540.2837202571;2516243.878290198;2020-05-04
46;1790790.8068306372;120552.8663640073;100463.21738994573;628217.1094154111;2519471.133635994;2020-05-05
