;Cases;S;U;Q;I;date
0;5.999999999167187;8670001.821249882;27.75933933509854;5.0902535351924625;38.84959286945819;2020-03-12
1;6.316797595020014;8669978.834754176;47.953454767442416;7.565836215467263;61.836088577929694;2020-03-13
2;6.803028859849559;8669939.126434768;82.83802330063227;11.90335582720875;101.54440798769059;2020-03-14
3;7.584985292358485;8669870.532172596;143.09942968950108;19.454255175040103;170.13867015689968;2020-03-15
4;8.880678109227238;8669752.039949492;247.19701935863952;32.55319579179587;288.6308932596626;2020-03-16
5;11.06656280911342;8669547.355603829;427.01550493421945;55.23317117786355;493.3152389211964;2020-03-17
6;14.792790047089957;8669193.79259625;737.624903571286;94.46055288272984;846.8782465011059;2020-03-18
7;21.182257591431746;8668583.093526032;1274.1273316042584;162.2677275241111;1457.5773167198013;2020-03-19
8;32.174345601299834;8667528.342063453;2200.7198711195265;279.43456257791075;2512.328779298737;2020-03-20
9;51.1183464583646;8665706.930301074;3800.7819480963635;481.8402471241191;4333.740541678847;2020-03-21
10;83.79751523120291;8662562.412077501;6563.048552465967;831.4126975522613;7478.258765249431;2020-03-22
11;140.1948562369994;8657136.075619416;11329.426234110377;1434.9741329844755;12904.595223331851;2020-03-23
12;237.5338435826464;8647779.311374774;19547.235249272868;2476.590375117487;22261.359467973;2020-03-24
13;405.50255548944153;8631666.56546007;33695.76048743634;4272.842339751953;38374.10538267773;2020-03-25
14;695.1933390109583;8603982.89553814;57996.0814976965;7366.500467897762;66057.77530460522;2020-03-26
15;1194.2954267946684;8556604.654636418;99558.67206353667;12683.048715995441;113436.01620632676;2020-03-27
16;2052.606984447522;8476060.926758148;170141.4043091815;21785.732790968596;193979.7440845976;2020-03-28
17;3523.9926716706236;8340677.841730497;288566.18544983567;37272.65099074457;329362.8291122509;2020-03-29
18;6032.912268057307;8117389.406269059;483274.4745767891;63343.877728842774;552651.2645736892;2020-03-30
19;10273.26084199264;7760366.225547539;792924.6528165209;106476.53163669459;909674.4452952081;2020-03-31
20;17338.515491929244;7216816.869258673;1259993.631471233;175891.654620912;1453223.801584074;2020-04-01
21;28855.06045914459;6447832.362432544;1910311.5114250323;283041.7365260265;2222208.308410203;2020-04-02
22;47041.18665484518;5464940.111519643;2719010.2870155345;439049.08565272385;3205100.5593231036;2020-04-03
23;74575.24193496996;4357846.276489069;3587680.5161568844;649938.6362618251;4312194.394353679;2020-04-04
24;114210.41710501851;3272073.007966339;4371648.243409077;912109.0023623151;5397967.6628764095;2020-04-05
25;168250.77370829397;2338285.258818382;4951546.811987923;1211957.8263281493;6331755.412024367;2020-04-06
26;238142.51624209396;1617116.4362388158;5284315.049117246;1530466.669244592;7052924.234603932;2020-04-07
27;324353.0381891985;1101008.1324639833;5395545.051021455;1849134.4491681107;7569032.538378764;2020-04-08
28;426504.0289813375;748349.6501825952;5341542.266871581;2153644.7248072345;7921691.020660153;2020-04-09
29;543615.7289038998;512775.87956142257;5178964.570148162;2434684.4922292647;8157264.791281327;2020-04-10
30;674345.8168457533;356381.9002746286;4952158.109020572;2687154.8447017944;8313658.77056812;2020-04-11
31;817173.5818763511;252092.41708682722;4691814.213126893;2908960.4587526773;8417948.253755921;2020-04-12
32;970524.8755337939;181791.01575151616;4417776.953754764;3099947.8258026764;8488249.655091234;2020-04-13
33;1132850.2518881324;133712.77740099886;4142343.258283142;3261134.3832704765;8536327.89344175;2020-04-14
34;1302670.676735957;100295.13832922428;3872878.3566349763;3394196.4991425914;8569745.532513523;2020-04-15
35;1478602.2066193204;76671.66197613269;3613621.8780498696;3501144.9241974256;8593369.008866616;2020-04-16
36;1659367.5198013184;59687.05002244164;3366861.4401659276;3584124.6608530604;8610353.620820306;2020-04-17
37;1843799.4179266347;47272.31463423744;3133674.810092934;3645294.128188942;8622768.35620851;2020-04-18
38;2030839.5299412315;38052.690617034204;2914394.5140201165;3686753.9362643654;8631987.980225714;2020-04-19
39;2219534.231595485;31101.63130965325;2708898.3406112357;3710506.4673263733;8638939.039533094;2020-04-20
40;2409029.028942113;25785.54035437376;2516791.565138367;3718434.5364078945;8644255.130488373;2020-04-21
41;2598562.1783521413;21664.842811168972;2337521.80579505;3712291.8438843885;8648375.82803158;2020-04-22
42;2787458.0196272573;18430.229662631995;2170451.740314933;3693700.681237927;8651610.441180117;2020-04-23
43;2975120.3140665917;15861.054982193458;2014905.253721518;3664154.0480724466;8654179.615860555;2020-04-24
44;3161025.7632886744;13797.837141520884;1870196.6799575659;3625020.390454988;8656242.833701229;2020-04-25
45;3344717.811427819;12123.844511481728;1735649.188869345;3577549.826034103;8657916.826331267;2020-04-26
46;3525800.7867427617;10752.604620279046;1610606.1445765698;3522881.1349031385;8659288.06622247;2020-04-27
