;Cases;S;U;Q;I;date
0;1.00000000009951;13326335.359653492;5.692150515958709;0.9970985392559654;7.689249055314185;2020-03-05
1;1.156637698318025;13326331.683862943;7.657339358479293;2.5510625480115934;11.365039604808912;2020-03-06
2;1.4712980718058195;13326326.739024209;10.3009990134663;4.537581255409153;16.309878340681273;2020-03-07
3;1.989606265570812;13326320.08700797;13.857365808773284;7.114922502858639;22.961894577202738;2020-03-08
4;2.773706802628144;13326311.138423834;18.641544040577084;10.495227871337468;31.910478714542695;2020-03-09
5;3.9079005458884857;13326299.100402785;25.077422375785446;14.963176841408929;43.948499763082864;2020-03-10
6;5.506233616948567;13326282.906351617;33.73522805234353;20.90108926095352;60.14255093024562;2020-03-11
7;7.722711703959118;13326261.12145605;45.382045555013335;28.8226892400928;81.92744649906525;2020-03-12
8;10.765044683933056;13326231.815571278;61.049769142563456;39.41851744378504;111.23333127028155;2020-03-13
9;14.91314092876423;13326192.392235156;82.1265102682432;53.61701619595932;150.65666739296674;2020-03-14
10;20.543989412956474;13326139.358673641;110.4795463551205;72.6666931407076;203.69022890878458;2020-03-15
11;28.165134692204827;13326068.01643676;148.62069211643544;98.24663898281183;275.0324657914521;2020-03-16
12;38.45970930329375;13325972.045299204;199.92871529257255;132.61517875063296;371.0036033464993;2020-03-17
13;52.3470115232626;13325842.943628887;268.94845359392644;178.80980854884947;500.10527366603856;2020-03-18
14;71.06399106976484;13325669.275771791;361.79304252232043;240.91609716854148;673.7731307606267;2020-03-19
15;96.27485354574617;13325435.660010098;486.6847246920822;324.4293142164912;907.3888924543196;2020-03-20
16;130.21847805411915;13325121.407859482;654.6818540260426;436.7407109898303;1221.641043069992;2020-03-21
17;175.9066787653744;13324698.69493167;880.6559598645346;587.7913322532007;1644.3539708831097;2020-03-22
18;237.39082029804658;13324130.102725906;1184.6044449967249;790.9509113516897;2212.946176646461;2020-03-23
19;320.1203072867229;13323365.316128822;1593.4134258648492;1064.1990405811969;2977.7327737327687;2020-03-24
20;431.42452516615595;13322336.68868732;2143.223650344236;1431.7120397237027;4006.3602152340945;2020-03-25
21;581.1605962979778;13320953.291178027;2882.6032325776823;1925.9938956511928;5389.757724526853;2020-03-26
22;782.5837341734402;13319092.931434236;3876.7976817876824;2590.7360523569882;7250.117468318111;2020-03-27
23;1053.5162074661434;13316591.465950051;5213.4145866028175;3484.6521584321977;9751.58295250116;2020-03-28
24;1417.9164923952148;13313228.506008271;7010.012000742419;4686.61440114461;13114.542894282244;2020-03-29
25;1907.9840409483693;13308708.341558333;9424.200489235474;6302.522814035301;17634.707344219143;2020-03-30
26;2566.9796460302646;13302634.554116538;12667.041672106596;8474.473467879894;23708.494786016756;2020-03-31
27;3452.9995674057163;13294476.359331302;17020.729004603436;11392.960999243505;31866.689571252657;2020-04-01
28;4644.016696733655;13283524.216676803;22861.756924618512;15313.058604400008;42818.83222575218;2020-04-02
29;6244.597471839179;13268831.700820776;30690.98873549344;20575.761874449134;57511.348081781754;2020-04-03
30;8394.821550360575;13249140.1327186;41172.1482751577;27635.94635843921;77202.91618395748;2020-04-04
31;11282.073213940566;13222782.201863175;55180.14056208912;37098.63326335183;103560.84703938151;2020-04-05
32;15156.532400882414;13187561.134762526;73859.98755050592;49765.39418864389;138781.91414003223;2020-04-06
33;20351.355573174766;13140603.509342385;98695.5908127875;66692.5931742087;185739.53956017096;2020-04-07
34;27308.662739082;13078187.66177118;131584.2667443466;89262.45764794778;248155.38713137637;2020-04-08
35;36612.46700047941;12995557.411273638;174906.97153287227;119266.19909556588;330785.6376289175;2020-04-09
