;Cases;S;U;Q;I;date
0;2.000000000842209;5340125.279624823;11.674058458781072;2.203309919784103;15.877368379407386;2020-03-13
1;2.685213910527161;5340118.6805606065;13.529809958644154;6.261408727443168;22.476432596614483;2020-03-14
2;4.033999504479368;5340111.032497625;15.680547622150517;10.409948451320291;30.124495577950178;2020-03-15
3;6.068871548891354;5340102.168693906;18.173158001527757;14.7462697476101;38.988299298029204;2020-03-16
4;8.828334355506852;5340091.895905814;21.061978845960063;19.37077418716407;49.26108738863098;2020-03-17
5;12.367566059902565;5340079.990177688;24.409982593209502;24.38926686191766;61.166815515029725;2020-03-18
6;16.75949028604183;5340066.191961532;28.29014806592661;29.91539331781723;74.96503166978567;2020-03-19
7;22.09625364796787;5340050.200462821;32.78704955450906;36.07322717884378;90.9565303813207;2020-03-20
8;28.49113891742418;5340031.667087842;37.998698216719575;43.00006822561019;109.48990535975395;2020-03-21
9;36.08095278137556;5340010.18785135;44.038675405623415;50.84951366383082;130.96914185082977;2020-03-22
10;45.02893810359571;5339985.294578947;51.038604325410766;59.7948718243943;155.86241425340077;2020-03-23
11;55.5282718130371;5339956.444714698;59.15101309681378;70.03299359253187;184.71227850238273;2020-03-24
12;67.80622363089425;5339923.009510741;68.552651725632;81.78860710227883;218.1474824588051;2020-03-25
13;82.12906388740055;5339884.26034556;79.44833383793784;95.31924991419008;256.89664763952845;2020-03-26
14;98.80782511573692;5339839.352876903;92.0753853560706;110.9209058239952;301.8041162958027;2020-03-27
15;118.20504574415219;5339787.308675112;106.70879902765779;128.93447331517956;353.84831808698954;2020-03-28
16;140.7426344264571;5339726.993960173;123.66719984874688;149.7531987516889;414.1630330268929;2020-03-29
17;166.91102920311263;5339657.094971405;143.31975259630255;173.83123999455697;484.0620217939721;2020-03-30
18;197.2798492522439;5339576.0894405795;166.09415863973848;201.69354472771062;565.0675526196931;2020-03-31
19;232.5102664970168;5339482.213563535;192.48590991460864;233.94725325258818;658.9434296642137;2020-04-01
20;273.36936559955024;5339373.423758827;223.0689971375467;271.2948716347729;767.7332343718699;2020-04-02
21;320.7467989195628;5339247.352404981;258.5082956272232;314.54949367027126;893.8045882170574;2020-04-03
22;375.6740971422119;5339101.256609209;299.57388962215845;364.65239722536654;1039.9003839897368;2020-04-04
23;439.347047931149;5338931.958929064;347.1576312123643;422.6933849913693;1209.1980641348828;2020-04-05
