;Cases;S;U;Q;I;date
0;1.0000000000000007;1840036.3436212358;8.999999999999993;0.8159271847056793;10.815927184705671;2020-03-15
1;1.5591102693781673;1840028.4377145842;10.820262157695582;6.342461409586164;18.72183383665991;2020-03-16
2;3.0109225339117396;1840018.9328905004;13.008625705896538;12.207109680500539;28.226657920308817;2020-03-17
3;5.422616835274558;1840007.505837079;15.639507814335154;18.591586692369113;39.65371134197883;2020-03-18
4;8.891438470442402;1839993.7678922033;18.802360537090447;25.69785720984298;53.39165621737583;2020-03-19
5;13.54837803505291;1839977.2518466255;22.604703921107323;33.75461983913148;69.90770179529171;2020-03-20
6;19.562942835842957;1839957.3960870225;27.175769115905457;43.02474944663509;89.76346139838351;2020-03-21
7;27.149189314967145;1839933.5255432723;32.670873736154036;53.81394209742832;113.6340051485495;2020-03-22
8;36.57322556417195;1839904.8288048368;39.276674123070805;66.48084389640407;142.33074358364684;2020-03-23
9;48.16244433095529;1839870.3306345076;47.21746988581477;81.4489996960956;176.82891391286566;2020-03-24
10;62.316801633893995;1839828.8589642516;56.76276813120297;99.22101440344069;218.30058416853765;2020-03-25
11;79.52252440135835;1839779.0052748783;68.23635545283702;120.39539368770969;268.15427354190507;2020-03-26
12;100.36871059486992;1839719.077047144;82.02717290109467;145.68661778003073;328.08250127599536;2020-03-27
13;125.56737985070313;1839647.0407190924;98.6023442960727;175.94910518103686;400.1188293278127;2020-03-28
14;155.977645354534;1839560.4532843851;118.52277288805331;212.205845792479;486.70626403506634;2020-03-29
15;192.6348116201801;1839456.380312388;142.4617964540304;255.68262795790076;590.7792360321113;2020-03-30
16;236.78535940196332;1839331.2977613674;171.22747607563454;307.8489515751824;715.8617870527803;2020-03-31
17;289.9289687877315;1839180.9744667183;205.78919309928654;370.4669198151911;866.1850817022091;2020-04-01
18;353.8689508096048;1839000.3316318109;247.30933749580228;445.6496283044167;1046.8279166098237;2020-04-02
19;430.7727109226199;1838783.275025634;297.1809872410939;535.9308246226213;1263.8845227863353;2020-04-03
20;523.2441809757593;1838522.4948392347;357.07261199873403;644.3479162112018;1524.664709185695;2020-04-04
21;634.4104963214431;1838209.2273795537;428.980956761996;774.5407157834802;1837.9321688669193;2020-04-05
22;768.0256032213308;1837832.9718912877;515.2933856488951;930.8686682626869;2214.187657132913;2020-04-06
23;928.5939391501782;1837381.1548859403;618.8610623250331;1118.5496610051532;2666.0046624803645;2020-04-07
24;1121.517845356423;1836838.7334401815;743.0843923332442;1343.823870549631;3208.426108239298;2020-04-08
25;1353.2729357320554;1836187.7280872383;892.0121205933689;1614.1464048569064;3859.4314611823306;2020-04-09
26;1631.616258386341;1835406.6752872786;1070.4552993439413;1938.4127034117596;4640.484261142043;2020-04-10
27;1965.8327102184064;1834469.9892061593;1284.1169573702352;2327.2206746727247;5577.170342261366;2020-04-11
