;Cases;S;U;Q;I;date
0;0.9999999992382363;35744107.682124846;5.462847987609554;0.8000852409234341;7.262933227771224;2020-02-26
1;1.0811741586082682;35744104.424175024;7.084987930481299;2.3547209543864374;10.520883043476005;2020-02-27
2;1.2537035579041198;35744100.19880882;9.188806274233553;4.303739425245022;14.746249257382694;2020-02-28
3;1.5412813018826712;35744094.71876157;11.91733244938088;6.7676827387504295;20.22629649001398;2020-02-29
4;1.974811134822205;35744087.61147034;15.456065947604708;9.902710638246665;27.333587720673577;2020-03-01
5;2.594539882051001;35744078.393742375;20.04558875674509;13.911187046514776;36.55131568531087;2020-03-02
6;3.4528231054257286;35744066.43890741;25.99792013371655;19.055407416355415;48.5061506554977;2020-03-03
7;4.617712582023943;35744050.93421448;33.717728449358034;25.675402545009874;64.01084357639185;2020-03-04
8;6.1776093738009505;35744030.82557983;43.72984077266494;34.21202808773071;84.1194782341966;2020-03-05
9;8.24729923364267;35744004.7459258;56.71492204413645;45.23691097797871;110.19913225575782;2020-03-06
10;10.97577994639776;35743970.922249384;73.55574422643329;59.49128449314645;144.0228086659775;2020-03-07
11;14.556413627283266;35743927.05509376;95.397194839824;77.93635582321537;187.88996429032264;2020-03-08
12;19.2400934590346;35743870.16224048;123.72409821579868;101.81862588628678;244.78281756112005;2020-03-09
13;25.352320390213414;35743796.37599568;160.46213917862633;132.75460279362417;318.5690623624639;2020-03-10
14;33.31535018569942;35743700.68030239;208.108741930499;172.84066353266937;414.2647556488678;2020-03-11
15;43.67691612922094;35743576.56982247;269.90279133172595;224.7955281151461;538.375235576093;2020-03-12
16;57.147479641528264;35743415.6078345;350.0447184495387;292.1450254569021;699.337223547969;2020-03-13
17;74.64853919048355;35743206.85294735;453.98187718626326;379.4616943235824;908.0921107003293;2020-03-14
18;97.37528007116158;35742936.115725935;588.7785643241446;492.6754877135079;1178.829332108814;2020-03-15
19;126.87782041344437;35742584.9948232;763.5957505433616;639.4766638862642;1529.9502348430703;2020-03-16
20;165.1665687751899;35742129.62733052;990.3129792648866;829.8381794837782;1985.3177275238547;2020-03-17
21;214.84884648184888;35741539.06874519;1284.3344724075005;1076.6929939713707;2575.87631286072;2020-03-18
22;279.3060424188547;35740773.193067946;1665.6338153545757;1396.8121323274129;3341.751990100843;2020-03-19
23;362.92330975443355;35739779.971360385;2160.1075212975;1811.9428666135382;4334.973697665472;2020-03-20
24;471.3873698666112;35738491.94549587;2801.328323555959;2350.283868758021;5622.999562180591;2020-03-21
25;612.0725713378579;35736821.660469554;3632.8153449038573;3048.3966722605865;7293.284588502302;2020-03-22
26;794.541294319381;35734655.74982669;4710.972094530198;3953.6818425126776;9459.195231362257;2020-03-23
27;1031.1924644796181;35731847.28059538;6108.886376352419;5127.5856218456765;12267.664462677714;2020-03-24
28;1338.101809113075;35728205.85185683;7921.240797594989;6649.750594514831;15909.093201222895;2020-03-25
29;1736.1102440034829;35723484.79789375;10270.651701921357;8623.385218379046;20630.147164303882;2020-03-26
30;2252.2331415738254;35717364.666435316;13315.840562992042;11182.204918177957;26750.278622743823;2020-03-27
31;2921.4841606196464;35709431.91713201;17262.148052128407;14499.395713302285;34683.02792605034;2020-03-28
32;3789.2341298598785;35699151.50580951;22375.03007666216;18799.175042035862;44963.4392485579;2020-03-29
33;4914.2594282686005;35685831.68156691;28997.32676072256;24371.677302162407;58283.26349115357;2020-03-30
34;6372.677142294806;35668578.92261312;37571.26710269369;31592.078199958458;75536.02244494695;2020-03-31
35;8263.017980815528;35646240.47805942;48666.35392382196;40945.09509401381;97874.46699865129;2020-04-01
36;10712.753992124306;35617331.49382643;63014.44071510007;53056.25652441534;126783.4512316397;2020-04-02
37;13886.678329840539;35579943.23319599;81553.4197586316;68731.6137736086;164171.71186208073;2020-04-03
38;17997.630017501386;35531628.56622258;105480.90296959334;89007.84584839459;212486.3788354893;2020-04-04
39;23320.16377139434;35469260.90797063;136318.94879055937;115214.92452548476;274854.03708743845;2020-04-05
40;30207.882472078363;35388863.46020456;175990.0296933923;149053.57268804114;355251.48485351185;2020-04-06
41;39115.261267839545;35285407.53066058;226902.6727832011;192689.48034645524;458707.41439749586;2020-04-07
42;50624.875709293956;35152582.719366446;292041.98448926857;248865.36549306914;591532.2256916317;2020-04-08
43;65480.95858893635;34982549.11470586;375054.8299904846;321030.0417727973;761565.8303522182;2020-04-09
44;84630.08171652796;34765693.89241133;480310.90308155137;413480.0678486696;978421.052646749;2020-04-10
45;109269.37888286376;34490433.68488864;612908.4282918154;531503.4529947545;1253681.2601694337;2020-04-11
