;Estado;cases_7d
0;AC;9549.33533734946
1;AL;12122.509132633037
2;AM;63825.787145918526
3;AP;12843.006330163977
4;BA;32961.20230860236
5;Brazil;530360.3651293161
6;CE;81956.22785210947
7;DF;14379.469617817029
8;ES;22928.40992422791
9;GO;5629.659862134787
10;MA;43770.5158436168
11;MG;9436.954074156682
12;MS;2279.558030068365
13;MT;2855.3355163050264
14;PA;55593.038884957714
15;PB;18265.799190663733
16;PE;42626.19016825705
17;PI;7776.127642349569
18;PR;4471.05559290285
19;RJ;56103.49664453574
20;RN;10270.047756783397
21;RO;7747.709429156263
22;RR;3841.359123803843
23;RS;14658.932421820835
24;SC;10372.595371567371
25;SE;14187.427079280544
26;SP;125179.74225735813
27;TO;5398.3919782402645
