;Estado;max_cases;diamax;datamax
0;AC;4183.39106895923;102;2020-07-12
1;AL;29336.71192743117;112;2020-07-22
2;AM;199.99999999914596;0;2020-04-01
3;AP;497.4005353452885;121;2020-07-31
4;BA;246.00000000089642;0;2020-04-01
5;Brazil;2447007.7922104076;67;2020-06-07
6;CE;444.000000000988;0;2020-04-01
7;DF;355.00000000099993;0;2020-04-01
8;ES;16219.355880258605;152;2020-08-31
9;GO;70.99999999918919;0;2020-04-01
10;MA;51294.90928791277;112;2020-07-22
11;MG;314.0000000007387;0;2020-04-01
12;MS;51.00000000036804;0;2020-04-01
13;MT;27.00000000068851;0;2020-04-01
14;PA;62336.33807257074;125;2020-08-04
15;PB;25327.687443003873;140;2020-08-19
16;PE;112408.81009387365;83;2020-06-23
17;PI;34248.17803542083;89;2020-06-29
18;PR;224.000000001;0;2020-04-01
19;RJ;31233.967424570117;245;2020-12-02
20;RN;92.000000001;0;2020-04-01
21;RO;28701.25130812882;64;2020-06-04
22;RR;5373.971842517625;60;2020-05-31
23;RS;305.9999999999107;0;2020-04-01
24;SC;234.99999999912728;0;2020-04-01
25;SE;20.00000000079524;0;2020-04-01
26;SP;49753.61067680642;366;2021-04-02
27;TO;11.999999999011312;0;2020-04-01
